Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,material,cell type,GEO Accession
SRR12333527,78505556,6751477816,86,2611,SRX8833503,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273779,PRJNA649001,34480152,"",SRS7097606,SAMN15654989,simple,10090,Mus musculus,GSM4697825,GEO,SRA1104214,06,2021,Schott,RAW264.7,ActD0,RAW264.7,RAW264.7,untreated,,,GSM4697825
SRR12333528,76324406,6563898916,86,2517,SRX8833504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273779,PRJNA649001,34480152,"",SRS7097607,SAMN15654988,simple,10090,Mus musculus,GSM4697826,GEO,SRA1104214,06,2021,Schott,RAW264.7,ActD2,RAW264.7,RAW264.7,"ActD, 2h",,,GSM4697826
SRR12901071,145006417,12470551862,86,4810,SRX8833505,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273779,PRJNA649001,34480152,"",SRS7097608,SAMN15654987,simple,10090,Mus musculus,GSM4697827,GEO,SRA1104214,06,2021,Schott,RAW264.7,ActD4,RAW264.7,RAW264.7,"ActD, 4h",,,GSM4697827
SRR12333530,35053192,3014574512,86,1181,SRX8833506,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273779,PRJNA649001,34480152,"",SRS7097609,SAMN15654986,simple,10090,Mus musculus,GSM4697828,GEO,SRA1104214,06,2021,Schott,RAW264.7,ActD6,RAW264.7,RAW264.7,"ActD, 6h",,,GSM4697828
SRR12333532,36148724,1843584924,51,634,SRX8833507,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097610,SAMN15654984,simple,10090,Mus musculus,GSM4697830,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS15_RPF,RAW264.7,RAW264.7,"LPS, 15 min",ribosome-protected fragments,,GSM4697830
SRR12333533,33015075,1683768825,51,591,SRX8833508,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097611,SAMN15654983,simple,10090,Mus musculus,GSM4697831,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS30_RPF,RAW264.7,RAW264.7,"LPS, 30 min",ribosome-protected fragments,,GSM4697831
SRR12333534,35093753,1789781403,51,619,SRX8833509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097612,SAMN15654982,simple,10090,Mus musculus,GSM4697832,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS45_RPF,RAW264.7,RAW264.7,"LPS, 45 min",ribosome-protected fragments,,GSM4697832
SRR12333535,36670825,1870212075,51,643,SRX8833510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097613,SAMN15654981,simple,10090,Mus musculus,GSM4697833,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS60_RPF,RAW264.7,RAW264.7,"LPS, 60 min",ribosome-protected fragments,,GSM4697833
SRR12333536,36942083,1884046233,51,650,SRX8833511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097614,SAMN15654980,simple,10090,Mus musculus,GSM4697834,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS75_RPF,RAW264.7,RAW264.7,LPS 75 min,ribosome-protected fragments,,GSM4697834
SRR12333537,37037061,1888890111,51,649,SRX8833512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097615,SAMN15654979,simple,10090,Mus musculus,GSM4697835,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS90_RPF,RAW264.7,RAW264.7,LPS 90 min,ribosome-protected fragments,,GSM4697835
