Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,material,treatment,GEO Accession
SRR12333547,45986884,2345331084,51,805,SRX8833523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097626,SAMN15655007,simple,10090,Mus musculus,GSM4697845,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU0_exp1,RAW264.7,RAW264.7,Input,untreated,GSM4697845
SRR12333548,49109894,2504604594,51,857,SRX8833524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097627,SAMN15655006,simple,10090,Mus musculus,GSM4697846,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp1,RAW264.7,RAW264.7,Input,"4sU, 20 min",GSM4697846
SRR12333549,48724026,2484925326,51,868,SRX8833525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097628,SAMN15655005,simple,10090,Mus musculus,GSM4697847,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp1,RAW264.7,RAW264.7,Input,"4sU, 40 min",GSM4697847
SRR12333550,51608658,2632041558,51,902,SRX8833526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097629,SAMN15655004,simple,10090,Mus musculus,GSM4697848,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU60_exp1,RAW264.7,RAW264.7,Input,"4sU, 60 min",GSM4697848
SRR12333551,48927883,2495322033,51,852,SRX8833527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097630,SAMN15655003,simple,10090,Mus musculus,GSM4697849,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU90_exp1,RAW264.7,RAW264.7,Input,"4sU, 90 min",GSM4697849
SRR12333552,50689997,2585189847,51,889,SRX8833528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097631,SAMN15655002,simple,10090,Mus musculus,GSM4697850,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU120_exp1,RAW264.7,RAW264.7,Input,"4sU, 120 min",GSM4697850
SRR12333553,51398032,2621299632,51,895,SRX8833529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097632,SAMN15655001,simple,10090,Mus musculus,GSM4697851,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU0_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,untreated,GSM4697851
SRR12333554,50071775,2553660525,51,871,SRX8833530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097633,SAMN15655000,simple,10090,Mus musculus,GSM4697852,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 20 min",GSM4697852
SRR12333555,46020721,2347056771,51,803,SRX8833531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097634,SAMN15654999,simple,10090,Mus musculus,GSM4697853,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 40 min",GSM4697853
SRR12333556,42525017,2168775867,51,747,SRX8833532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097635,SAMN15654998,simple,10090,Mus musculus,GSM4697854,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU60_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 60 min",GSM4697854
SRR12333557,50284266,2564497566,51,875,SRX8833533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097636,SAMN15654997,simple,10090,Mus musculus,GSM4697855,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU90_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 90 min",GSM4697855
SRR12333558,50307014,2565657714,51,880,SRX8833534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097637,SAMN15654996,simple,10090,Mus musculus,GSM4697856,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU120_exp1,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 120 min",GSM4697856
SRR12333559,48425631,2469707181,51,849,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 20 min",GSM4697857
SRR12333560,93344631,4760576181,51,1612,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 30 min",GSM4697858
SRR12333561,109268079,5572672029,51,1957,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 40 min",GSM4697859
SRR12333562,49756994,2537606694,51,870,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 20 min",GSM4697860
SRR12333563,92796453,4732619103,51,1600,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 30 min",GSM4697861
SRR12333564,61853771,3154542321,51,1115,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 40 min",GSM4697862
SRR12333565,28653036,1461304836,51,504,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,RAW264.7,RAW264.7,Input,untreated,GSM4697845
SRR12333566,76306596,3891636396,51,1324,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,RAW264.7,RAW264.7,Input,"4sU, 20 min",GSM4697846
SRR12333567,32341207,1649401557,51,579,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,RAW264.7,RAW264.7,Input,"4sU, 40 min",GSM4697847
SRR12333568,43470643,2217002793,51,758,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 60 min",GSM4697848
SRR12333569,85942273,4383055923,51,1479,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 90 min",GSM4697849
SRR12333570,204328200,10420738200,51,3655,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,RAW264.7,RAW264.7,Input,"4sU, 120 min",GSM4697850
SRR12333571,48318406,2464238706,51,841,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,untreated,GSM4697851
SRR12333572,94467254,4817829954,51,1621,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 20 min",GSM4697852
SRR12333573,30705887,1566000237,51,544,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 40 min",GSM4697853
SRR12333574,43353665,2211036915,51,755,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 60 min",GSM4697854
SRR12333575,85744650,4372977150,51,1475,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 90 min",GSM4697855
SRR12333576,41156099,2098961049,51,733,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,RAW264.7,RAW264.7,ribosome-protected fragments,"4sU, 120 min",GSM4697856
