Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,age,dev_stage,geo_loc_name,tissue,sample_type,temp,treatment,Replica,BioSampleModel
SRR12343700,26984239,1942865208,72,677,SRX8843319,ControlIAA12_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106378,SAMN15666619,simple,3702,Arabidopsis thaliana,ControlIAA12_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at 12h  auxin-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours control,1,Plant
SRR12343699,31760086,2286726192,72,845,SRX8843320,ControlIAA12_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106379,SAMN15666620,simple,3702,Arabidopsis thaliana,ControlIAA12_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at 12h  auxin-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours control,2,Plant
SRR12343698,17086507,1230228504,72,456,SRX8843321,ControlIAA15_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106380,SAMN15666629,simple,3702,Arabidopsis thaliana,ControlIAA15_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at  15mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes control,2,Plant
SRR12343697,299399360,32446056170,108,9987,SRX8843322,ControlIAA15_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106381,SAMN15666630,simple,3702,Arabidopsis thaliana,ControlIAA15_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at  15mins-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes control,3,Plant
SRR12343696,195453612,23566863914,120,7540,SRX8843323,ControlIAA1_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106382,SAMN15666631,simple,3702,Arabidopsis thaliana,ControlIAA1_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour control,1,Plant
SRR12343695,18927660,1362791520,72,495,SRX8843324,ControlIAA1_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106383,SAMN15666632,simple,3702,Arabidopsis thaliana,ControlIAA1_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour control,2,Plant
SRR12343694,197789250,23405539150,118,7063,SRX8843325,ControlIAA1_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106384,SAMN15666633,simple,3702,Arabidopsis thaliana,ControlIAA1_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  1h-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour control,3,Plant
SRR12343693,133800572,15583322134,116,4713,SRX8843326,ControlIAA1_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106385,SAMN15666634,simple,3702,Arabidopsis thaliana,ControlIAA1_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour control,1,Plant
SRR12343692,15703403,1130645016,72,420,SRX8843327,ControlIAA1_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106386,SAMN15666635,simple,3702,Arabidopsis thaliana,ControlIAA1_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour control,2,Plant
SRR12343691,153212006,18236215582,119,5433,SRX8843328,ControlIAA1_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106387,SAMN15666636,simple,3702,Arabidopsis thaliana,ControlIAA1_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 1h-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour control,3,Plant
