Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,molecule type,GEO Accession
SRR12352385,68869429,9566546457,138,4833,SRX8851832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113600,SAMN15678125,simple,9606,Homo sapiens,GSM4704320,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated RNA-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704320
SRR12352386,58174490,8068188722,138,4076,SRX8851833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113601,SAMN15678124,simple,9606,Homo sapiens,GSM4704321,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated RNA-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704321
SRR12352387,25820161,3540751477,137,1789,SRX8851834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113602,SAMN15678128,simple,9606,Homo sapiens,GSM4704322,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated RNA-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704322
SRR12352388,96679103,13199698333,136,6695,SRX8851835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113603,SAMN15678127,simple,9606,Homo sapiens,GSM4704323,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated RNA-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704323
SRR12352389,28668847,4087979903,142,2060,SRX8851836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113604,SAMN15678122,simple,9606,Homo sapiens,GSM4704324,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated RNA-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704324
SRR12352390,35619184,4888760698,137,2458,SRX8851837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113605,SAMN15678119,simple,9606,Homo sapiens,GSM4704325,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated RNA-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704325
SRR12352391,10412172,1572237972,151,1040,SRX8851838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113606,SAMN15678117,simple,9606,Homo sapiens,GSM4704326,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated PAT-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704326
SRR12352392,15965347,2410767397,151,1587,SRX8851839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113607,SAMN15678114,simple,9606,Homo sapiens,GSM4704327,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated PAT-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704327
SRR12352393,6652499,1004527349,151,660,SRX8851840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113608,SAMN15678112,simple,9606,Homo sapiens,GSM4704328,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated PAT-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704328
SRR12352394,17753799,2680823649,151,1733,SRX8851841,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113609,SAMN15678110,simple,9606,Homo sapiens,GSM4704329,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated PAT-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704329
SRR12352395,22519609,3400460959,151,2212,SRX8851842,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113610,SAMN15678108,simple,9606,Homo sapiens,GSM4704330,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated PAT-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704330
SRR12352396,8324830,1257049330,151,830,SRX8851843,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113611,SAMN15678106,simple,9606,Homo sapiens,GSM4704331,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated PAT-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Poly(A) mRNA,GSM4704331
SRR12352397,58904113,4476712588,76,1897,SRX8851844,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113612,SAMN15678104,simple,9606,Homo sapiens,GSM4704332,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated miRNA-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704332
SRR12352398,59078585,4489972460,76,1926,SRX8851845,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113613,SAMN15678103,simple,9606,Homo sapiens,GSM4704333,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated miRNA-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704333
SRR12352399,23045054,1751424104,76,751,SRX8851846,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113614,SAMN15678102,simple,9606,Homo sapiens,GSM4704334,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated miRNA-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704334
SRR12352400,8879548,674845648,76,286,SRX8851847,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113615,SAMN15678101,simple,9606,Homo sapiens,GSM4704335,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated miRNA-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704335
SRR12352401,19904116,1512712816,76,645,SRX8851848,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113616,SAMN15678100,simple,9606,Homo sapiens,GSM4704336,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated miRNA-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704336
SRR12352402,60315275,4583960900,76,1938,SRX8851849,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274313,PRJNA649751,37293985,"",SRS7113617,SAMN15678099,simple,9606,Homo sapiens,GSM4704337,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated miRNA-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,small RNA,GSM4704337
SRR17096848,182044679,4256080058,23,1825,SRX13284759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP274313,PRJNA649751,37293985,"",SRS11197516,SAMN23566766,simple,9606,Homo sapiens,GSM5711742,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated Ribo-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Ribosome protected RNA,GSM5711742
SRR17096849,473953626,12661740530,26,4865,SRX13284760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP274313,PRJNA649751,37293985,"",SRS11197518,SAMN23566767,simple,9606,Homo sapiens,GSM5711743,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated Ribo-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Ribosome protected RNA,GSM5711743
SRR17096850,456057378,11889721683,26,4606,SRX13284761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP274313,PRJNA649751,37293985,"",SRS11197517,SAMN23566768,simple,9606,Homo sapiens,GSM5711744,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,undifferentiated Ribo-Seq3,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Ribosome protected RNA,GSM5711744
SRR17096851,285199721,7311532755,25,2958,SRX13284762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP274313,PRJNA649751,37293985,"",SRS11197519,SAMN23566769,simple,9606,Homo sapiens,GSM5711745,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated Ribo-Seq1,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Ribosome protected RNA,GSM5711745
SRR17096852,100602468,2443588095,24,1026,SRX13284763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP274313,PRJNA649751,37293985,"",SRS11197520,SAMN23566770,simple,9606,Homo sapiens,GSM5711746,GEO,SRA1105709,06,2023,Kiltschewskij,Neuronally differentiated SH-SY5Y,differentiated Ribo-Seq2,Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,9,Ribosome protected RNA,GSM5711746
