Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,depolarised,molecule subtype,GEO Accession
SRR12391502,32769504,4610303591,140,2001,SRX8889937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149416,SAMN15734831,simple,9606,Homo sapiens,GSM4711285,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 1 [r1.mrna],resting,Neuronally differentiated SH-SY5Y,7,No,Poly(A) mRNA,GSM4711285
SRR12391503,20444725,1553799100,76,518,SRX8889938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149417,SAMN15734830,simple,9606,Homo sapiens,GSM4711286,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 1 [r1.ribo],resting,Neuronally differentiated SH-SY5Y,7,No,ribosome-protected mRNA,GSM4711286
SRR12391504,69002565,5244194940,76,1857,SRX8889939,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149418,SAMN15734829,simple,9606,Homo sapiens,GSM4711287,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 1 [r1.small.rna],resting,Neuronally differentiated SH-SY5Y,7,No,small RNA,GSM4711287
SRR12391505,37275641,5262810014,141,2289,SRX8889940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149419,SAMN15734828,simple,9606,Homo sapiens,GSM4711288,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 2 [r2.mrna],resting,Neuronally differentiated SH-SY5Y,7,No,Poly(A) mRNA,GSM4711288
SRR12391506,65732312,4995655712,76,1643,SRX8889941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149420,SAMN15734827,simple,9606,Homo sapiens,GSM4711289,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 2 [r2.ribo],resting,Neuronally differentiated SH-SY5Y,7,No,ribosome-protected mRNA,GSM4711289
SRR12391507,6756610,513502360,76,183,SRX8889942,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149421,SAMN15734826,simple,9606,Homo sapiens,GSM4711290,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 2 [r2.small.rna],resting,Neuronally differentiated SH-SY5Y,7,No,small RNA,GSM4711290
SRR12391508,33142169,4704134404,141,2040,SRX8889943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149422,SAMN15734825,simple,9606,Homo sapiens,GSM4711291,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 3 [r3.mrna],resting,Neuronally differentiated SH-SY5Y,7,No,Poly(A) mRNA,GSM4711291
SRR12391509,75598536,5745488736,76,1901,SRX8889944,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149423,SAMN15734822,simple,9606,Homo sapiens,GSM4711292,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 3 [r3.ribo],resting,Neuronally differentiated SH-SY5Y,7,No,ribosome-protected mRNA,GSM4711292
SRR12391510,9896901,752164476,76,276,SRX8889945,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149424,SAMN15734821,simple,9606,Homo sapiens,GSM4711293,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 3 [r3.small.rna],resting,Neuronally differentiated SH-SY5Y,7,No,small RNA,GSM4711293
SRR12391511,30564305,4376838875,143,1901,SRX8889946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149425,SAMN15734820,simple,9606,Homo sapiens,GSM4711294,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 4 [r4.mrna],resting,Neuronally differentiated SH-SY5Y,7,No,Poly(A) mRNA,GSM4711294
SRR12391512,32804595,2493149220,76,834,SRX8889947,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149426,SAMN15734819,simple,9606,Homo sapiens,GSM4711295,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 4 [r4.ribo],resting,Neuronally differentiated SH-SY5Y,7,No,ribosome-protected mRNA,GSM4711295
SRR12391513,8664259,658483684,76,234,SRX8889948,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149427,SAMN15734817,simple,9606,Homo sapiens,GSM4711296,GEO,SRA1108561,09,2020,Kiltschewskij,resting,resting 4 [r4.small.rna],resting,Neuronally differentiated SH-SY5Y,7,No,small RNA,GSM4711296
SRR12391514,85030421,11748599548,138,5073,SRX8889949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149428,SAMN15734814,simple,9606,Homo sapiens,GSM4711297,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 1,depol 0 hours 1 [k0h1.mrna],depol 0 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711297
SRR12391515,60763644,4618036944,76,1621,SRX8889950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149429,SAMN15734812,simple,9606,Homo sapiens,GSM4711298,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 1,depol 0 hours 1 [k0h1.ribo],depol 0 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711298
SRR12391516,18821252,1430415152,76,484,SRX8889951,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149430,SAMN15734810,simple,9606,Homo sapiens,GSM4711299,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 1,depol 0 hours 1 [k0h1.small.rna],depol 0 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711299
SRR12391517,111742676,15675632000,140,6883,SRX8889952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149431,SAMN15734808,simple,9606,Homo sapiens,GSM4711300,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 2,depol 0 hours 2 [k0h2.mrna],depol 0 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711300
SRR12391518,65094927,4947214452,76,1737,SRX8889953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149432,SAMN15734806,simple,9606,Homo sapiens,GSM4711301,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 2,depol 0 hours 2 [k0h2.ribo],depol 0 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711301
SRR12391519,14693679,1116719604,76,375,SRX8889954,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149433,SAMN15734804,simple,9606,Homo sapiens,GSM4711302,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 2,depol 0 hours 2 [k0h2.small.rna],depol 0 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711302
SRR12391520,39719827,5631736836,141,2420,SRX8889955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149434,SAMN15734802,simple,9606,Homo sapiens,GSM4711303,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 3,depol 0 hours 3 [k0h3.mrna],depol 0 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711303
SRR12391521,84972216,6457888416,76,2293,SRX8889956,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149435,SAMN15734801,simple,9606,Homo sapiens,GSM4711304,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 3,depol 0 hours 3 [k0h3.ribo],depol 0 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711304
SRR12391522,25623611,1947394436,76,664,SRX8889957,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149436,SAMN15734800,simple,9606,Homo sapiens,GSM4711305,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 3,depol 0 hours 3 [k0h3.small.rna],depol 0 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711305
SRR12391523,113866040,15738980801,138,6782,SRX8889958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149437,SAMN15734799,simple,9606,Homo sapiens,GSM4711306,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 4,depol 0 hours 4 [k0h4.mrna],depol 0 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711306
