Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,cell line,extracted molecule,treatment,GEO Accession
SRR12482594,107474805,3079397856,28,3844,SRX8976202,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231463,SAMN15863261,simple,4932,Saccharomyces cerevisiae,GSM4733125,GEO,SRA1115031,03,2021,Matsuo,Input.cytosolic,Input.cytosolic.rep1,Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,,GSM4733125
SRR12482595,96016962,2837235099,29,3456,SRX8976203,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231464,SAMN15863260,simple,4932,Saccharomyces cerevisiae,GSM4733126,GEO,SRA1115031,03,2021,Matsuo,Input.cytosolic,Input.cytosolic.rep2,Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,,GSM4733126
SRR12482596,101986949,2915278046,28,3663,SRX8976204,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231465,SAMN15863259,simple,4932,Saccharomyces cerevisiae,GSM4733127,GEO,SRA1115031,03,2021,Matsuo,Hel2_IPed.cytosolic,Hel2_IPed.cytosolic.rep1,Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,Hel2-IP,GSM4733127
SRR12482597,75119038,2169935259,28,2718,SRX8976205,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231466,SAMN15863258,simple,4932,Saccharomyces cerevisiae,GSM4733128,GEO,SRA1115031,03,2021,Matsuo,Hel2_IPed.cytosolic,Hel2_IPed.cytosolic.rep2,Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,Hel2-IP,GSM4733128
SRR12482598,88549077,2593760703,29,3194,SRX8976206,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231467,SAMN15863257,simple,4932,Saccharomyces cerevisiae,GSM4733129,GEO,SRA1115031,03,2021,Matsuo,Input.memb.solubilized,Input.memb.solubilized.rep1,Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,1% TritonX-100,GSM4733129
SRR12482599,76638568,2212555728,28,2764,SRX8976207,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231468,SAMN15863256,simple,4932,Saccharomyces cerevisiae,GSM4733130,GEO,SRA1115031,03,2021,Matsuo,Input.memb.solubilized,Input.memb.solubilized.rep2,Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,1% TritonX-100,GSM4733130
SRR12482600,68041836,1945052974,28,2455,SRX8976208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231469,SAMN15863255,simple,4932,Saccharomyces cerevisiae,GSM4733131,GEO,SRA1115031,03,2021,Matsuo,Hel2_IPed.memb.solubilized,Hel2_IPed.memb.solubilized.rep1,Hel2_IPed.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,1% TritonX-100 Hel2-IP,GSM4733131
SRR12482601,100930458,2880662380,28,3627,SRX8976209,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231470,SAMN15863254,simple,4932,Saccharomyces cerevisiae,GSM4733132,GEO,SRA1115031,03,2021,Matsuo,Hel2_IPed.memb.solubilized,Hel2_IPed.memb.solubilized.rep2,Hel2_IPed.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2,HEL2-FTP,total RNA,1% TritonX-100 Hel2-IP,GSM4733132
SRR12482602,55920306,907137304,16,1829,SRX8976210,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231471,SAMN15863253,simple,4932,Saccharomyces cerevisiae,GSM4733133,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Input.cytosolic,SRP72p.Input.cytosolic.rep1,SRP72p.Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,SRP72 promoter,GSM4733133
SRR12482603,52139489,850057772,16,1708,SRX8976211,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231472,SAMN15863252,simple,4932,Saccharomyces cerevisiae,GSM4733134,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Input.cytosolic,SRP72p.Input.cytosolic.rep2,SRP72p.Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,SRP72 promoter,GSM4733134
SRR12482604,112576286,2090786832,18,3755,SRX8976212,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231473,SAMN15863251,simple,4932,Saccharomyces cerevisiae,GSM4733135,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Hel2_IPed.cytosolic,SRP72p.Hel2_IPed.cytosolic.rep1,SRP72p.Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,Hel2-IP SRP72 promoter,GSM4733135
SRR12482605,109166329,2115099920,19,3670,SRX8976213,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231474,SAMN15863250,simple,4932,Saccharomyces cerevisiae,GSM4733136,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Hel2_IPed.cytosolic,SRP72p.Hel2_IPed.cytosolic.rep2,SRP72p.Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,Hel2-IP SRP72 promoter,GSM4733136
SRR12482606,84712475,1416208584,16,2776,SRX8976214,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231475,SAMN15863249,simple,4932,Saccharomyces cerevisiae,GSM4733137,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Input.memb.solubilized,SRP72p.Input.memb.solubilized.rep1,SRP72p.Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,1% TritonX-100　SRP72 promoter,GSM4733137
SRR12482607,171481871,2800506746,16,4863,SRX8976215,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231476,SAMN15863248,simple,4932,Saccharomyces cerevisiae,GSM4733138,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Input.memb.solubilized,SRP72p.Input.memb.solubilized.rep2,SRP72p.Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,1% TritonX-100　SRP72 promoter,GSM4733138
SRR12482608,87032581,1810718443,20,2966,SRX8976216,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231477,SAMN15863247,simple,4932,Saccharomyces cerevisiae,GSM4733139,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Hel2_IPed.memb.solubilized,SRP72p.Hel2_IPed.memb.solubilized.rep1,SRP72p.Hel2_IPed.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,1% TritonX-100 Hel2-IP　SRP72 promoter,GSM4733139
SRR12482609,136919995,2766319815,20,4633,SRX8976217,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231478,SAMN15863246,simple,4932,Saccharomyces cerevisiae,GSM4733140,GEO,SRA1115031,03,2021,Matsuo,SRP72p.Hel2_IPed.memb.solubilized,SRP72p.Hel2_IPed.memb.solubilized.rep2,SRP72p.Hel2_IPed.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-SRP72p-SRP72-V5,HEL2-FTP SRP72p-SRP72-V5,total RNA,1% TritonX-100 Hel2-IP　SRP72 promoter,GSM4733140
SRR12482586,112229732,2336672068,20,3811,SRX8976218,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231479,SAMN15863245,simple,4932,Saccharomyces cerevisiae,GSM4733141,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Input.cytosolic,GIT1p.Input.cytosolic.rep1,GIT1p.Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,GIT1 promoter,GSM4733141
SRR12482587,119937256,2501677850,20,4075,SRX8976219,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231480,SAMN15863244,simple,4932,Saccharomyces cerevisiae,GSM4733142,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Input.cytosolic,GIT1p.Input.cytosolic.rep2,GIT1p.Input.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,GIT1 promoter,GSM4733142
SRR12482588,175370537,3869378731,22,5215,SRX8976220,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231481,SAMN15863243,simple,4932,Saccharomyces cerevisiae,GSM4733143,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Hel2_IPed.cytosolic,GIT1p.Hel2_IPed.cytosolic.rep1,GIT1p.Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,Hel2-IP GIT1 promoter,GSM4733143
SRR12482589,46270087,1038022596,22,1606,SRX8976221,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231482,SAMN15863242,simple,4932,Saccharomyces cerevisiae,GSM4733144,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Hel2_IPed.cytosolic,GIT1p.Hel2_IPed.cytosolic.rep2,GIT1p.Hel2_IPed.cytosolic,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,Hel2-IP GIT1 promoter,GSM4733144
SRR12482590,106956314,2210273159,20,3635,SRX8976222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231483,SAMN15863241,simple,4932,Saccharomyces cerevisiae,GSM4733145,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Input.memb.solubilized,GIT1p.Input.memb.solubilized.rep1,GIT1p.Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,1% TritonX-100 GIT1 promoter,GSM4733145
SRR12482591,133988366,2634193319,19,4519,SRX8976223,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278190,PRJNA658304,33761353,"",SRS7231484,SAMN15863240,simple,4932,Saccharomyces cerevisiae,GSM4733146,GEO,SRA1115031,03,2021,Matsuo,GIT1p.Input.memb.solubilized,GIT1p.Input.memb.solubilized.rep2,GIT1p.Input.memb.solubilized,MATa ade2 his3 leu2 trp1 ura3 can1 HEL2-FTP::natNT2 srp72::HISMX6 pRS415-GIT1p-SRP72-V5,HEL2-FTP GIT1p-SRP72-V5,total RNA,1% TritonX-100 GIT1 promoter,GSM4733146
