Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,tamoxifen treatment,metformin treatment,insulin treatment,rna fraction,GEO Accession
SRR12539898,21154336,1078871136,51,346,SRX9029579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280861,SAMN15931696,simple,10090,Mus musculus,GSM4751640,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT UT input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751640
SRR12539899,20515877,1046309727,51,336,SRX9029580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280863,SAMN15931695,simple,10090,Mus musculus,GSM4751641,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Met input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751641
SRR12539900,8171900,408595000,50,127,SRX9029581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280864,SAMN15931694,simple,10090,Mus musculus,GSM4751642,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751642
SRR12539901,8817267,449680617,51,194,SRX9029581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280864,SAMN15931694,simple,10090,Mus musculus,GSM4751642,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751667
SRR12539934,18573361,947241411,51,379,SRX9029582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280862,SAMN15931728,simple,10090,Mus musculus,GSM4751667,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk UT input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751668
SRR12539935,19193628,978875028,51,390,SRX9029583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280865,SAMN15931727,simple,10090,Mus musculus,GSM4751668,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Met input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751669
SRR12539936,8129729,406486450,50,126,SRX9029584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280866,SAMN15931726,simple,10090,Mus musculus,GSM4751669,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751670
SRR12539937,22194470,1131917970,51,356,SRX9029584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280866,SAMN15931726,simple,10090,Mus musculus,GSM4751669,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751671
SRR12539938,18029411,919499961,51,372,SRX9029585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280868,SAMN15931725,simple,10090,Mus musculus,GSM4751670,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751672
SRR12539939,7031055,351552750,50,108,SRX9029586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280867,SAMN15931724,simple,10090,Mus musculus,GSM4751671,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751673
