Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sirna,cell line,GEO Accession
SRR12660872,66549287,2095256691,31,945,SRX9141924,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383236,SAMN16198231,simple,9606,Homo sapiens,GSM4793171,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq siCNOT1 Replicate 1,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793171
SRR12660873,64435036,1933905331,30,884,SRX9141925,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383237,SAMN16198230,simple,9606,Homo sapiens,GSM4793172,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq siCNOT1 Replicate 2,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793172
SRR12660874,64758701,1972761029,30,900,SRX9141926,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383238,SAMN16198229,simple,9606,Homo sapiens,GSM4793173,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq siCNOT1 Replicate 3,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793173
SRR12660875,52467278,3384044623,64,1259,SRX9141927,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383239,SAMN16198228,simple,9606,Homo sapiens,GSM4793174,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq siCNOT1 Replicate 1,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793174
SRR12660876,46596646,3005675107,64,1121,SRX9141928,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383240,SAMN16198227,simple,9606,Homo sapiens,GSM4793175,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq siCNOT1 Replicate 2,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793175
SRR12660877,41716258,2691093372,64,1001,SRX9141929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383241,SAMN16198226,simple,9606,Homo sapiens,GSM4793176,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq siCNOT1 Replicate 3,HEK293 cells,CNOT1 siRNA,HEK293,GSM4793176
SRR12660880,55274195,4200838820,76,1428,SRX9141932,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383244,SAMN16198223,simple,9606,Homo sapiens,GSM4793179,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq RPF_Control_rep1,HEK293 cells,Control siRNA,HEK293,GSM4793179
SRR12660881,66720102,5070727752,76,1746,SRX9141933,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383245,SAMN16198222,simple,9606,Homo sapiens,GSM4793180,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq RPF_Control_rep2,HEK293 cells,Control siRNA,HEK293,GSM4793180
SRR12660882,84765053,6442144028,76,2199,SRX9141934,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383246,SAMN16198221,simple,9606,Homo sapiens,GSM4793181,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,Ribo-Seq RPF_Control_rep3,HEK293 cells,Control siRNA,HEK293,GSM4793181
SRR12660883,87034547,6570828168,75,2626,SRX9141935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383247,SAMN16198220,simple,9606,Homo sapiens,GSM4793182,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq TotalRNA_Control_rep1,HEK293 cells,Control siRNA,HEK293,GSM4793182
SRR12660884,74004604,5588042020,75,2228,SRX9141936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383248,SAMN16198219,simple,9606,Homo sapiens,GSM4793183,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq TotalRNA_Control_rep2,HEK293 cells,Control siRNA,HEK293,GSM4793183
SRR12660885,68606140,5180750925,75,2069,SRX9141937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP282906,PRJNA664116,34615539,"",SRS7383249,SAMN16198218,simple,9606,Homo sapiens,GSM4793184,GEO,SRA1127134,08,2021,Gillen,HEK293 cells,RNA-Seq TotalRNA_Control_rep3,HEK293 cells,Control siRNA,HEK293,GSM4793184
