Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,treatment,tissue,antibody,GEO Accession
SRR12749393,32058335,2391680034,74,833,SRX9221372,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455074,SAMN16320142,simple,10090,Mus musculus,GSM4811954,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_input,CaMK2a_KA_input_biorep1,CaMK2a_KA_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811954
SRR12749394,34314443,2560492570,74,890,SRX9221373,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455075,SAMN16320141,simple,10090,Mus musculus,GSM4811955,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_input,CaMK2a_KA_input_biorep2,CaMK2a_KA_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811955
SRR12749395,28130794,2098714547,74,727,SRX9221374,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455076,SAMN16320140,simple,10090,Mus musculus,GSM4811956,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_input,CaMK2a_KA_input_biorep3,CaMK2a_KA_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811956
SRR12749396,30582386,2282091778,74,789,SRX9221375,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455077,SAMN16320139,simple,10090,Mus musculus,GSM4811957,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_IP,CaMK2a_KA_IP_biorep1,CaMK2a_KA_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811957
SRR12749397,24575498,1832644798,74,646,SRX9221376,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455078,SAMN16320138,simple,10090,Mus musculus,GSM4811958,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_IP,CaMK2a_KA_IP_biorep2,CaMK2a_KA_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811958
SRR12749398,28668843,2138358327,74,750,SRX9221377,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455079,SAMN16320137,simple,10090,Mus musculus,GSM4811959,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_IP,CaMK2a_KA_IP_biorep3,CaMK2a_KA_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811959
SRR12749399,38785627,2894094356,74,1002,SRX9221378,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455080,SAMN16320135,simple,10090,Mus musculus,GSM4811960,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_input,CaMK2a_Strd_input_biorep1,CaMK2a_Strd_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811960
SRR12749400,38121131,2844588605,74,985,SRX9221379,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455081,SAMN16320134,simple,10090,Mus musculus,GSM4811961,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_input,CaMK2a_Strd_input_biorep2,CaMK2a_Strd_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811961
SRR12749401,26725089,1994240367,74,691,SRX9221380,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455082,SAMN16320124,simple,10090,Mus musculus,GSM4811962,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_input,CaMK2a_Strd_input_biorep3,CaMK2a_Strd_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811962
SRR12749402,42106078,3140572091,74,1095,SRX9221381,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455083,SAMN16320165,simple,10090,Mus musculus,GSM4811963,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_IP,CaMK2a_Strd_IP_biorep1,CaMK2a_Strd_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811963
SRR12749403,30272027,2259049536,74,780,SRX9221382,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455084,SAMN16320164,simple,10090,Mus musculus,GSM4811964,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_IP,CaMK2a_Strd_IP_biorep2,CaMK2a_Strd_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811964
SRR12749404,32832760,2449623524,74,851,SRX9221383,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455085,SAMN16320163,simple,10090,Mus musculus,GSM4811965,GEO,SRA1136344,10,2020,Yap,CaMK2a_Strd_IP,CaMK2a_Strd_IP_biorep3,CaMK2a_Strd_IP,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811965
SRR12749405,34251733,2556632417,74,940,SRX9221384,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455086,SAMN16320162,simple,10090,Mus musculus,GSM4811966,GEO,SRA1136344,10,2020,Yap,PV_KA_input,PV_KA_input_biorep1,PV_KA_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811966
