Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,isolation_source,collection_date,geo_loc_name,sample_type,age,dev_stage,tissue,BioSampleModel
SRR12763775,18320110,934325610,51,454,SRX9234495,RNA_CTRL_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763774,19928701,1016363751,51,495,SRX9234496,RNA_CTRL_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763773,153162469,7811285919,51,3417,SRX9234497,Ribo_LT_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763772,40009379,1393368477,34,733,SRX9234498,Ribo_LT_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763771,5386880,241991573,44,116,SRX9234499,Term_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763770,5022752,224764947,44,107,SRX9234500,Temr_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763769,19821206,1010881506,51,494,SRX9234501,RNA_HL_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763768,15111206,770671506,51,375,SRX9234502,RNA_HL_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763767,30465930,1553762430,51,755,SRX9234503,RNA_LT_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
SRR12763766,23994992,1223744592,51,593,SRX9234504,RNA_LT_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP286154,PRJNA666973,1,"",SRS7467897,SAMN16338706,simple,1142,Synechocystis,Synechocystis sp. PCC 6803 NGS data,Systems and Synthetic Biology Laboratory,SRA1136927,08,2021,Makar,"","",sp. PCC 6803,not applicable,not applicable,not applicable,not applicable,cell culture,not applicable,not applicable,not applicable,"Microbe, viral or environmental"
