Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell subtype,GEO Accession
SRR12833368,42840302,10710075500,125,5019,SRX9300944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534282,SAMN16475052,simple,9606,Homo sapiens,GSM4832647,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832647
SRR12833369,20684823,5171205750,125,1995,SRX9300944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534282,SAMN16475052,simple,9606,Homo sapiens,GSM4832647,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832648
SRR12833370,19251560,4812890000,125,1873,SRX9300944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534282,SAMN16475052,simple,9606,Homo sapiens,GSM4832647,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832649
SRR12833371,33126764,8281691000,125,3869,SRX9300945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534276,SAMN16475048,simple,9606,Homo sapiens,GSM4832648,GEO,SRA1144780,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes RNA-seq replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832650
SRR12833372,13608607,3402151750,125,1296,SRX9300945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534276,SAMN16475048,simple,9606,Homo sapiens,GSM4832648,GEO,SRA1144780,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes RNA-seq replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832651
SRR12833373,12698467,3174616750,125,1219,SRX9300945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534276,SAMN16475048,simple,9606,Homo sapiens,GSM4832648,GEO,SRA1144780,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes RNA-seq replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832652
SRR12833374,61134094,15283523500,125,7132,SRX9300946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534284,SAMN16475089,simple,9606,Homo sapiens,GSM4832649,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832647
SRR12833375,31994161,7998540250,125,3051,SRX9300946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534284,SAMN16475089,simple,9606,Homo sapiens,GSM4832649,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832648
SRR12833376,29689961,7422490250,125,2854,SRX9300946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534284,SAMN16475089,simple,9606,Homo sapiens,GSM4832649,GEO,SRA1144780,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes RNA-seq replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832649
SRR12833377,39626434,9906608500,125,4629,SRX9300947,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287554,PRJNA669812,34732567,"",SRS7534286,SAMN16475088,simple,9606,Homo sapiens,GSM4832650,GEO,SRA1144780,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes RNA-seq replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832650
