Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,Sex,cell type,GEO Accession
SRR12925958,10541595,1243756726,42,487,SRX9390144,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609443,SAMN16582191,simple,10090,Mus musculus,GSM4871492,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871492
SRR12925959,10083024,1188545136,42,467,SRX9390144,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609443,SAMN16582191,simple,10090,Mus musculus,GSM4871492,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871493
SRR12925960,10790434,1273574039,42,498,SRX9390144,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609443,SAMN16582191,simple,10090,Mus musculus,GSM4871492,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871494
SRR12925961,10754495,1269802687,42,492,SRX9390144,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609443,SAMN16582191,simple,10090,Mus musculus,GSM4871492,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871495
SRR12925962,8985512,1064671566,43,424,SRX9390145,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609444,SAMN16582190,simple,10090,Mus musculus,GSM4871493,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871496
SRR12925963,8514533,1006858741,42,402,SRX9390145,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609444,SAMN16582190,simple,10090,Mus musculus,GSM4871493,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871497
SRR12925964,9158745,1086627203,43,434,SRX9390145,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609444,SAMN16582190,simple,10090,Mus musculus,GSM4871493,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871498
SRR12925965,9239843,1096927939,43,434,SRX9390145,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609444,SAMN16582190,simple,10090,Mus musculus,GSM4871493,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871499
SRR12925966,10916283,1269357193,40,493,SRX9390146,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609445,SAMN16582189,simple,10090,Mus musculus,GSM4871494,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871500
SRR12925967,10413350,1209060542,40,471,SRX9390146,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609445,SAMN16582189,simple,10090,Mus musculus,GSM4871494,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871489
