Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,antibody,cell type,GEO Accession
SRR13015817,11985702,599285100,50,205,SRX9466822,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678945,SAMN16714342,simple,10090,Mus musculus,GSM4889057,GEO,SRA1156737,11,2020,Lin,undifferentiated spermatogonia,undifferentiated spermatogonia_m6A IP_rep1,undifferentiated spermatogonia,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",undifferentiated spermatogonia,GSM4889057
SRR13015818,12892160,644608000,50,226,SRX9466823,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678946,SAMN16714341,simple,10090,Mus musculus,GSM4889058,GEO,SRA1156737,11,2020,Lin,undifferentiated spermatogonia,undifferentiated spermatogonia_m6A IP_rep2,undifferentiated spermatogonia,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",undifferentiated spermatogonia,GSM4889058
SRR13015819,19118993,955949650,50,312,SRX9466824,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678947,SAMN16714340,simple,10090,Mus musculus,GSM4889059,GEO,SRA1156737,11,2020,Lin,type A1 spermatogonia,type A1 spermatogonia_m6A input_rep1,type A1 spermatogonia,C57BL/6,N/A,type A1 spermatogonia,GSM4889059
SRR13015820,18831945,941597250,50,305,SRX9466825,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678948,SAMN16714339,simple,10090,Mus musculus,GSM4889060,GEO,SRA1156737,11,2020,Lin,type A1 spermatogonia,type A1 spermatogonia_m6A input_rep2,type A1 spermatogonia,C57BL/6,N/A,type A1 spermatogonia,GSM4889060
SRR13015821,19599591,979979550,50,319,SRX9466826,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678949,SAMN16714338,simple,10090,Mus musculus,GSM4889061,GEO,SRA1156737,11,2020,Lin,type A1 spermatogonia,type A1 spermatogonia_m6A IP_rep1,type A1 spermatogonia,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",type A1 spermatogonia,GSM4889061
SRR13015822,20313652,1015682600,50,330,SRX9466827,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678950,SAMN16714337,simple,10090,Mus musculus,GSM4889062,GEO,SRA1156737,11,2020,Lin,type A1 spermatogonia,type A1 spermatogonia_m6A IP_rep2,type A1 spermatogonia,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",type A1 spermatogonia,GSM4889062
SRR13015823,13214859,660742950,50,227,SRX9466828,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678951,SAMN16714336,simple,10090,Mus musculus,GSM4889063,GEO,SRA1156737,11,2020,Lin,preleptotene spermatocytes,preleptotene spermatocytes_m6A input_rep1,preleptotene spermatocytes,C57BL/6,N/A,preleptotene spermatocytes,GSM4889063
SRR13015824,13063279,653163950,50,228,SRX9466829,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678952,SAMN16714335,simple,10090,Mus musculus,GSM4889064,GEO,SRA1156737,11,2020,Lin,preleptotene spermatocytes,preleptotene spermatocytes_m6A input_rep2,preleptotene spermatocytes,C57BL/6,N/A,preleptotene spermatocytes,GSM4889064
SRR13015825,10918138,545906900,50,190,SRX9466830,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678953,SAMN16714334,simple,10090,Mus musculus,GSM4889065,GEO,SRA1156737,11,2020,Lin,preleptotene spermatocytes,preleptotene spermatocytes_m6A IP_rep1,preleptotene spermatocytes,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",preleptotene spermatocytes,GSM4889065
SRR13015826,16226856,811342800,50,281,SRX9466831,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678954,SAMN16714365,simple,10090,Mus musculus,GSM4889066,GEO,SRA1156737,11,2020,Lin,preleptotene spermatocytes,preleptotene spermatocytes_m6A IP_rep2,preleptotene spermatocytes,C57BL/6,"anti-m6A antibody (Synaptic System, 202003)",preleptotene spermatocytes,GSM4889066
SRR13015827,9972169,498608450,50,172,SRX9466832,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP291911,PRJNA675749,28914256,"",SRS7678955,SAMN16714364,simple,10090,Mus musculus,GSM4889067,GEO,SRA1156737,11,2020,Lin,pachytene/diplotene spermatocytes,pachytene/diplotene spermatocytes_m6A input_rep1,pachytene/diplotene spermatocytes,C57BL/6,N/A,pachytene/diplotene spermatocytes,GSM4889067
