Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,BioSampleModel
SRR13016610,34237795,10271338500,150,3880,SRX9467525,cBZ056_WT_DMSO_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679634,SAMN16722253,simple,9606,Homo sapiens,cBZ056_WT_DMSO_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016609,36507827,10952348100,150,4074,SRX9467526,cBZ090_eIF4E2-4_DMSO_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679633,SAMN16722254,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016608,26279564,7883869200,150,2966,SRX9467527,cBZ090_eIF4E2-4_SMG1i_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679636,SAMN16722263,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
SRR13016607,63739225,19121767500,150,7135,SRX9467528,cBZ094_GIGYF2-4_SMG1i_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679635,SAMN16722264,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
SRR13016606,36603712,10981113600,150,4717,SRX9467529,cBZ056_WT_DMSO_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679639,SAMN16722265,simple,9606,Homo sapiens,cBZ056_WT_DMSO_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
SRR13016605,37496988,11249096400,150,4872,SRX9467530,cBZ090_eIF4E2-4_DMSO_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679640,SAMN16722266,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
SRR13016604,43434049,13030214700,150,5678,SRX9467531,cBZ094_GIGYF2-4_DMSO_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679637,SAMN16722267,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
SRR13016603,32815797,9844739100,150,4226,SRX9467532,cBZ056_WT_DMSO_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679638,SAMN16722268,simple,9606,Homo sapiens,cBZ056_WT_DMSO_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
SRR13016602,44150177,13245053100,150,5700,SRX9467533,cBZ090_eIF4E2-4_DMSO_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679641,SAMN16722269,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
SRR13016601,33479609,10043882700,150,4341,SRX9467534,cBZ094_GIGYF2-4_DMSO_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679644,SAMN16722270,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,DMSO,Human
