Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,sample type,GEO Accession
SRR13040039,38073938,2855545350,75,1051,SRX9490083,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698911,SAMN16775859,simple,9606,Homo sapiens,GSM4904762,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_Alkb_Treated_Input_for_TRAC-Seq Repeat1,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,wild type,small RNA-Seq,GSM4904762
SRR13040040,38141268,2860595100,75,1007,SRX9490084,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698914,SAMN16775858,simple,9606,Homo sapiens,GSM4904763,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_Alkb_Treated_Input_for_TRAC-Seq Repeat2,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,wild type,small RNA-Seq,GSM4904763
SRR13040041,40068480,3005136000,75,1098,SRX9490085,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698915,SAMN16775857,simple,9606,Homo sapiens,GSM4904764,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_Alkb_Treated_Input_for_TRAC-Seq Repeat1,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,small RNA-Seq,GSM4904764
SRR13040042,40194003,3014550225,75,1053,SRX9490086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698912,SAMN16775856,simple,9606,Homo sapiens,GSM4904765,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_Alkb_Treated_Input_for_TRAC-Seq Repeat2,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,small RNA-Seq,GSM4904765
SRR13040043,40734477,3055085775,75,1091,SRX9490087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698913,SAMN16775855,simple,9606,Homo sapiens,GSM4904766,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_Alkb_and_NaBH4_Treated_TRAC-Seq Repeat1,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,wild type,small RNA-TRAC-Seq,GSM4904766
SRR13040044,46059821,3454486575,75,1211,SRX9490088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698916,SAMN16775854,simple,9606,Homo sapiens,GSM4904767,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_Alkb_and_NaBH4_Treated_TRAC-Seq Repeat2,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,wild type,small RNA-TRAC-Seq,GSM4904767
SRR13040045,49188076,3689105700,75,1352,SRX9490089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698917,SAMN16775853,simple,9606,Homo sapiens,GSM4904768,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_Alkb_and_NaBH4_Treated_TRAC-Seq Repeat1,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,small RNA-TRAC-Seq,GSM4904768
SRR13040046,41420155,3106511625,75,1087,SRX9490090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP292287,PRJNA677870,34352206,"",SRS7698918,SAMN16775852,simple,9606,Homo sapiens,GSM4904769,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_Alkb_and_NaBH4_Treated_TRAC-Seq Repeat2,intrahepatic cholangiocarcinoma cell line,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,small RNA-TRAC-Seq,GSM4904769
SRR14824509,24838582,3725787300,150,1208,SRX11154143,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP292287,PRJNA677870,34352206,"",SRS9215779,SAMN19716273,simple,9606,Homo sapiens,GSM5386896,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_Input_for_RiboSeq_2,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386896
SRR14824510,160456445,5727150497,35,3125,SRX11154144,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP292287,PRJNA677870,34352206,"",SRS9215780,SAMN19716272,simple,9606,Homo sapiens,GSM5386897,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_RiboSeq_1,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386897
SRR14824511,23443137,3516470550,150,1115,SRX11154145,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP292287,PRJNA677870,34352206,"",SRS9215781,SAMN19716271,simple,9606,Homo sapiens,GSM5386898,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_Input_for_RiboSeq_1,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386898
SRR14824512,146573353,5274013725,35,2877,SRX11154146,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP292287,PRJNA677870,34352206,"",SRS9215782,SAMN19716270,simple,9606,Homo sapiens,GSM5386899,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_RiboSeq_2,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386899
SRR14824513,22382190,1119109500,50,879,SRX11154147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215783,SAMN19716269,simple,9606,Homo sapiens,GSM5386900,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_rnc_repeat1,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386900
SRR14824514,23024837,1151241850,50,925,SRX11154148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215784,SAMN19716268,simple,9606,Homo sapiens,GSM5386901,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_rnc_repeat2,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386901
SRR14824515,23001490,1150074500,50,924,SRX11154149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215785,SAMN19716267,simple,9606,Homo sapiens,GSM5386902,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_rnc_repeat1,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386902
SRR14824516,23094779,1154738950,50,940,SRX11154150,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215787,SAMN19716266,simple,9606,Homo sapiens,GSM5386903,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_rnc_repeat2,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386903
SRR14824517,23010170,1150508500,50,922,SRX11154151,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215786,SAMN19716265,simple,9606,Homo sapiens,GSM5386904,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_input_repeat1,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386904
SRR14824518,23048302,1152415100,50,924,SRX11154152,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215788,SAMN19716264,simple,9606,Homo sapiens,GSM5386905,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,WT_input_repeat2,intrahepatic cholangiocarcinoma cell line,wild type,,,GSM5386905
SRR14824519,23067441,1153372050,50,945,SRX11154153,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215789,SAMN19716263,simple,9606,Homo sapiens,GSM5386906,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_input_repeat1,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386906
SRR14824520,23071070,1153553500,50,926,SRX11154154,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP292287,PRJNA677870,34352206,"",SRS9215790,SAMN19716262,simple,9606,Homo sapiens,GSM5386907,GEO,SRA1157794,08,2021,Dai,intrahepatic cholangiocarcinoma cell line,Knockdown_input_repeat2,intrahepatic cholangiocarcinoma cell line,Mettl1 knockdown,,,GSM5386907
