Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,GEO Accession
SRR13119866,140160118,10652168968,76,3549,SRX9561929,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7771359,SAMN16878309,simple,9606,Homo sapiens,GSM4932128,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_Cntrl_WT_rep1,HeLa cells,WT,GSM4932128
SRR13119867,119712202,9098127352,76,3067,SRX9561930,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7772887,SAMN16878308,simple,9606,Homo sapiens,GSM4932129,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_Cntrl_NAT10_rep1,HeLa cells,NAT10-/-,GSM4932129
SRR13119868,163532050,12428435800,76,4405,SRX9561931,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7768721,SAMN16878306,simple,9606,Homo sapiens,GSM4932130,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_Cntrl_WT_rep2,HeLa cells,WT,GSM4932130
SRR13119869,91308700,6939461200,76,2331,SRX9561932,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7773361,SAMN16878304,simple,9606,Homo sapiens,GSM4932131,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_Cntrl_NAT10_rep2,HeLa cells,NAT10-/-,GSM4932131
SRR13119870,206805530,15717220280,76,5621,SRX9561933,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7774393,SAMN16878303,simple,9606,Homo sapiens,GSM4932132,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_RPF_NAT10_rep1,HeLa cells,NAT10-/-,GSM4932132
SRR13119871,134708068,10237813168,76,3473,SRX9561934,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7765865,SAMN16878301,simple,9606,Homo sapiens,GSM4932133,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_RPF_WT_rep1,HeLa cells,WT,GSM4932133
SRR13119872,168041904,12771184704,76,4418,SRX9561935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7771223,SAMN16878299,simple,9606,Homo sapiens,GSM4932134,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_RPF_WT_rep2,HeLa cells,WT,GSM4932134
SRR13119873,175657103,13349939828,76,4753,SRX9561936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP293844,PRJNA680357,35679869,"",SRS7775776,SAMN16878298,simple,9606,Homo sapiens,GSM4932135,GEO,SRA1162933,06,2022,Arango,HeLa cells,HR_RPF_NAT10_rep2,HeLa cells,NAT10-/-,GSM4932135
SRR13119874,123472042,31114954584,126,10508,SRX9561937,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP293844,PRJNA680357,35679869,"",SRS7763675,SAMN16878296,simple,9606,Homo sapiens,GSM4932136,GEO,SRA1162933,06,2022,Arango,HeLa cells,NaBH4_WT_Rep_1,HeLa cells,WT,GSM4932136
SRR13119875,110587418,27868029336,126,9206,SRX9561938,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP293844,PRJNA680357,35679869,"",SRS7774055,SAMN16878295,simple,9606,Homo sapiens,GSM4932137,GEO,SRA1162933,06,2022,Arango,HeLa cells,NaBH4_NAT10_Rep_1,HeLa cells,NAT10-/-,GSM4932137
