Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Stage,surgery,treatment,GEO Accession
SRR13509498,16197643,1619764300,50,619,SRX9920961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097883,SAMN17497065,simple,8355,Xenopus laevis,GSM5031786,GEO,SRA1186851,11,2021,Peñailillo,2h - sham - S1',Sample_120SHAM_ED20,2h - sham - S1',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031786
SRR13509499,20769534,2076953400,50,797,SRX9920962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097882,SAMN17497064,simple,8355,Xenopus laevis,GSM5031787,GEO,SRA1186851,11,2021,Peñailillo,2h - sham - S2',Sample_120SHAM_ED23,2h - sham - S2',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031787
SRR13509500,16573749,1657374900,50,636,SRX9920963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097885,SAMN17497063,simple,8355,Xenopus laevis,GSM5031788,GEO,SRA1186851,11,2021,Peñailillo,2h - transection - S1,Sample_120TRANS_ED20,2h - transection - S1,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031788
SRR13509501,15071279,1507127900,50,584,SRX9920964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097884,SAMN17497062,simple,8355,Xenopus laevis,GSM5031789,GEO,SRA1186851,11,2021,Peñailillo,2h - transection - S2,Sample_120TRANS_ED23,2h - transection - S2,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031789
SRR13509502,16066080,1606608000,50,618,SRX9920965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097886,SAMN17497061,simple,8355,Xenopus laevis,GSM5031790,GEO,SRA1186851,11,2021,Peñailillo,0.5h - sham - S1',Sample_30SHAM_ED20,0.5h - sham - S1',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031790
SRR13509503,15311616,1531161600,50,585,SRX9920966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097887,SAMN17497059,simple,8355,Xenopus laevis,GSM5031791,GEO,SRA1186851,11,2021,Peñailillo,0.5h - sham - S2',Sample_30SHAM_ED23,0.5h - sham - S2',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031791
SRR13509504,18222957,1822295700,50,704,SRX9920967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097888,SAMN17497058,simple,8355,Xenopus laevis,GSM5031792,GEO,SRA1186851,11,2021,Peñailillo,0.5h - transection - S1,Sample_30TRANS_ED20,0.5h - transection - S1,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031792
SRR13509505,16843042,1684304200,50,649,SRX9920968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097891,SAMN17497057,simple,8355,Xenopus laevis,GSM5031793,GEO,SRA1186851,11,2021,Peñailillo,0.5h - transection - S2,Sample_30TRANS_ED23,0.5h - transection - S2,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031793
SRR13509506,19864452,1986445200,50,764,SRX9920969,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097889,SAMN17497056,simple,8355,Xenopus laevis,GSM5031794,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S1,S1'",Sample_50_1_ED20,"0h - uninjured - S1,S1'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031794
SRR13509507,19392167,1939216700,50,740,SRX9920970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097890,SAMN17497055,simple,8355,Xenopus laevis,GSM5031795,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S2,S2'",Sample_50_1_ED23,"0h - uninjured - S2,S2'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031795
SRR13509508,17001050,1700105000,50,653,SRX9920971,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097893,SAMN17497054,simple,8355,Xenopus laevis,GSM5031796,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S1,S1'",Sample_50_2_ED20,"0h - uninjured - S1,S1'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031796
SRR13509509,18882037,1888203700,50,719,SRX9920972,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097892,SAMN17497052,simple,8355,Xenopus laevis,GSM5031797,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S2,S2'",Sample_50_2_ED23,"0h - uninjured - S2,S2'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031797
SRR13509510,18310893,1831089300,50,706,SRX9920973,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097894,SAMN17497051,simple,8355,Xenopus laevis,GSM5031798,GEO,SRA1186851,11,2021,Peñailillo,1h - sham - S1',Sample_60SHAM_ED20,1h - sham - S1',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031798
SRR13509511,19569871,1956987100,50,755,SRX9920974,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097895,SAMN17497050,simple,8355,Xenopus laevis,GSM5031799,GEO,SRA1186851,11,2021,Peñailillo,1h - sham - S2',Sample_60SHAM_ED23,1h - sham - S2',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031799
SRR13509512,17651652,1765165200,50,681,SRX9920975,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097896,SAMN17497049,simple,8355,Xenopus laevis,GSM5031800,GEO,SRA1186851,11,2021,Peñailillo,1h - transection - S1,Sample_60TRANS_ED20,1h - transection - S1,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031800
SRR13509513,17802141,1780214100,50,689,SRX9920976,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097897,SAMN17497048,simple,8355,Xenopus laevis,GSM5031801,GEO,SRA1186851,11,2021,Peñailillo,1h - transection - S2,Sample_60TRANS_ED23,1h - transection - S2,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031801
SRR13509514,14699064,1469906400,50,562,SRX9920977,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097900,SAMN17497046,simple,8355,Xenopus laevis,GSM5031802,GEO,SRA1186851,11,2021,Peñailillo,1.5h - sham - S1',Sample_90SHAM_ED20,1.5h - sham - S1',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031802
SRR13509515,20120753,2012075300,50,776,SRX9920978,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097899,SAMN17497045,simple,8355,Xenopus laevis,GSM5031803,GEO,SRA1186851,11,2021,Peñailillo,1.5h - sham - S2',Sample_90SHAM_ED23,1.5h - sham - S2',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031803
SRR13509516,16044732,1604473200,50,606,SRX9920979,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097898,SAMN17497044,simple,8355,Xenopus laevis,GSM5031804,GEO,SRA1186851,11,2021,Peñailillo,1.5h - transection - S1,Sample_90TRANS_ED20,1.5h - transection - S1,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031804
