Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,plasmids,molecule subtype,strain,substrain,GEO Accession
SRR13554798,39548813,1977440650,50,958,SRX9953274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128202,SAMN17595242,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044532,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_control_FP1,cell cultures,trmD_control,pClpPX,mRNA: ribosome footprints,K-12,MG1655,GSM5044532
SRR13554799,42542885,2127144250,50,1035,SRX9953275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128203,SAMN17595241,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044533,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_degron_FP1,cell cultures,trmD_degron (YALAA),pClpPX,mRNA: ribosome footprints,K-12,MG1655,GSM5044533
SRR13554800,59631710,2981585500,50,1435,SRX9953276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128204,SAMN17595240,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044534,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_control_RNAseq1,cell cultures,trmD_control,pClpPX,mRNA,K-12,MG1655,GSM5044534
SRR13554801,38671172,1933558600,50,933,SRX9953277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128205,SAMN17595239,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044535,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_degron_RNAseq1,cell cultures,trmD_degron (YALAA),pClpPX,mRNA,K-12,MG1655,GSM5044535
SRR13554802,35664330,1783216500,50,860,SRX9953278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128206,SAMN17595238,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044536,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_control_FP2,cell cultures,trmD_control,pClpPX,mRNA: ribosome footprints,K-12,MG1655,GSM5044536
SRR13554803,32858231,1642911550,50,786,SRX9953279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128207,SAMN17595288,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044537,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_degron_FP2,cell cultures,trmD_degron (YALAA),pClpPX,mRNA: ribosome footprints,K-12,MG1655,GSM5044537
SRR13554804,31008844,1550442200,50,732,SRX9953280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128208,SAMN17595287,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044538,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_control_RNAseq2,cell cultures,trmD_control,pClpPX,mRNA,K-12,MG1655,GSM5044538
SRR13554805,34581781,1729089050,50,815,SRX9953281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128209,SAMN17595286,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044539,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_degron_RNAseq2,cell cultures,trmD_degron (YALAA),pClpPX,mRNA,K-12,MG1655,GSM5044539
SRR13554806,17870060,893503000,50,514,SRX9953282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128210,SAMN17595285,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044540,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_WT_FP,cell cultures,trmD_WT,pTrm5,mRNA: ribosome footprints,K-12,MG1655,GSM5044540
SRR13554807,13132853,656642650,50,380,SRX9953283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP303381,PRJNA695008,34382933,"",SRS8128211,SAMN17595284,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5044541,GEO,SRA1188210,08,2021,Masuda,cell cultures,trmD_KO_FP,cell cultures,trmD_KO,pTrm5,mRNA: ribosome footprints,K-12,MG1655,GSM5044541
