Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,Stage,manipulation,rna population,library type,GEO Accession
SRR13679780,11987416,479496640,40,173,SRX10069171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230899,SAMN17860318,simple,8355,Xenopus laevis,GSM5074338,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RiboZeroGold_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074338
SRR13679781,12557063,502282520,40,180,SRX10069172,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230900,SAMN17860317,simple,8355,Xenopus laevis,GSM5074339,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_PABPC1_RiboZeroGold_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,PABPC1-overexpressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074339
SRR13679782,11622565,464902600,40,166,SRX10069173,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230901,SAMN17860316,simple,8355,Xenopus laevis,GSM5074340,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_RiboZeroGold_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,ePAB-overexpressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074340
SRR13679783,21011255,840450200,40,329,SRX10069174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230902,SAMN17860315,simple,8355,Xenopus laevis,GSM5074341,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_no_rRNA_depletion_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074341
SRR13679784,57233402,2289336080,40,890,SRX10069174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230902,SAMN17860315,simple,8355,Xenopus laevis,GSM5074341,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_no_rRNA_depletion_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,ePAB-overexpressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074342
SRR13679785,21250888,850035520,40,334,SRX10069175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230903,SAMN17860314,simple,8355,Xenopus laevis,GSM5074342,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_no_rRNA_depletion_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074343
SRR13679786,56741498,2269659920,40,886,SRX10069175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230903,SAMN17860314,simple,8355,Xenopus laevis,GSM5074342,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_no_rRNA_depletion_RNA_seq,HeLa cells,cell line,N/A,transfected with non-targeting siRNAs for 72h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074344
SRR13679787,20011510,800460400,40,314,SRX10069176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230904,SAMN17860313,simple,8355,Xenopus laevis,GSM5074343,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_no_rRNA_depletion_matched_RiboZeroGold_RNA_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 for 72h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074345
SRR13679788,15519169,620766760,40,387,SRX10069177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230905,SAMN17860384,simple,9606,Homo sapiens,GSM5074344,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siControl_72h_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,water-injected,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074337
SRR13679789,21254828,850193120,40,528,SRX10069178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230906,SAMN17860485,simple,9606,Homo sapiens,GSM5074345,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1_72h_RNA_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC4 for 72h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074346
