Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment 1,treatment 2,library,molecule subtype,GEO Accession
SRR13762817,14072000,656291212,46,285,SRX10149502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301819,SAMN18025995,simple,9606,Homo sapiens,GSM5099830,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 1 -ribosome profiling [CYT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099830
SRR13762818,13458704,627735477,46,271,SRX10149502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301819,SAMN18025995,simple,9606,Homo sapiens,GSM5099830,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 1 -ribosome profiling [CYT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099831
SRR13762819,13644672,638937885,46,287,SRX10149502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301819,SAMN18025995,simple,9606,Homo sapiens,GSM5099830,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 1 -ribosome profiling [CYT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099832
SRR13762820,13241223,619860021,46,278,SRX10149502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301819,SAMN18025995,simple,9606,Homo sapiens,GSM5099830,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 1 -ribosome profiling [CYT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099833
SRR13762821,13012779,601894467,46,263,SRX10149503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301820,SAMN18025994,simple,9606,Homo sapiens,GSM5099831,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 2 -ribosome profiling [CYT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099834
SRR13762822,12452748,576198485,46,250,SRX10149503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301820,SAMN18025994,simple,9606,Homo sapiens,GSM5099831,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 2 -ribosome profiling [CYT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099835
SRR13762823,12622802,586366327,46,265,SRX10149503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301820,SAMN18025994,simple,9606,Homo sapiens,GSM5099831,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 2 -ribosome profiling [CYT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099836
SRR13762824,12237998,568514110,46,256,SRX10149503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301820,SAMN18025994,simple,9606,Homo sapiens,GSM5099831,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 2 -ribosome profiling [CYT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099837
SRR13762825,18470046,852210822,46,344,SRX10149504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301821,SAMN18025993,simple,9606,Homo sapiens,GSM5099832,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 3 -ribosome profiling [EndoCyto],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099838
SRR13762826,18340690,846414286,46,342,SRX10149504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301821,SAMN18025993,simple,9606,Homo sapiens,GSM5099832,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 3 -ribosome profiling [EndoCyto],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099839
