Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,valine concentration,rna fraction,mouse strain,GEO Accession
SRR13784003,71379468,3640352868,51,1119,SRX10169253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319373,SAMN18057268,simple,10090,Mus musculus,GSM5106818,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_8g_valine_total_RNA,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,8g/kg valine diet (control),total RNA,C57BL/6,GSM5106818
SRR13784004,32094167,1636802517,51,528,SRX10169254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319374,SAMN18057267,simple,10090,Mus musculus,GSM5106819,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_8g_valine_RPF,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,8g/kg valine diet (control),ribosome protected fragments,C57BL/6,GSM5106819
SRR13784005,52011972,2652610572,51,810,SRX10169255,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319375,SAMN18057266,simple,10090,Mus musculus,GSM5106820,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0-8g_valine_total_RNA,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.8g/kg valine diet,total RNA,C57BL/6,GSM5106820
SRR13784006,62165157,3170423007,51,1020,SRX10169256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319376,SAMN18057265,simple,10090,Mus musculus,GSM5106821,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0-8g_valine_RPF,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.8g/kg valine diet,ribosome protected fragments,C57BL/6,GSM5106821
SRR13784007,56887919,2901283869,51,889,SRX10169257,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319377,SAMN18057264,simple,10090,Mus musculus,GSM5106822,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0-4g_valine_total_RNA,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.4g/kg valine diet,total RNA,C57BL/6,GSM5106822
SRR13784008,44422187,2265531537,51,725,SRX10169258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319378,SAMN18057263,simple,10090,Mus musculus,GSM5106823,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0-4g_valine_RPF,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.4g/kg valine diet,ribosome protected fragments,C57BL/6,GSM5106823
SRR13784009,35410702,1805945802,51,551,SRX10169259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319379,SAMN18057262,simple,10090,Mus musculus,GSM5106824,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0g_valine_total_RNA,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.0g/kg valine diet,total RNA,C57BL/6,GSM5106824
SRR13784010,43648186,2226057486,51,709,SRX10169260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319380,SAMN18057261,simple,10090,Mus musculus,GSM5106825,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL2_0g_valine_RPF,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,0.0g/kg valine diet,ribosome protected fragments,C57BL/6,GSM5106825
SRR13784011,50730267,2587243617,51,792,SRX10169261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319381,SAMN18057260,simple,10090,Mus musculus,GSM5106826,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL3_8g_valine_total_RNA,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,8g/kg valine diet (control),total RNA,C57BL/6,GSM5106826
SRR13784012,33882289,1727996739,51,557,SRX10169262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP308208,PRJNA704908,34937946,"",SRS8319382,SAMN18057259,simple,10090,Mus musculus,GSM5106827,GEO,SRA1200113,10,2021,Thandapani,mouse secondary transplant of T-ALL,TALL3_8g_valine_RPF,mouse secondary transplant of T-ALL,secondary transplant of T-ALL,8g/kg valine diet (control),ribosome protected fragments,C57BL/6,GSM5106827
