Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,time,rna type,GEO Accession
SRR13890644,97693282,9769328200,50,4694,SRX10270363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403897,SAMN18208305,simple,10090,Mus musculus,GSM5141288,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep1_RNA,Primed OT1 cells,OT1,Unstimulated,T0,total RNA,GSM5141288
SRR13890645,98808421,9880842100,50,4742,SRX10270364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403899,SAMN18208304,simple,10090,Mus musculus,GSM5141289,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep2_RNA,Primed OT1 cells,OT1,Unstimulated,T0,total RNA,GSM5141289
SRR13890646,99877582,9987758200,50,4787,SRX10270365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403900,SAMN18208303,simple,10090,Mus musculus,GSM5141290,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep3_RNA,Primed OT1 cells,OT1,Unstimulated,T0,total RNA,GSM5141290
SRR13890647,108761655,10876165500,50,5329,SRX10270366,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403898,SAMN18208302,simple,10090,Mus musculus,GSM5141291,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_2hr_Rep1_RNA,Primed OT1 cells,OT1,Stimulated,2hr,total RNA,GSM5141291
SRR13890648,128356992,12835699200,50,6211,SRX10270367,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403901,SAMN18208301,simple,10090,Mus musculus,GSM5141298,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_2hr_Rep2_RNA,Primed OT1 cells,OT1,Stimulated,2hr,total RNA,GSM5141298
SRR13890649,109787670,10978767000,50,5330,SRX10270368,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403904,SAMN18208300,simple,10090,Mus musculus,GSM5141301,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_2hr_Rep3_RNA,Primed OT1 cells,OT1,Stimulated,2hr,total RNA,GSM5141301
SRR13890650,41421467,2071073350,50,1165,SRX10270369,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403905,SAMN18208299,simple,10090,Mus musculus,GSM5141303,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep1_FP,Primed OT1 cells,OT1,Unstimulated,T0,Ribosome protected RNA,GSM5141303
SRR13890651,65024262,3251213100,50,1829,SRX10270370,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403902,SAMN18208298,simple,10090,Mus musculus,GSM5141306,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep2_FP,Primed OT1 cells,OT1,Unstimulated,T0,Ribosome protected RNA,GSM5141306
SRR13890652,31246913,1562345650,50,855,SRX10270371,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403903,SAMN18208297,simple,10090,Mus musculus,GSM5141308,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_T0_Rep3_FP,Primed OT1 cells,OT1,Unstimulated,T0,Ribosome protected RNA,GSM5141308
SRR13890653,31458696,1572934800,50,852,SRX10270372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403906,SAMN18208296,simple,10090,Mus musculus,GSM5141312,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_2hr_Rep2_FP,Primed OT1 cells,OT1,Stimulated,2hr,Ribosome protected RNA,GSM5141312
SRR13890654,32973538,1648676900,50,899,SRX10270373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309764,PRJNA707537,1,"",SRS8403907,SAMN18208295,simple,10090,Mus musculus,GSM5141315,GEO,SRA1204083,03,2022,Makar,Primed OT1 cells,OT1cells_2hr_Rep3_FP,Primed OT1 cells,OT1,Stimulated,2hr,Ribosome protected RNA,GSM5141315
