Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,developmental stage,tissue,GEO Accession
SRR14048713,30726594,1093713170,35,444,SRX10424654,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545523,SAMN18444958,simple,10090,Mus musculus,GSM5203560,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E14_1,neocortex,RNAse-T1 & RNAse-A digestion,E14,neocortex,GSM5203560
SRR14048714,43450597,1587793982,36,633,SRX10424655,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545524,SAMN18444957,simple,10090,Mus musculus,GSM5203561,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E14_2,neocortex,RNAse-T1 & RNAse-A digestion,E14,neocortex,GSM5203561
SRR14048715,47500561,1733142918,36,690,SRX10424656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545525,SAMN18444956,simple,10090,Mus musculus,GSM5203562,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E15.5_1,neocortex,RNAse-T1 & RNAse-A digestion,E15.5,neocortex,GSM5203562
SRR14048716,28868972,1049571100,36,419,SRX10424657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545526,SAMN18444955,simple,10090,Mus musculus,GSM5203563,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E15.5_2,neocortex,RNAse-T1 & RNAse-A digestion,E15.5,neocortex,GSM5203563
SRR14048717,43980004,1598821897,36,634,SRX10424658,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545527,SAMN18444954,simple,10090,Mus musculus,GSM5203564,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E17_1,neocortex,RNAse-T1 & RNAse-A digestion,E17,neocortex,GSM5203564
SRR14048718,30812727,1114330341,36,444,SRX10424659,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545528,SAMN18444915,simple,10090,Mus musculus,GSM5203565,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E17_2,neocortex,RNAse-T1 & RNAse-A digestion,E17,neocortex,GSM5203565
SRR14048719,25296585,918315422,36,366,SRX10424660,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545529,SAMN18444914,simple,10090,Mus musculus,GSM5203566,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_P0_1,neocortex,RNAse-T1 & RNAse-A digestion,postnatal day 0,neocortex,GSM5203566
SRR14048720,73478293,2603049923,35,1067,SRX10424661,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545530,SAMN18444913,simple,10090,Mus musculus,GSM5203567,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_P0_2,neocortex,RNAse-T1 & RNAse-A digestion,postnatal day 0,neocortex,GSM5203567
SRR14048711,38034624,1347729222,35,556,SRX10424662,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545531,SAMN18444960,simple,10090,Mus musculus,GSM5203558,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E12.5_1,neocortex,RNAse-T1 & RNAse-A digestion,E12.5,neocortex,GSM5203558
SRR14048712,37913717,1360781829,35,546,SRX10424663,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311832,PRJNA716630,36482253,"",SRS8545532,SAMN18444959,simple,10090,Mus musculus,GSM5203559,GEO,SRA1209485,11,2022,Harnett,neocortex,Riboseq_E12.5_2,neocortex,RNAse-T1 & RNAse-A digestion,E12.5,neocortex,GSM5203559
