Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,condition,timepoint,region,Sex,hemisphere,animalnumber,experiment,block,mousetype,mouseline,libraryprotocol,sampleprocessing,GEO Accession
SRR14058838,23029167,2325945867,101,719,SRX10433494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567019,SAMN18473752,simple,10090,Mus musculus,GSM5207663,GEO,SRA1209898,03,2021,von,hippocampus,TimeSeriesFST_1_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,TimeSeriesFST_id_1,TimeSeriesFST,TimeSeriesFST_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207663
SRR14058839,21671300,2188801300,101,678,SRX10433495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567022,SAMN18473760,simple,10090,Mus musculus,GSM5207664,GEO,SRA1209898,03,2021,von,hippocampus,TimeSeriesFST_2_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,TimeSeriesFST_id_1,TimeSeriesFST,TimeSeriesFST_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207664
SRR14058840,22520416,2274562016,101,703,SRX10433496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567021,SAMN18473759,simple,10090,Mus musculus,GSM5207665,GEO,SRA1209898,03,2021,von,hippocampus,TimeSeriesFST_3_vHC_45min,hippocampus,Swim,45min,vHC,male,both,TimeSeriesFST_id_2,TimeSeriesFST,TimeSeriesFST_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207665
SRR14058841,18776267,1896402967,101,589,SRX10433497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567020,SAMN18473757,simple,10090,Mus musculus,GSM5207666,GEO,SRA1209898,03,2021,von,hippocampus,TimeSeriesFST_4_dHC_45min,hippocampus,Swim,45min,dHC,male,both,TimeSeriesFST_id_2,TimeSeriesFST,TimeSeriesFST_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207666
SRR14058972,40038998,5044913748,126,1803,SRX10433498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567023,SAMN18473045,simple,10090,Mus musculus,GSM5207891,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_7_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_4b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207891
SRR14058973,23360266,2943393516,126,1056,SRX10433499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567024,SAMN18473044,simple,10090,Mus musculus,GSM5207892,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_8_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_4b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207892
SRR14058974,48599051,6123480426,126,2249,SRX10433500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567025,SAMN18473043,simple,10090,Mus musculus,GSM5207893,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_9_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,VIAAT-TRAP_5b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207893
SRR14058975,28385773,3576607398,126,1279,SRX10433501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567026,SAMN18473042,simple,10090,Mus musculus,GSM5207894,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_10_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,VIAAT-TRAP_5b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207894
SRR14058976,15101549,1902795174,126,688,SRX10433502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567027,SAMN18473041,simple,10090,Mus musculus,GSM5207895,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_11_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_6b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207895
SRR14058977,19660087,2477170962,126,893,SRX10433503,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567028,SAMN18473040,simple,10090,Mus musculus,GSM5207896,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_12_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_6b,VIAAT-TRAP,VIAAT-TRAP2_Block1,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207896
