Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,genotype,treatment,GEO Accession
SRR14069829,31530604,6306120800,100,3421,SRX10444189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576268,SAMN18491535,simple,10090,Mus musculus,GSM5211292,GEO,SRA1210533,11,2021,Zhang,MII oocyte,RNA_MII_rep1,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5211292
SRR14069830,26739054,5347810800,100,2940,SRX10444190,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576269,SAMN18491534,simple,10090,Mus musculus,GSM5211293,GEO,SRA1210533,11,2021,Zhang,MII oocyte,RNA_MII_rep2,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5211293
SRR14069831,25266669,5053333800,100,2756,SRX10444191,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576270,SAMN18491533,simple,10090,Mus musculus,GSM5211294,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_1-cell_rep1,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5211294
SRR14069832,28773593,5754718600,100,3157,SRX10444192,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576271,SAMN18491532,simple,10090,Mus musculus,GSM5211295,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_1-cell_rep2,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5211295
SRR14069841,27826781,2782678100,100,1365,SRX10444201,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576282,SAMN18491501,simple,10090,Mus musculus,GSM5211310,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_CHX_rep1,Zygote,Zygote,B6D2F1/J,WT,treated with CHX,GSM5211310
SRR14069842,14728554,1472855400,100,689,SRX10444202,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576281,SAMN18491500,simple,10090,Mus musculus,GSM5211313,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_CHX_rep2,Zygote,Zygote,B6D2F1/J,WT,treated with CHX,GSM5211313
SRR14069843,30454549,3045454900,100,1488,SRX10444203,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576283,SAMN18491499,simple,10090,Mus musculus,GSM5211316,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_DMSO_rep1,Zygote,Zygote,B6D2F1/J,WT,treated with DMSO,GSM5211316
SRR14069844,17426913,1742691300,100,815,SRX10444204,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576284,SAMN18491498,simple,10090,Mus musculus,GSM5211319,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_DMSO_rep2,Zygote,Zygote,B6D2F1/J,WT,treated with DMSO,GSM5211319
SRR14069849,40842864,6126429600,75,2233,SRX10444209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576289,SAMN18491516,simple,10090,Mus musculus,GSM5211324,GEO,SRA1210533,11,2021,Zhang,2 Cell,RNA_2-cell_siCcnt2_rep1,2 Cell,2 Cell,B6D2F1/J,siCcnt2,untreated,GSM5211324
SRR14069850,51198993,7782246936,76,2900,SRX10444210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576290,SAMN18491515,simple,10090,Mus musculus,GSM5211325,GEO,SRA1210533,11,2021,Zhang,2 Cell,RNA_2-cell_siCcnt2_rep2,2 Cell,2 Cell,B6D2F1/J,siCcnt2,untreated,GSM5211325
