Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,Stage,temperature,GEO Accession
SRR14191081,35214672,2623007931,74,965,SRX10558032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664532,SAMN18675570,simple,6239,Caenorhabditis elegans,GSM5232888,GEO,SRA1216493,04,2021,Duan,whole animal,DG3913_rep_A [RNA-seq],whole animal,lin-41(tn1541),mid L4,20 C,GSM5232888
SRR14191082,37320646,2776586159,74,1021,SRX10558033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664533,SAMN18675569,simple,6239,Caenorhabditis elegans,GSM5232889,GEO,SRA1216493,04,2021,Duan,whole animal,DG3913_rep_B [RNA-seq],whole animal,lin-41(tn1541),mid L4,20 C,GSM5232889
SRR14191083,31778765,2365800381,74,892,SRX10558034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664534,SAMN18675568,simple,6239,Caenorhabditis elegans,GSM5232890,GEO,SRA1216493,04,2021,Duan,whole animal,DG3913_rep_C [RNA-seq],whole animal,lin-41(tn1541),mid L4,20 C,GSM5232890
SRR14191084,33241342,2473368358,74,911,SRX10558035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664535,SAMN18675567,simple,6239,Caenorhabditis elegans,GSM5232891,GEO,SRA1216493,04,2021,Duan,whole animal,VT3878_rep_A [RNA-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20 C,GSM5232891
SRR14191085,29677112,2207788469,74,810,SRX10558036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664536,SAMN18675566,simple,6239,Caenorhabditis elegans,GSM5232892,GEO,SRA1216493,04,2021,Duan,whole animal,VT3878_rep_B [RNA-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20 C,GSM5232892
SRR14191086,33050052,2462537300,74,909,SRX10558037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664537,SAMN18675565,simple,6239,Caenorhabditis elegans,GSM5232893,GEO,SRA1216493,04,2021,Duan,whole animal,VT3878_rep_C [RNA-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20 C,GSM5232893
SRR14191087,32268851,2402802273,74,883,SRX10558038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664538,SAMN18675564,simple,6239,Caenorhabditis elegans,GSM5232894,GEO,SRA1216493,04,2021,Duan,whole animal,VT1367_rep_A [RNA-seq],whole animal,maIs105,mid L4,20 C,GSM5232894
SRR14191088,31108099,2313855242,74,851,SRX10558039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664540,SAMN18675563,simple,6239,Caenorhabditis elegans,GSM5232895,GEO,SRA1216493,04,2021,Duan,whole animal,VT1367_rep_B [RNA-seq],whole animal,maIs105,mid L4,20 C,GSM5232895
SRR14191089,44135117,3282804572,74,1205,SRX10558040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664539,SAMN18675562,simple,6239,Caenorhabditis elegans,GSM5232896,GEO,SRA1216493,04,2021,Duan,whole animal,VT1367_rep_C [RNA-seq],whole animal,maIs105,mid L4,20 C,GSM5232896
SRR14191090,37050010,2753706625,74,1012,SRX10558041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664541,SAMN18675561,simple,6239,Caenorhabditis elegans,GSM5232897,GEO,SRA1216493,04,2021,Duan,whole animal,VT3797_rep_A [RNA-seq],whole animal,maIs105;let-7(ma435),mid L4,20 C,GSM5232897
SRR14191091,28523993,2126270588,74,787,SRX10558042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664542,SAMN18675560,simple,6239,Caenorhabditis elegans,GSM5232898,GEO,SRA1216493,04,2021,Duan,whole animal,VT3797_rep_B [RNA-seq],whole animal,maIs105;let-7(ma435),mid L4,20 C,GSM5232898
SRR14191092,32465447,2413321118,74,881,SRX10558043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314086,PRJNA720677,35476978,"",SRS8664543,SAMN18675559,simple,6239,Caenorhabditis elegans,GSM5232899,GEO,SRA1216493,04,2021,Duan,whole animal,VT3797_rep_C [RNA-seq],whole animal,maIs105;let-7(ma435),mid L4,20 C,GSM5232899
