Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,material,treatment,GEO Accession
SRR14195986,33511685,2546888060,76,882,SRX10562789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669246,SAMN18681389,simple,10090,Mus musculus,GSM5233895,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU60_rep1,mESCs,mESCs,Input,"4sU, 60 min",GSM5233895
SRR14195987,27800490,2112837240,76,718,SRX10562790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669245,SAMN18681388,simple,10090,Mus musculus,GSM5233896,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU90_rep1,mESCs,mESCs,Input,"4sU, 90 min",GSM5233896
SRR14195988,31737762,2412069912,76,833,SRX10562791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669247,SAMN18681387,simple,10090,Mus musculus,GSM5233897,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU120_rep1,mESCs,mESCs,Input,"4sU, 120 min",GSM5233897
SRR14195989,26320718,2000374568,76,676,SRX10562792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669248,SAMN18681386,simple,10090,Mus musculus,GSM5233898,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU60_rep1,mESCs,mESCs,ribosome-protected fragments,"4sU, 60 min",GSM5233898
SRR14195990,30978501,2354366076,76,794,SRX10562793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669252,SAMN18681385,simple,10090,Mus musculus,GSM5233899,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU90_rep1,mESCs,mESCs,ribosome-protected fragments,"4sU, 90 min",GSM5233899
SRR14195991,36751766,2793134216,76,944,SRX10562794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669250,SAMN18681384,simple,10090,Mus musculus,GSM5233900,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU120_rep1,mESCs,mESCs,ribosome-protected fragments,"4sU, 120 min",GSM5233900
SRR14195992,38088182,2856613650,75,956,SRX10562795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669249,SAMN18681383,simple,10090,Mus musculus,GSM5233901,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU60_rep2,mESCs,mESCs,Input,"4sU, 60 min",GSM5233901
SRR14195993,23791820,1784386500,75,623,SRX10562796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669251,SAMN18681382,simple,10090,Mus musculus,GSM5233902,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU90_rep2,mESCs,mESCs,Input,"4sU, 90 min",GSM5233902
SRR14195994,40430272,3032270400,75,1025,SRX10562797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669254,SAMN18681381,simple,10090,Mus musculus,GSM5233903,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU120_rep2,mESCs,mESCs,Input,"4sU, 120 min",GSM5233903
SRR14195995,42974041,3223053075,75,1086,SRX10562798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669253,SAMN18681380,simple,10090,Mus musculus,GSM5233904,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU60_rep2,mESCs,mESCs,ribosome-protected fragments,"4sU, 60 min",GSM5233904
SRR14195996,29519524,2213964300,75,746,SRX10562799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669255,SAMN18681379,simple,10090,Mus musculus,GSM5233905,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU90_rep2,mESCs,mESCs,ribosome-protected fragments,"4sU, 90 min",GSM5233905
SRR14195997,45796207,3434715525,75,1161,SRX10562800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669256,SAMN18681378,simple,10090,Mus musculus,GSM5233906,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU120_rep2,mESCs,mESCs,ribosome-protected fragments,"4sU, 120 min",GSM5233906
