Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,condition,GEO Accession
SRR14200571,29499039,1148013753,38,477,SRX10567361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673638,SAMN18687195,simple,9606,Homo sapiens,GSM5234104,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep1_rpf,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234104
SRR14200572,43452706,1685423062,38,680,SRX10567362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673639,SAMN18687194,simple,9606,Homo sapiens,GSM5234105,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep2_rpf,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234105
SRR14200573,71299361,2738886944,38,1108,SRX10567363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673640,SAMN18687192,simple,9606,Homo sapiens,GSM5234106,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep3_rpf,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234106
SRR14200574,130296280,4987455066,38,1996,SRX10567364,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673641,SAMN18687191,simple,9606,Homo sapiens,GSM5234107,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Sen_rep1_rpf,Normal lung fibroblasts IMR90,IMR90,Senescent,GSM5234107
SRR14200575,82191398,3124357917,38,1267,SRX10567365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673642,SAMN18687190,simple,9606,Homo sapiens,GSM5234108,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Sen_rep2_rpf,Normal lung fibroblasts IMR90,IMR90,Senescent,GSM5234108
SRR14200576,95626195,3626347782,37,1470,SRX10567366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673643,SAMN18687189,simple,9606,Homo sapiens,GSM5234109,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Sen_rep3_rpf,Normal lung fibroblasts IMR90,IMR90,Senescent,GSM5234109
SRR14200577,18759518,939526888,50,410,SRX10567367,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673644,SAMN18687188,simple,9606,Homo sapiens,GSM5234110,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep1_rna,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234110
SRR14200578,26401993,1334077506,50,580,SRX10567368,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673645,SAMN18687187,simple,9606,Homo sapiens,GSM5234111,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep2_rna,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234111
SRR14200579,23828264,1203368812,50,528,SRX10567369,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673646,SAMN18687186,simple,9606,Homo sapiens,GSM5234112,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Pro_rep3_rna,Normal lung fibroblasts IMR90,IMR90,Proliferating,GSM5234112
SRR14200580,23265566,1174966394,50,512,SRX10567370,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314256,PRJNA720951,34166567,"",SRS8673647,SAMN18687185,simple,9606,Homo sapiens,GSM5234113,GEO,SRA1217043,04,2021,Sofiadis,Normal lung fibroblasts IMR90,Sen_rep1_rna,Normal lung fibroblasts IMR90,IMR90,Senescent,GSM5234113
