Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,genotype,strain,GEO Accession
SRR14243813,23819065,2381906500,100,1698,SRX10606454,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707590,SAMN18747520,simple,9606,Homo sapiens,GSM5242682,GEO,SRA1218944,03,2022,Chen,HNSCC,WT1_DV,HNSCC,HNSCC cells,demethylated by ALKB,normal,,GSM5242682
SRR14243814,16119174,1611917400,100,1167,SRX10606455,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707591,SAMN18747519,simple,9606,Homo sapiens,GSM5242683,GEO,SRA1218944,03,2022,Chen,HNSCC,WT2_DV,HNSCC,HNSCC cells,demethylated by ALKB,normal,,GSM5242683
SRR14243815,19922588,1992258800,100,1437,SRX10606456,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707593,SAMN18747518,simple,9606,Homo sapiens,GSM5242684,GEO,SRA1218944,03,2022,Chen,HNSCC,KO1_DK,HNSCC,HNSCC cells,demethylated by ALKB,METTL1-knockout,,GSM5242684
SRR14243816,17850449,1785044900,100,1267,SRX10606457,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707592,SAMN18747517,simple,9606,Homo sapiens,GSM5242685,GEO,SRA1218944,03,2022,Chen,HNSCC,KO2_DK,HNSCC,HNSCC cells,demethylated by ALKB,METTL1-knockout,,GSM5242685
SRR14243817,20460884,2046088400,100,1460,SRX10606458,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707596,SAMN18747532,simple,9606,Homo sapiens,GSM5242686,GEO,SRA1218944,03,2022,Chen,HNSCC,WT1_NV,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,normal,,GSM5242686
SRR14243818,19394398,1939439800,100,1418,SRX10606459,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707594,SAMN18747473,simple,9606,Homo sapiens,GSM5242687,GEO,SRA1218944,03,2022,Chen,HNSCC,WT2_NV,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,normal,,GSM5242687
SRR14243819,15246567,1524656700,100,1094,SRX10606460,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707597,SAMN18747472,simple,9606,Homo sapiens,GSM5242688,GEO,SRA1218944,03,2022,Chen,HNSCC,KO1_NK,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,METTL1-knockout,,GSM5242688
SRR14243820,20030634,2003063400,100,1436,SRX10606461,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314965,PRJNA722238,35179319,"",SRS8707595,SAMN18747471,simple,9606,Homo sapiens,GSM5242689,GEO,SRA1218944,03,2022,Chen,HNSCC,KO2_NK,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,METTL1-knockout,,GSM5242689
SRR14243821,21926840,1096342000,50,623,SRX10606462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707598,SAMN18747470,simple,9606,Homo sapiens,GSM5242690,GEO,SRA1218944,03,2022,Chen,HNSCC,WT1_Input,HNSCC,HNSCC cells,,normal,,GSM5242690
SRR14243822,23925073,1196253650,50,682,SRX10606463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707599,SAMN18747469,simple,9606,Homo sapiens,GSM5242691,GEO,SRA1218944,03,2022,Chen,HNSCC,WT2_Input,HNSCC,HNSCC cells,,normal,,GSM5242691
