Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,genotype,treatment,umi,molecule subtype,GEO Accession
SRR14323360,51128152,3164995444,61,1139,SRX10678486,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772280,SAMN18870172,simple,9606,Homo sapiens,GSM5264836,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-1_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264836
SRR14323361,61248429,3790636321,61,1360,SRX10678487,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772281,SAMN18870171,simple,9606,Homo sapiens,GSM5264837,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-2_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264837
SRR14323362,47285635,2927034192,61,1039,SRX10678488,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772282,SAMN18870170,simple,9606,Homo sapiens,GSM5264838,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-3_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264838
SRR14323363,59740607,3699488212,61,1316,SRX10678489,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772283,SAMN18870169,simple,9606,Homo sapiens,GSM5264839,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-4_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264839
SRR14323364,99623729,6161505237,61,2184,SRX10678490,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772284,SAMN18870168,simple,9606,Homo sapiens,GSM5264840,GEO,SRA1223561,05,2021,Soto,HeLa S3,HelaIP-1_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264840
SRR14323365,148530616,9191144708,61,3272,SRX10678491,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772285,SAMN18870167,simple,9606,Homo sapiens,GSM5264841,GEO,SRA1223561,05,2021,Soto,HeLa S3,HelaIP-2_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264841
SRR14323366,95335989,7231242048,75,2327,SRX10678492,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772286,SAMN18870165,simple,9606,Homo sapiens,GSM5264842,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-1_mitoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264842
SRR14323367,87352574,6625399479,75,2508,SRX10678493,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772287,SAMN18870200,simple,9606,Homo sapiens,GSM5264843,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-2_mitoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264843
SRR14323368,97704720,7409753635,75,2804,SRX10678494,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772288,SAMN18870199,simple,9606,Homo sapiens,GSM5264844,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-3_mitoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264844
SRR14323369,71053949,5383316009,75,1692,SRX10678495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772289,SAMN18870198,simple,9606,Homo sapiens,GSM5264845,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast-3_RNAseq,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264845
SRR14323370,69423172,5263010349,75,2055,SRX10678496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772290,SAMN18870197,simple,9606,Homo sapiens,GSM5264846,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-3_RNAseq,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",rRNA-depleted total RNA,GSM5264846
SRR14323371,89743691,6802242738,75,2624,SRX10678497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772291,SAMN18870196,simple,9606,Homo sapiens,GSM5264847,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-4_RNAseq,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",rRNA-depleted total RNA,GSM5264847
SRR14323372,61229282,4641048481,75,1815,SRX10678498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772292,SAMN18870195,simple,9606,Homo sapiens,GSM5264848,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-3_RNAseq,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",rRNA-depleted total RNA,GSM5264848
