Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,treatment,GEO Accession
SRR14340927,124009234,12400923400,50,3473,SRX10694797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786164,SAMN18901624,simple,10116,Rattus norvegicus,GSM5268215,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleVEH1,whole brain,Sprague-Dawley,whole brain,post natal day 5,Vehicle,GSM5268215
SRR14340928,97268681,9726868100,50,2729,SRX10694798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786165,SAMN18901623,simple,10116,Rattus norvegicus,GSM5268216,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleVEH2,whole brain,Sprague-Dawley,whole brain,post natal day 5,Vehicle,GSM5268216
SRR14340929,178921175,17892117500,50,5031,SRX10694799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786166,SAMN18901622,simple,10116,Rattus norvegicus,GSM5268217,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleVEH3,whole brain,Sprague-Dawley,whole brain,post natal day 5,Vehicle,GSM5268217
SRR14340930,109803241,10980324100,50,3087,SRX10694800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786167,SAMN18901621,simple,10116,Rattus norvegicus,GSM5268218,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleCHX1,whole brain,Sprague-Dawley,whole brain,post natal day 5,cycloheximide,GSM5268218
SRR14340931,118903635,11890363500,50,3353,SRX10694801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786168,SAMN18901620,simple,10116,Rattus norvegicus,GSM5268219,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleCHX2,whole brain,Sprague-Dawley,whole brain,post natal day 5,cycloheximide,GSM5268219
SRR14340932,90391160,9039116000,50,2585,SRX10694802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786169,SAMN18901619,simple,10116,Rattus norvegicus,GSM5268220,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleCHX3,whole brain,Sprague-Dawley,whole brain,post natal day 5,cycloheximide,GSM5268220
SRR14340933,78309537,7830953700,50,2239,SRX10694803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786170,SAMN18901618,simple,10116,Rattus norvegicus,GSM5268221,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleSALT1,whole brain,Sprague-Dawley,whole brain,post natal day 5,Salt,GSM5268221
SRR14340934,84890853,8489085300,50,2441,SRX10694804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786171,SAMN18901617,simple,10116,Rattus norvegicus,GSM5268222,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleSALT2,whole brain,Sprague-Dawley,whole brain,post natal day 5,Salt,GSM5268222
SRR14340935,114482574,11448257400,50,3281,SRX10694805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786172,SAMN18901645,simple,10116,Rattus norvegicus,GSM5268223,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleVEH4,whole brain,Sprague-Dawley,whole brain,post natal day 5,Vehicle,GSM5268223
SRR14340936,106125895,10612589500,50,3068,SRX10694806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786173,SAMN18901644,simple,10116,Rattus norvegicus,GSM5268224,GEO,SRA1224816,04,2023,Anadolu,whole brain,granuleVEH5,whole brain,Sprague-Dawley,whole brain,post natal day 5,Vehicle,GSM5268224
SRR14340937,105897893,10589789300,50,2955,SRX10694807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786174,SAMN18901643,simple,10116,Rattus norvegicus,GSM5268225,GEO,SRA1224816,04,2023,Anadolu,whole brain,RNAseq1,whole brain,Sprague-Dawley,whole brain,post natal day 5,Control,GSM5268225
SRR14340938,100468903,10046890300,50,2811,SRX10694808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316693,PRJNA725707,36849416,"",SRS8786175,SAMN18901642,simple,10116,Rattus norvegicus,GSM5268226,GEO,SRA1224816,04,2023,Anadolu,whole brain,RNAseq2,whole brain,Sprague-Dawley,whole brain,post natal day 5,Control,GSM5268226
