Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,si-rna knockdown,treatment,GEO Accession
SRR14421803,54718737,2790655587,51,969,SRX10773161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861640,SAMN19014972,simple,9606,Homo sapiens,GSM5281836,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Control DMSO rep1,HEK293 cells,si-Control,DMSO for 4 h,GSM5281836
SRR14421804,46667929,2846743669,61,1010,SRX10773162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861637,SAMN19014971,simple,9606,Homo sapiens,GSM5281837,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Control DMSO rep2,HEK293 cells,si-Control,DMSO for 4 h,GSM5281837
SRR14421805,47415359,2418183309,51,835,SRX10773163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861636,SAMN19014970,simple,9606,Homo sapiens,GSM5281838,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Hsp70L1 DMSO rep1,HEK293 cells,si-Hsp70L1,DMSO for 4 h,GSM5281838
SRR14421806,41234921,2515330181,61,896,SRX10773164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861638,SAMN19014969,simple,9606,Homo sapiens,GSM5281839,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Hsp70L1 DMSO rep2,HEK293 cells,si-Hsp70L1,DMSO for 4 h,GSM5281839
SRR14421807,41243871,2103437421,51,729,SRX10773165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861641,SAMN19014968,simple,9606,Homo sapiens,GSM5281840,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Pelo DMSO rep1,HEK293 cells,si-Pelo,DMSO for 4 h,GSM5281840
SRR14421808,64405318,3928724398,61,1396,SRX10773166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861639,SAMN19014967,simple,9606,Homo sapiens,GSM5281841,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Pelo DMSO rep2,HEK293 cells,si-Pelo,DMSO for 4 h,GSM5281841
SRR14421809,48595284,2478359484,51,855,SRX10773167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861642,SAMN19014966,simple,9606,Homo sapiens,GSM5281842,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Hsp70L1_si-Pelo DMSO rep1,HEK293 cells,si-Hsp70L1 and si-Pelo,DMSO for 4 h,GSM5281842
SRR14421810,47606556,2903999916,61,1030,SRX10773168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861852,SAMN19014965,simple,9606,Homo sapiens,GSM5281843,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Hsp70L1_si-Pelo DMSO rep2,HEK293 cells,si-Hsp70L1 and si-Pelo,DMSO for 4 h,GSM5281843
SRR14421811,46733128,2383389528,51,821,SRX10773169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861851,SAMN19014964,simple,9606,Homo sapiens,GSM5281844,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Control Thapsigargin rep1,HEK293 cells,si-Control,Thapsigargin for 4 h,GSM5281844
SRR14421812,43921994,2679241634,61,1054,SRX10773170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP318452,PRJNA727298,34107246,"",SRS8861853,SAMN19014963,simple,9606,Homo sapiens,GSM5281845,GEO,SRA1228234,06,2021,Wu,HEK293 cells,HEK293 si-Control Thapsigargin rep2,HEK293 cells,si-Control,Thapsigargin for 4 h,GSM5281845
