Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,protocol,genotype,treatment,GEO Accession
SRR14510014,77206273,2364362774,30,912,SRX10855827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951458,SAMN19116491,simple,9606,Homo sapiens,GSM5291858,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3D-V5 input replicate 1,HEK293T cells,Sel-TCP-seq,eIF3D-V5 KI,none,GSM5291858
SRR14510015,66180128,1970066241,29,760,SRX10855828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951459,SAMN19116490,simple,9606,Homo sapiens,GSM5291859,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3D-V5 input replicate 2,HEK293T cells,Sel-TCP-seq,eIF3D-V5 KI,none,GSM5291859
SRR14510016,19006545,572133867,30,222,SRX10855829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951460,SAMN19116489,simple,9606,Homo sapiens,GSM5291860,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3D-V5 Sel-TCP-seq replicate 1,HEK293T cells,Sel-TCP-seq,eIF3D-V5 KI,none,GSM5291860
SRR14510017,15374210,461880716,30,186,SRX10855830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951461,SAMN19116488,simple,9606,Homo sapiens,GSM5291861,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3D-V5 Sel-TCP-seq replicate 2,HEK293T cells,Sel-TCP-seq,eIF3D-V5 KI,none,GSM5291861
SRR14510018,17135762,557987305,32,210,SRX10855831,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951462,SAMN19116487,simple,9606,Homo sapiens,GSM5291862,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3B Sel-TCP-seq replicate 1,HEK293T cells,Sel-TCP-seq,WT,none,GSM5291862
SRR14510019,15448720,535321938,34,198,SRX10855832,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951463,SAMN19116486,simple,9606,Homo sapiens,GSM5291863,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,40S eIF3B Sel-TCP-seq replicate 2,HEK293T cells,Sel-TCP-seq,WT,none,GSM5291863
SRR14510020,21908452,2212753652,101,614,SRX10855833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951464,SAMN19116485,simple,9606,Homo sapiens,GSM5291864,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF3D KI HEK293T RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF3D-V5 KI,none,GSM5291864
SRR14510021,23621301,2385751401,101,663,SRX10855834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951465,SAMN19116484,simple,9606,Homo sapiens,GSM5291865,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF3D KI HEK293T RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF3D-V5 KI,none,GSM5291865
SRR14510022,22662051,2288867151,101,637,SRX10855835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951466,SAMN19116483,simple,9606,Homo sapiens,GSM5291866,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T RNA-seq replicate 1,HEK293T cells,RNA-seq,WT,none,GSM5291866
SRR14510023,22461947,2268656647,101,628,SRX10855836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951467,SAMN19116482,simple,9606,Homo sapiens,GSM5291867,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T RNA-seq replicate 2,HEK293T cells,RNA-seq,WT,none,GSM5291867
