Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,replicate,rna fraction,extract_protocol,sequencing platform,treatment,GEO Accession
SRR14602119,576000,507456645,881,394,SRX10947889,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026793,SAMN19285891,simple,9606,Homo sapiens,GSM5325964,GEO,SRA1234831,04,2022,Del,"control HEK293T cells, circAID-p-seq/ONT",HEK_Hneg_ONT,"control HEK293T cells, circAID-p-seq/ONT","HEK293T, GFP transfected, cell line",#1,Ribo-seq,circAID-p-seq,Oxford nanopore technology,Treated with CHX for 5 min before cell lysis,GSM5325964
SRR14602120,1410194,1087670973,771,926,SRX10947889,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026793,SAMN19285891,simple,9606,Homo sapiens,GSM5325964,GEO,SRA1234831,04,2022,Del,"control HEK293T cells, circAID-p-seq/ONT",HEK_Hneg_ONT,"control HEK293T cells, Riboseq/ILMN","HEK293T, GFP transfected, cell line",#1,Ribo-seq,smarter smRNA-seq kit Takara,Illumina,Treated with CHX for 5 min before cell lysis,GSM5325965
SRR14602122,120963907,6048195350,50,1937,SRX10947890,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320668,PRJNA731473,34850942,"",SRS9026794,SAMN19285890,simple,9606,Homo sapiens,GSM5325965,GEO,SRA1234831,03,2022,Del,"control HEK293T cells, Riboseq/ILMN",HEK_Hneg_ILMN,"Treated HEK293T cells, Riboseq/ILMN","HEK293T, GFP transfected, cell line",#1,Ribo-seq,smarter smRNA-seq kit Takara,Illumina,"Treated with harringtonine for 3 min, followed by CHX for 5 min before cell lysis",GSM5325967
SRR14602123,523676,467086674,891,362,SRX10947891,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026795,SAMN19285889,simple,9606,Homo sapiens,GSM5325966,GEO,SRA1234831,04,2022,Del,"Treated HEK293T cells, circAID-p-seq/ONT",HEK_Hpos_ONT,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",liver tissue,#1,Ribo-seq,circAID-p-seq,Oxford nanopore technology,untreated,GSM5325968
SRR14602124,1465523,1179361352,804,1009,SRX10947891,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026795,SAMN19285889,simple,9606,Homo sapiens,GSM5325966,GEO,SRA1234831,04,2022,Del,"Treated HEK293T cells, circAID-p-seq/ONT",HEK_Hpos_ONT,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",liver tissue,#2,Ribo-seq,circAID-p-seq,Oxford nanopore technology,untreated,GSM5325969
SRR14602126,137949003,6897450150,50,2227,SRX10947892,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320668,PRJNA731473,34850942,"",SRS9026796,SAMN19285888,simple,9606,Homo sapiens,GSM5325967,GEO,SRA1234831,03,2022,Del,"Treated HEK293T cells, Riboseq/ILMN",HEK_Hpos_ILMN,"liver tissue from young adult wild-type FVB mice, Riboseq/ILMN",liver tissue,#1,Ribo-seq,home-made library according to Ingolia etal.2012,Illumina,untreated,GSM5325971
SRR14602127,137203,159337809,1161,135,SRX10947893,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026797,SAMN19285887,simple,10090,Mus musculus,GSM5325968,GEO,SRA1234831,04,2022,Del,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",LiverA_WT_ONT,"liver tissue from young adult wild-type FVB mice, Riboseq/ILMN",liver tissue,#2,Ribo-seq,home-made library according to Ingolia etal.2013,Illumina,untreated,GSM5325972
SRR14602129,304114,484359130,1592,409,SRX10947894,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026798,SAMN19285886,simple,10090,Mus musculus,GSM5325969,GEO,SRA1234831,04,2022,Del,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",LiverB_WT_ONT,"control HEK293T cells, circAID-p-seq/ONT","HEK293T, GFP transfected, cell line",#1,Ribo-seq,circAID-p-seq,Oxford nanopore technology,Treated with CHX for 5 min before cell lysis,GSM5325964
SRR14602131,137386,230052396,1674,192,SRX10947895,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP320668,PRJNA731473,34850942,"",SRS9026799,SAMN19285885,simple,10090,Mus musculus,GSM5325970,GEO,SRA1234831,04,2022,Del,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",LiverC_WT_ONT,"Treated HEK293T cells, circAID-p-seq/ONT","HEK293T, GFP transfected, cell line",#1,Ribo-seq,circAID-p-seq,Oxford nanopore technology,"Treated with harringtonine for 3 min, followed by CHX for 5 min before cell lysis",GSM5325966
SRR14602133,56839026,2841951300,50,1290,SRX10947896,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP320668,PRJNA731473,34850942,"",SRS9026800,SAMN19285884,simple,10090,Mus musculus,GSM5325971,GEO,SRA1234831,03,2022,Del,"liver tissue from young adult wild-type FVB mice, Riboseq/ILMN",LiverA_WT_ILMN,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",liver tissue,#1,Ribo-seq,circAID-p-seq,Oxford nanopore technology,untreated,GSM5325968
SRR14602134,72222936,3611146800,50,1639,SRX10947897,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP320668,PRJNA731473,34850942,"",SRS9026801,SAMN19285916,simple,10090,Mus musculus,GSM5325972,GEO,SRA1234831,03,2022,Del,"liver tissue from young adult wild-type FVB mice, Riboseq/ILMN",LiverB_WT_ILMN,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",liver tissue,#2,Ribo-seq,circAID-p-seq,Oxford nanopore technology,untreated,GSM5325969
SRR14602135,57471377,2873568850,50,1300,SRX10947898,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP320668,PRJNA731473,34850942,"",SRS9026802,SAMN19285915,simple,10090,Mus musculus,GSM5325973,GEO,SRA1234831,03,2022,Del,"liver tissue from young adult wild-type FVB mice, Riboseq/ILMN",LiverC_WT_ILMN,"liver tissue from young adult wild-type FVB mice, circAID-p-seq/ONT",liver tissue,#3,Ribo-seq,circAID-p-seq,Oxford nanopore technology,untreated,GSM5325970
