Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,treatment,GEO Accession
SRR14890801,9447570,718015320,76,256,SRX11206954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261336,SAMN19838087,simple,9606,Homo sapiens,GSM5397169,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_04h_rep2,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 4 h,GSM5397169
SRR14890802,18133986,1378182936,76,477,SRX11206955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261337,SAMN19838086,simple,9606,Homo sapiens,GSM5397170,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_04h_rep3,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 4 h,GSM5397170
SRR14890803,19492323,1481416548,76,516,SRX11206956,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261338,SAMN19838085,simple,9606,Homo sapiens,GSM5397171,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_08h_rep1,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 8 h,GSM5397171
SRR14890804,62739718,4768218568,76,1680,SRX11206957,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261339,SAMN19838084,simple,9606,Homo sapiens,GSM5397172,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_08h_rep2,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 8 h,GSM5397172
SRR14890805,19485233,1480877708,76,514,SRX11206958,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261340,SAMN19838083,simple,9606,Homo sapiens,GSM5397173,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_08h_rep3,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 8 h,GSM5397173
SRR14890806,19953228,1516445328,76,521,SRX11206959,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261341,SAMN19838082,simple,9606,Homo sapiens,GSM5397174,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_14h_rep1,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 14 h,GSM5397174
SRR14890807,12254080,931310080,76,334,SRX11206960,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261342,SAMN19838081,simple,9606,Homo sapiens,GSM5397175,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_14h_rep2,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 14 h,GSM5397175
SRR14890808,51262280,3895933280,76,1353,SRX11206961,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261343,SAMN19838080,simple,9606,Homo sapiens,GSM5397176,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_14h_rep3,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,treated with doxycycline for 14 h,GSM5397176
SRR14890797,19839044,1507767344,76,527,SRX11206962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261344,SAMN19838091,simple,9606,Homo sapiens,GSM5397165,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_00h_rep1,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,untreated,GSM5397165
SRR14890798,14307922,1087402072,76,382,SRX11206963,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP325334,PRJNA740301,37314931,"",SRS9261345,SAMN19838090,simple,9606,Homo sapiens,GSM5397166,GEO,SRA1249860,06,2021,Campbell,MB135iDUX4 myoblasts,MB135iDUX4-Ribo_00h_rep2,MB135iDUX4 myoblasts,skeletal muscle myoblast,MB135iDUX4,untreated,GSM5397166
