Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,treatment,GEO Accession
SRR15164948,34393490,2235576850,65,953,SRX11472300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512795,SAMN20251300,simple,10090,Mus musculus,GSM5456039,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_WT_org1_rep1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,untreated,GSM5456039
SRR15164949,28450058,1849253770,65,788,SRX11472301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512796,SAMN20251299,simple,10090,Mus musculus,GSM5456040,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_WT_org1_rep2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,untreated,GSM5456040
SRR15164950,29639348,1926557620,65,821,SRX11472302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512797,SAMN20251270,simple,10090,Mus musculus,GSM5456041,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_WT_org2_rep1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,untreated,GSM5456041
SRR15164951,28550057,1855753705,65,791,SRX11472303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512798,SAMN20251269,simple,10090,Mus musculus,GSM5456042,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_WT_org2_rep2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,untreated,GSM5456042
SRR15164952,31698108,2060377020,65,878,SRX11472304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512799,SAMN20251268,simple,10090,Mus musculus,GSM5456043,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_Rptorflfl_org1_rep1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl,untreated,GSM5456043
SRR15164953,28072686,1824724590,65,776,SRX11472305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512800,SAMN20251272,simple,10090,Mus musculus,GSM5456044,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_Rptorflfl_org1_rep2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl,untreated,GSM5456044
SRR15164954,32719959,2126797335,65,906,SRX11472306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512801,SAMN20251271,simple,10090,Mus musculus,GSM5456045,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_Rptorflfl_org2_rep1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl,untreated,GSM5456045
SRR15164955,34852325,2265401125,65,964,SRX11472307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512802,SAMN20251298,simple,10090,Mus musculus,GSM5456046,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_Rptorflfl_org2_rep2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl,untreated,GSM5456046
SRR15164956,33112454,2152309510,65,959,SRX11472308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512803,SAMN20251297,simple,10090,Mus musculus,GSM5456047,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_SCe_org1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456047
SRR15164957,80578650,5237612250,65,2290,SRX11472309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512804,SAMN20251296,simple,10090,Mus musculus,GSM5456048,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_SCe_org2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456048
