Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,biomaterial_provider,cell_line,cell_type,collected_by,replicates,BioSampleModel
SRR15558315,42619472,12785841600,150,3719,SRX11856438,Jurkat1_input_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867260,SAMN20893678,simple,9606,Homo sapiens,Jurkat1_input_meRIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",Jurkat1_input_meRIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat_input_meRIPseq rep1,Human
SRR15558314,45660430,13698129000,150,3986,SRX11856439,Jurkat1_IP_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867261,SAMN20893679,simple,9606,Homo sapiens,Jurkat1_IP_meRIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",Jurkat1_IP_meRIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat_IP_meRIPseq rep1,Human
SRR15558313,42673906,12802171800,150,4067,SRX11856440,JVec1_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867262,SAMN20893688,simple,9606,Homo sapiens,JVec1_ATACseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JVec1_ATACseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat shVec_ATACseq rep1,Human
SRR15558312,40368330,12110499000,150,3793,SRX11856441,JVec2_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867263,SAMN20893689,simple,9606,Homo sapiens,JVec2_ATACseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JVec2_ATACseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat shVec_ATACseq rep2,Human
SRR15558311,66056900,19817070000,150,5691,SRX11856442,Jurkat2_input_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867264,SAMN20893680,simple,9606,Homo sapiens,Jurkat2_input_meRIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",Jurkat2_input_meRIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat_input_meRIPseq rep2,Human
SRR15558310,45603589,13681076700,150,3981,SRX11856443,Jurkat2_IP_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867265,SAMN20893681,simple,9606,Homo sapiens,Jurkat2_IP_meRIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",Jurkat2_IP_meRIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat_IP_meRIPseq rep2,Human
SRR15558309,62995815,18898744500,150,5545,SRX11856444,JOE1_input_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867266,SAMN20893682,simple,9606,Homo sapiens,JOE1_input_RIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JOE1_input_RIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat YTHDF2 OE_input_RIPseq rep1,Human
SRR15558308,53430915,16029274500,150,4641,SRX11856445,JOE1_RIP_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867267,SAMN20893683,simple,9606,Homo sapiens,JOE1_RIP_RIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JOE1_RIP_RIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat YTHDF2 OE_RIP_RIPseq rep1,Human
SRR15558307,60992553,18297765900,150,5306,SRX11856446,JOE2_input_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867268,SAMN20893684,simple,9606,Homo sapiens,JOE2_input_RIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JOE2_input_RIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat YTHDF2 OE_input_RIPseq rep2,Human
SRR15558306,74335552,22300665600,150,6488,SRX11856447,JOE2_RIP_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867269,SAMN20893685,simple,9606,Homo sapiens,JOE2_RIP_RIPseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JOE2_RIP_RIPseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat YTHDF2 OE_RIP_RIPseq rep2,Human
