Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,gender,age,tissue,GEO Accession
SRR15236486,41010558,3116802408,76,1180,SRX11542370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577354,SAMN20370374,simple,10090,Mus musculus,GSM5470549,GEO,SRA1264034,08,2023,Makar,584 footprint,"hippocampus, ko_male_footprint_rep1",584 footprint,Qtrt1-/-,male,6 months 18 days,hippocampus,GSM5470549
SRR15236487,76562197,5818726972,76,2170,SRX11542371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577355,SAMN20370409,simple,10090,Mus musculus,GSM5470550,GEO,SRA1264034,08,2023,Makar,585 footprint,"hippocampus, wt_male_footprint_rep1",585 footprint,wild type,male,6 months 18 days,hippocampus,GSM5470550
SRR15236488,28761616,2185882816,76,847,SRX11542372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577356,SAMN20370408,simple,10090,Mus musculus,GSM5470551,GEO,SRA1264034,08,2023,Makar,596 footprint,"hippocampus, wt_male_footprint_rep2",596 footprint,wild type,male,5 months 16 days,hippocampus,GSM5470551
SRR15236489,25709657,1953933932,76,727,SRX11542373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577357,SAMN20370407,simple,10090,Mus musculus,GSM5470552,GEO,SRA1264034,08,2023,Makar,599 footprint,"hippocampus, ko_male_footprint_rep2",599 footprint,Qtrt1-/-,male,5 months 16 days,hippocampus,GSM5470552
SRR15236490,39224124,2981033424,76,1120,SRX11542374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577358,SAMN20370406,simple,10090,Mus musculus,GSM5470553,GEO,SRA1264034,08,2023,Makar,551 footprint,"hippocampus, wt_female_footprint_rep1",551 footprint,wild type,female,6 months 22 days,hippocampus,GSM5470553
SRR15236491,31367667,2383942692,76,902,SRX11542375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577359,SAMN20370405,simple,10090,Mus musculus,GSM5470554,GEO,SRA1264034,08,2023,Makar,564 footprint,"hippocampus, wt_female_footprint_rep2",564 footprint,wild type,female,6 months 21 days,hippocampus,GSM5470554
SRR15236492,38619986,2935118936,76,1089,SRX11542376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577360,SAMN20370404,simple,10090,Mus musculus,GSM5470555,GEO,SRA1264034,08,2023,Makar,565 footprint,"hippocampus, wt_female_footprint_rep3",565 footprint,wild type,female,6 months 21 days,hippocampus,GSM5470555
SRR15236493,32396280,2462117280,76,921,SRX11542377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577361,SAMN20370403,simple,10090,Mus musculus,GSM5470556,GEO,SRA1264034,08,2023,Makar,557 footprint,"hippocampus, ko_female_footprint_rep1",557 footprint,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470556
SRR15236494,29096499,2211333924,76,844,SRX11542378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577362,SAMN20370402,simple,10090,Mus musculus,GSM5470557,GEO,SRA1264034,08,2023,Makar,558 footprint,"hippocampus, ko_female_footprint_rep2",558 footprint,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470557
SRR15236495,38347910,2914441160,76,1094,SRX11542379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577363,SAMN20370401,simple,10090,Mus musculus,GSM5470558,GEO,SRA1264034,08,2023,Makar,559 footprint,"hippocampus, ko_female_footprint_rep3",559 footprint,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470558
