Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,time point,replicate,tissue,molecule subtype,GEO Accession
SRR15359330,60406063,3080709213,51,953,SRX11661816,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694642,SAMN20601286,simple,5141,Neurospora crassa,GSM5506265,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD12 rep1,mycelia,wild-type,DD12,1,mycelia,ribosome-protected mRNA,GSM5506265
SRR15359331,62481565,3186559815,51,981,SRX11661817,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694646,SAMN20601287,simple,5141,Neurospora crassa,GSM5506266,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD16 rep1,mycelia,wild-type,DD16,1,mycelia,ribosome-protected mRNA,GSM5506266
SRR15359332,110699986,5645699286,51,1772,SRX11661818,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694643,SAMN20601288,simple,5141,Neurospora crassa,GSM5506267,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD20 rep1,mycelia,wild-type,DD20,1,mycelia,ribosome-protected mRNA,GSM5506267
SRR15359333,83097154,4237954854,51,1304,SRX11661819,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694644,SAMN20601289,simple,5141,Neurospora crassa,GSM5506268,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD24 rep1,mycelia,wild-type,DD24,1,mycelia,ribosome-protected mRNA,GSM5506268
SRR15359334,97305375,4962574125,51,1551,SRX11661820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694645,SAMN20601290,simple,5141,Neurospora crassa,GSM5506269,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD28 rep1,mycelia,wild-type,DD28,1,mycelia,ribosome-protected mRNA,GSM5506269
SRR15359335,95619886,4876614186,51,1548,SRX11661821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694647,SAMN20601291,simple,5141,Neurospora crassa,GSM5506270,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD32 rep1,mycelia,wild-type,DD32,1,mycelia,ribosome-protected mRNA,GSM5506270
SRR15359336,107913279,5503577229,51,1699,SRX11661822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694648,SAMN20601292,simple,5141,Neurospora crassa,GSM5506271,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD36 rep1,mycelia,wild-type,DD36,1,mycelia,ribosome-protected mRNA,GSM5506271
SRR15359337,55965048,2854217448,51,890,SRX11661823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694649,SAMN20601293,simple,5141,Neurospora crassa,GSM5506272,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD40 rep1,mycelia,wild-type,DD40,1,mycelia,ribosome-protected mRNA,GSM5506272
SRR15359338,82058161,4184966211,51,1312,SRX11661824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694650,SAMN20601294,simple,5141,Neurospora crassa,GSM5506273,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD44 rep1,mycelia,wild-type,DD44,1,mycelia,ribosome-protected mRNA,GSM5506273
SRR15359339,113869339,5807336289,51,1880,SRX11661825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694651,SAMN20601295,simple,5141,Neurospora crassa,GSM5506274,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD48 rep1,mycelia,wild-type,DD48,1,mycelia,ribosome-protected mRNA,GSM5506274
SRR15359340,109473005,5583123255,51,1758,SRX11661826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694652,SAMN20601296,simple,5141,Neurospora crassa,GSM5506275,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD12 rep2,mycelia,wild-type,DD12,2,mycelia,ribosome-protected mRNA,GSM5506275
SRR15359341,75207263,3835570413,51,1215,SRX11661827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694653,SAMN20601297,simple,5141,Neurospora crassa,GSM5506276,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD16 rep2,mycelia,wild-type,DD16,2,mycelia,ribosome-protected mRNA,GSM5506276
SRR15359342,120365429,6138636879,51,1900,SRX11661828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694654,SAMN20601298,simple,5141,Neurospora crassa,GSM5506277,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD20 rep2,mycelia,wild-type,DD20,2,mycelia,ribosome-protected mRNA,GSM5506277
SRR15359343,115815163,5906573313,51,1903,SRX11661829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694655,SAMN20601089,simple,5141,Neurospora crassa,GSM5506278,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD24 rep2,mycelia,wild-type,DD24,2,mycelia,ribosome-protected mRNA,GSM5506278
SRR15359344,88668473,4522092123,51,1375,SRX11661830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694656,SAMN20601090,simple,5141,Neurospora crassa,GSM5506279,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD28 rep2,mycelia,wild-type,DD28,2,mycelia,ribosome-protected mRNA,GSM5506279
SRR15359345,89148581,4546577631,51,1423,SRX11661831,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694657,SAMN20601091,simple,5141,Neurospora crassa,GSM5506280,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD32 rep2,mycelia,wild-type,DD32,2,mycelia,ribosome-protected mRNA,GSM5506280
