Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,organ,ecotype,GEO Accession
SRR15700002,12455143,2491028600,100,859,SRX11995949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003464,SAMN21206339,simple,3702,Arabidopsis thaliana,GSM5554172,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 1,7-day old Seedlings,Seedlings,Col-0,GSM5554172
SRR15700003,16828710,3365742000,100,1144,SRX11995950,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003465,SAMN21206340,simple,3702,Arabidopsis thaliana,GSM5554173,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 2,7-day old Seedlings,Seedlings,Col-0,GSM5554173
SRR15700004,16046975,3209395000,100,1095,SRX11995951,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003466,SAMN21206342,simple,3702,Arabidopsis thaliana,GSM5554174,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 3,7-day old Seedlings,Seedlings,Col-0,GSM5554174
SRR15700005,17915470,3583094000,100,1212,SRX11995952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003467,SAMN21206344,simple,3702,Arabidopsis thaliana,GSM5554175,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 4,7-day old Seedlings,Seedlings,Col-0,GSM5554175
SRR15700006,17622624,3524524800,100,1210,SRX11995953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003468,SAMN21206346,simple,3702,Arabidopsis thaliana,GSM5554176,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 5,7-day old Seedlings,Seedlings,Col-0,GSM5554176
SRR15700007,18675205,3735041000,100,1257,SRX11995954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003469,SAMN21206348,simple,3702,Arabidopsis thaliana,GSM5554177,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 seedling RNA-seq sample 6,7-day old Seedlings,Seedlings,Col-0,GSM5554177
SRR15700008,135045493,6887320143,51,2080,SRX11995955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003470,SAMN21206350,simple,3702,Arabidopsis thaliana,GSM5554178,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 1,7-day old Seedlings,Seedlings,Col-0,GSM5554178
SRR15700009,132402329,6752518779,51,2243,SRX11995956,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003471,SAMN21206351,simple,3702,Arabidopsis thaliana,GSM5554179,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 2,7-day old Seedlings,Seedlings,Col-0,GSM5554179
SRR15700010,127728208,6514138608,51,2232,SRX11995957,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003472,SAMN21206352,simple,3702,Arabidopsis thaliana,GSM5554180,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 3,7-day old Seedlings,Seedlings,Col-0,GSM5554180
SRR15700011,146448969,7468897419,51,2265,SRX11995958,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003473,SAMN21206353,simple,3702,Arabidopsis thaliana,GSM5554181,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 4,7-day old Seedlings,Seedlings,Col-0,GSM5554181
SRR15700012,156902054,8002004754,51,2387,SRX11995959,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003474,SAMN21206354,simple,3702,Arabidopsis thaliana,GSM5554182,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 5,7-day old Seedlings,Seedlings,Col-0,GSM5554182
SRR15700013,151587836,7730979636,51,2293,SRX11995960,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP335382,PRJNA759858,1,"",SRS10003475,SAMN21206355,simple,3702,Arabidopsis thaliana,GSM5554183,GEO,SRA1288020,09,2023,Makar,7-day old Seedlings,Col-0 root Ribo-seq sample 6,7-day old Seedlings,Seedlings,Col-0,GSM5554183
