Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,treatment,substrain,GEO Accession
SRR16249166,161562975,8078148750,50,2570,SRX12528934,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489197,SAMN22161977,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618591,GEO,SRA1307962,05,2022,Zhu,WT SecA interactome,"WT SecA interactome, rep1",WT SecA interactome,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618591
SRR16249167,147880396,7394019800,50,2389,SRX12528935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489198,SAMN22161978,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618592,GEO,SRA1307962,05,2022,Zhu,WT SecA interactome,"WT SecA interactome, rep2",WT SecA interactome,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618592
SRR16249168,104733279,5236663950,50,2718,SRX12528936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489199,SAMN22161980,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618593,GEO,SRA1307962,05,2022,Zhu,WT total translatome,"WT total translatome, rep1",WT total translatome,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618593
SRR16249169,78778897,3938944850,50,2034,SRX12528937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489200,SAMN22161981,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618594,GEO,SRA1307962,05,2022,Zhu,WT total translatome,"WT total translatome, rep2",WT total translatome,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618594
SRR16249170,43458503,2172925150,50,1152,SRX12528938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489201,SAMN22161982,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618595,GEO,SRA1307962,05,2022,Zhu,"WT SecA interactome, AcrB and OppC mutants","WT SecA interactome, rep1, AcrB and OppC mutants","WT SecA interactome, AcrB and OppC mutants",K-12,SecA-Thrombin-Avi AcrB::AcrBdelta71aa OppC::OppC,untreated,W3110,GSM5618595
SRR16249171,35999806,1799990300,50,950,SRX12528939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489202,SAMN22161983,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618596,GEO,SRA1307962,05,2022,Zhu,"WT SecA interactome, AcrB and OppC mutants","WT SecA interactome, rep2, AcrB and OppC mutants","WT SecA interactome, AcrB and OppC mutants",K-12,SecA-Thrombin-Avi AcrB::AcrBdelta71aa OppC::OppC,untreated,W3110,GSM5618596
SRR16249172,40575687,2028784350,50,987,SRX12528940,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489203,SAMN22161984,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618597,GEO,SRA1307962,05,2022,Zhu,"WT total translatome, AcrB and OppC mutants","WT total translatome, rep1, AcrB and OppC mutants","WT total translatome, AcrB and OppC mutants",K-12,SecA-Thrombin-Avi AcrB::AcrBdelta71aa OppC::OppC,untreated,W3110,GSM5618597
SRR16249173,43162850,2158142500,50,1052,SRX12528941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489204,SAMN22161986,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618598,GEO,SRA1307962,05,2022,Zhu,"WT total translatome, AcrB and OppC mutants","WT total translatome, rep2, AcrB and OppC mutants","WT total translatome, AcrB and OppC mutants",K-12,SecA-Thrombin-Avi AcrB::AcrBdelta71aa OppC::OppC,untreated,W3110,GSM5618598
SRR16249174,84340231,4217011550,50,1231,SRX12528942,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489205,SAMN22161987,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618599,GEO,SRA1307962,05,2022,Zhu,∆tig SecA interactome,"∆tig SecA interactome, rep1",∆tig SecA interactome,K-12,deltatig::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618599
SRR16249175,55454731,2772736550,50,818,SRX12528943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489206,SAMN22161988,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618600,GEO,SRA1307962,05,2022,Zhu,∆tig SecA interactome,"∆tig SecA interactome, rep2",∆tig SecA interactome,K-12,deltatig::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618600
