Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,strain information,genotype/treatment,stress,molecule subtype,GEO Accession
SRR16584057,188958,270194659,1429,227,SRX12785584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731638,SAMN22589450,simple,4932,Saccharomyces cerevisiae,GSM5658041,GEO,SRA1318082,12,2021,Bailey,20190610_R941_CBF5GAL,20190610_R941_CBF5GAL,20190610_R941_CBF5GAL,GAL-CBF5,MAT:a; ura3-52; trp-; leu2-<delta>1; cbf5::GAL-CBF5 HIS3; gal2; gal<delta>108,Cbf5 expressed,YEPGal(actose),ribosomal RNA,GSM5658041
SRR16584066,4558,8640119,1895,7,SRX12785586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731640,SAMN22589431,simple,4932,Saccharomyces cerevisiae,GSM5658050,GEO,SRA1318082,12,2021,Bailey,20210414_R941_WT_CY,20210414_R941_WT_CY,20210414_R941_WT_CY,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",Cycloheximide treated wild type,"cycloheximide (1 ug/ml for 1 hour),",ribosomal RNA,GSM5658050
SRR16584067,10426,19415468,1862,16,SRX12785588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731642,SAMN22589432,simple,4932,Saccharomyces cerevisiae,GSM5658051,GEO,SRA1318082,12,2021,Bailey,20210415_R941_mutant451,20210415_R941_mutant451,20210415_R941_mutant451,"YWD451a snR83<delta>::TRP1 (18S <psi>1290, <psi>1415)","MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112; snr83<delta>::TRP1",snR83 KO,None,ribosomal RNA,GSM5658051
SRR16584068,2960,4775807,1613,4,SRX12785590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731643,SAMN22589433,simple,4932,Saccharomyces cerevisiae,GSM5658052,GEO,SRA1318082,12,2021,Bailey,20210521_R941_WT_stationary,20210521_R941_WT_stationary,20210521_R941_WT_stationary,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",stationary phase,grown to an OD600 = 10,ribosomal RNA,GSM5658052
SRR16584069,8896,14430922,1622,12,SRX12785592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731645,SAMN22589434,simple,4932,Saccharomyces cerevisiae,GSM5658053,GEO,SRA1318082,12,2021,Bailey,20210527_R941_Dbp3d_YPD,20210527_R941_Dbp3d_YPD,20210527_R941_Dbp3d_YPD,BY4741 dbp3<delta>::KanMX4,MATa; his3<delta>1; leu2<delta>0; met15<delta>0; ura3<delta>0; dbp3<delta>::KanMX4,dbp3 KO,None,ribosomal RNA,GSM5658053
SRR16584070,7628,12700388,1664,10,SRX12785594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731647,SAMN22589435,simple,4932,Saccharomyces cerevisiae,GSM5658054,GEO,SRA1318082,12,2021,Bailey,20210531_R941_WT_rapa5,20210531_R941_WT_rapa5,20210531_R941_WT_rapa5,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",rapamycin treated wild type,rapamycin (200 ng/ml for 1 or 5 hours),ribosomal RNA,GSM5658054
SRR16584071,1238,2073667,1675,1,SRX12785596,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731648,SAMN22589436,simple,4932,Saccharomyces cerevisiae,GSM5658055,GEO,SRA1318082,12,2021,Bailey,20210618_R941_Mix,20210618_R941_Mix,20210618_R941_Mix,25% YS602: 25% YWD451a: 25% YWD452a: 25% YWD448a,None,mixture of 25% YS602: 25% YWD451a: 25% YWD452a: 25% YWD448a,None,ribosomal RNA,GSM5658055
SRR16584072,8060,13988987,1735,11,SRX12785598,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731651,SAMN22589437,simple,4932,Saccharomyces cerevisiae,GSM5658056,GEO,SRA1318082,12,2021,Bailey,20210619_R941_prp43,20210619_R941_prp43,20210619_R941_prp43,YJPS575 prp43 Q423N,MATa; his3<delta>; leu2<delta>; LYS2; met15<delta>0; ura3<delta>; prp43<delta>::KanMX4; (pJPS261 prp43 Q423N URA3 CEN),prp43 mutant shifted to cold for 1hr to inhibit prp43 function,shifted to 18 °C for 1,ribosomal RNA,GSM5658056
SRR16584073,18714,29519789,1577,24,SRX12785600,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731653,SAMN22589438,simple,4932,Saccharomyces cerevisiae,GSM5658057,GEO,SRA1318082,12,2021,Bailey,20210716_R941_MIX,20210716_R941_MIX,20210716_R941_MIX,25% YS602: 25% YWD451a: 25% YWD452a: 25% YWD448a,None,mixture of 25% YS602: 25% YWD451a: 25% YWD452a: 25% YWD448a,None,ribosomal RNA,GSM5658057
SRR16584074,3979,5342021,1342,4,SRX12785602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731655,SAMN22589439,simple,4932,Saccharomyces cerevisiae,GSM5658058,GEO,SRA1318082,12,2021,Bailey,20210717_R941_YS602_18_YPD,20210717_R941_YS602_18_YPD,20210717_R941_YS602_18_YPD,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",wild type yeast shifted to cold for 1 hour,shifted to 18 °C for 1,ribosomal RNA,GSM5658058
