Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,metastatic capacity
SRR16587390,55446742,2195750048,39,928,SRX12788777,GSM5658197,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734808,SAMN22590092,simple,9606,Homo sapiens,GSM5658197,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-Par_rpf_r1,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587389,52675363,2116446701,40,891,SRX12788778,GSM5658198,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734809,SAMN22590091,simple,9606,Homo sapiens,GSM5658198,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-Par_rpf_r2,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587388,60264346,2402942793,39,1013,SRX12788779,GSM5658199,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734810,SAMN22590090,simple,9606,Homo sapiens,GSM5658199,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-LM2_rpf_r1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs
SRR16587387,59178627,2340214645,39,989,SRX12788780,GSM5658200,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734811,SAMN22590089,simple,9606,Homo sapiens,GSM5658200,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-LM2_rpf_r2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs
SRR16587386,113685009,4117978149,36,1771,SRX12788781,GSM5658201,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734812,SAMN22590088,simple,9606,Homo sapiens,GSM5658201,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rpf_r1,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587385,79275666,2880978164,36,1236,SRX12788782,GSM5658202,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734813,SAMN22590087,simple,9606,Homo sapiens,GSM5658202,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rpf_r2,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587384,89635691,3270160843,36,1399,SRX12788783,GSM5658203,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734814,SAMN22590086,simple,9606,Homo sapiens,GSM5658203,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rpf_r1,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587383,57579731,2103623599,36,904,SRX12788784,GSM5658204,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734815,SAMN22590085,simple,9606,Homo sapiens,GSM5658204,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rpf_r2,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587382,20919264,1380671424,66,491,SRX12788785,GSM5658205,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734816,SAMN22590084,simple,9606,Homo sapiens,GSM5658205,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-Par_rna_r1,breast cancer cell line,MDA-MB-231,poorly metastatic
SRR16587381,19439039,1282976574,66,458,SRX12788786,GSM5658206,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP343302,PRJNA774895,1,"",SRS10734817,SAMN22590083,simple,9606,Homo sapiens,GSM5658206,"Biochemistry and Biophysics, UCSF",SRA1322668,02,2023,Makar,breast cancer cell line,MDA-Par_rna_r2,breast cancer cell line,MDA-MB-231,poorly metastatic
