Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,molecule,GEO Accession
SRR16913138,49061751,2453087550,50,841,SRX13105566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041813,SAMN23039071,simple,9606,Homo sapiens,GSM5685744,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.WT.1.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685744
SRR16913139,50405704,2520285200,50,861,SRX13105567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041812,SAMN23039072,simple,9606,Homo sapiens,GSM5685745,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.WT.1.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685745
SRR16913140,32003066,1600153300,50,503,SRX13105568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041814,SAMN23039073,simple,9606,Homo sapiens,GSM5685746,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set20.WT.1.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685746
SRR16913141,67299464,3364973200,50,1146,SRX13105569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041815,SAMN23039074,simple,9606,Homo sapiens,GSM5685747,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO1.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685747
SRR16913142,46056927,2302846350,50,786,SRX13105570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041816,SAMN23039075,simple,9606,Homo sapiens,GSM5685748,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO1.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685748
SRR16913143,41626906,2081345300,50,642,SRX13105571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041817,SAMN23039076,simple,9606,Homo sapiens,GSM5685749,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set20.TOP3B-KO1.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685749
SRR16913144,46708167,2335408350,50,803,SRX13105572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041818,SAMN23039077,simple,9606,Homo sapiens,GSM5685750,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO2.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO2,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685750
SRR16913145,50084988,2504249400,50,858,SRX13105573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041819,SAMN23039078,simple,9606,Homo sapiens,GSM5685751,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO2.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO2,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685751
SRR16913146,61863562,3093178100,50,941,SRX13105574,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041820,SAMN23039079,simple,9606,Homo sapiens,GSM5685752,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.WT.1.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685752
SRR16913147,37731206,1886560300,50,577,SRX13105575,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041821,SAMN23039080,simple,9606,Homo sapiens,GSM5685753,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.WT.1.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685753
