Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,fraction,GEO Accession
SRR16955378,6784791,1017718650,150,310,SRX13146981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079371,SAMN23176774,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692032,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-CG,yogurt,whole cells,untreated was control group (CG),total mRNAs,GSM5692032
SRR16955379,6784791,1017718650,150,312,SRX13146981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079371,SAMN23176774,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692032,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-CG,yogurt,whole cells,treated with osmotic stress (OS),total mRNAs,GSM5692033
SRR16955380,5678203,851730450,150,260,SRX13146982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079368,SAMN23176775,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692033,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-OS1,yogurt,whole cells,treated with osmotic stress (OS),total mRNAs,GSM5692035
SRR16955381,5678203,851730450,150,259,SRX13146982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079368,SAMN23176775,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692033,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-OS1,yogurt,whole cells,untreated was control group (CG),RPFs,GSM5692037
SRR16955382,6983736,1047560400,150,319,SRX13146983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079369,SAMN23176776,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692035,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-OS2,yogurt,whole cells,treated with osmotic stress (OS),RPFs,GSM5692038
SRR16955383,6983736,1047560400,150,317,SRX13146983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346338,PRJNA780800,34899662,"",SRS11079369,SAMN23176776,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692035,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-RNA-seq data-OS2,yogurt,whole cells,treated with osmotic stress (OS),RPFs,GSM5692040
SRR16955384,81788555,12268283250,150,5370,SRX13146984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP346338,PRJNA780800,34899662,"",SRS11079370,SAMN23176777,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692037,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-Ribo-seq data-CG,yogurt,whole cells,untreated was control group (CG),total mRNAs,GSM5692032
SRR16955385,81788555,12268283250,0,5626,SRX13146984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP346338,PRJNA780800,34899662,"",SRS11079370,SAMN23176777,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692037,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-Ribo-seq data-CG,yogurt,whole cells,treated with osmotic stress (OS),total mRNAs,GSM5692033
SRR16955386,61136412,9170461800,150,3841,SRX13146985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP346338,PRJNA780800,34899662,"",SRS11079372,SAMN23176778,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692038,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-Ribo-seq data-OS1,yogurt,whole cells,treated with osmotic stress (OS),total mRNAs,GSM5692035
SRR16955387,61136412,9170461800,0,4044,SRX13146985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP346338,PRJNA780800,34899662,"",SRS11079372,SAMN23176778,simple,568703,Lacticaseibacillus rhamnosus GG,GSM5692038,GEO,SRA1329873,12,2021,Fan,yogurt,Lactobacillus rhamnosus ATCC 53103-Ribo-seq data-OS1,yogurt,whole cells,untreated was control group (CG),RPFs,GSM5692037
