Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genotype,GEO Accession
SRR17062619,17444686,2651592272,76,943,SRX13251524,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174402,SAMN23488949,simple,7227,Drosophila melanogaster,GSM5706725,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep1,Third-instar larvae,RNAse T1,Angel+/+,GSM5706725
SRR17062620,16974025,2580051800,76,911,SRX13251524,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174402,SAMN23488949,simple,7227,Drosophila melanogaster,GSM5706725,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep1,Third-instar larvae,RNAse T1,Angel-/-,GSM5706726
SRR17062621,17674911,2686586472,76,934,SRX13251524,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174402,SAMN23488949,simple,7227,Drosophila melanogaster,GSM5706725,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep1,Third-instar larvae,RNAse T1,Angel+/+,GSM5706727
SRR17062622,17386074,2642683248,76,910,SRX13251524,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174402,SAMN23488949,simple,7227,Drosophila melanogaster,GSM5706725,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep1,Third-instar larvae,RNAse T1,Angel-/-,GSM5706728
SRR17062623,16074958,2443393616,76,868,SRX13251525,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174401,SAMN23488950,simple,7227,Drosophila melanogaster,GSM5706726,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep1,Third-instar larvae,RNAse T1,Angel+/+,GSM5706725
SRR17062624,15597827,2370869704,76,838,SRX13251525,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174401,SAMN23488950,simple,7227,Drosophila melanogaster,GSM5706726,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep1,Third-instar larvae,RNAse T1,Angel-/-,GSM5706726
SRR17062625,16262051,2471831752,76,859,SRX13251525,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174401,SAMN23488950,simple,7227,Drosophila melanogaster,GSM5706726,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep1,Third-instar larvae,RNAse T1,Angel+/+,GSM5706727
SRR17062626,15976523,2428431496,76,837,SRX13251525,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174401,SAMN23488950,simple,7227,Drosophila melanogaster,GSM5706726,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep1,Third-instar larvae,RNAse T1,Angel-/-,GSM5706728
SRR17062627,9632228,1464098656,76,521,SRX13251526,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174403,SAMN23488951,simple,7227,Drosophila melanogaster,GSM5706727,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep2,Third-instar larvae,RNAse T1,Angel+/+,GSM5706725
SRR17062628,9331972,1418459744,76,502,SRX13251526,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174403,SAMN23488951,simple,7227,Drosophila melanogaster,GSM5706727,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep2,Third-instar larvae,RNAse T1,Angel-/-,GSM5706726
SRR17062629,9758558,1483300816,76,516,SRX13251526,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174403,SAMN23488951,simple,7227,Drosophila melanogaster,GSM5706727,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep2,Third-instar larvae,RNAse T1,Angel+/+,GSM5706727
SRR17062630,9551504,1451828608,76,501,SRX13251526,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174403,SAMN23488951,simple,7227,Drosophila melanogaster,GSM5706727,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,WT_Angel+/+_rep2,Third-instar larvae,RNAse T1,Angel-/-,GSM5706728
SRR17062631,18104540,2751890080,76,983,SRX13251527,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174405,SAMN23488952,simple,7227,Drosophila melanogaster,GSM5706728,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep2,Third-instar larvae,RNAse T1,Angel+/+,GSM5706725
SRR17062632,17556496,2668587392,76,948,SRX13251527,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174405,SAMN23488952,simple,7227,Drosophila melanogaster,GSM5706728,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep2,Third-instar larvae,RNAse T1,Angel-/-,GSM5706726
SRR17062633,18347771,2788861192,76,974,SRX13251527,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174405,SAMN23488952,simple,7227,Drosophila melanogaster,GSM5706728,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep2,Third-instar larvae,RNAse T1,Angel+/+,GSM5706727
SRR17062634,17985416,2733783232,76,947,SRX13251527,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP348332,PRJNA784409,36180430,"",SRS11174405,SAMN23488952,simple,7227,Drosophila melanogaster,GSM5706728,GEO,SRA1335736,11,2022,Clemente,Third-instar larvae,KO_Angel-/-_rep2,Third-instar larvae,RNAse T1,Angel-/-,GSM5706728
