Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,GEO Accession
SRR17101457,4645189,696778350,75,244,SRX13289134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201862,SAMN23572458,simple,10090,Mus musculus,GSM5712597,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712597
SRR17101458,4863432,729514800,75,257,SRX13289134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201862,SAMN23572458,simple,10090,Mus musculus,GSM5712597,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712598
SRR17101459,5020528,753079200,75,270,SRX13289134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201862,SAMN23572458,simple,10090,Mus musculus,GSM5712597,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712599
SRR17101460,4897715,734657250,75,260,SRX13289134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201862,SAMN23572458,simple,10090,Mus musculus,GSM5712597,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712600
SRR17101461,4687216,703082400,75,246,SRX13289135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201861,SAMN23572459,simple,10090,Mus musculus,GSM5712598,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712601
SRR17101462,4910428,736564200,75,260,SRX13289135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201861,SAMN23572459,simple,10090,Mus musculus,GSM5712598,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712602
SRR17101463,5060685,759102750,75,273,SRX13289135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201861,SAMN23572459,simple,10090,Mus musculus,GSM5712598,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712603
SRR17101464,4938164,740724600,75,263,SRX13289135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201861,SAMN23572459,simple,10090,Mus musculus,GSM5712598,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712604
SRR17101465,5163947,774592050,75,271,SRX13289136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201863,SAMN23572460,simple,10090,Mus musculus,GSM5712599,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712605
SRR17101466,5412908,811936200,75,286,SRX13289136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201863,SAMN23572460,simple,10090,Mus musculus,GSM5712599,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712606
