Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype
SRR17238122,2346863,113368047,48,68,SRX13417194,GSM5736892,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318825,SAMN24102922,simple,10090,Mus musculus,GSM5736892,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_10dpp_1,Testes,C57BL/6J,Testes,P10,
SRR17238121,1248023,57354313,45,35,SRX13417195,GSM5736893,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318827,SAMN24102921,simple,10090,Mus musculus,GSM5736893,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_10dpp_2,Testes,C57BL/6J,Testes,P10,
SRR17238120,2534985,116161633,45,72,SRX13417196,GSM5736894,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318826,SAMN24102920,simple,10090,Mus musculus,GSM5736894,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_10dpp_3,Testes,C57BL/6J,Testes,P10,
SRR17238119,3234062,158398187,48,93,SRX13417197,GSM5736895,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318828,SAMN24102919,simple,10090,Mus musculus,GSM5736895,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_8dpp_1,Testes,C57BL/6J,Testes,P8,
SRR17238118,759396,35124587,46,21,SRX13417198,GSM5736896,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318829,SAMN24102918,simple,10090,Mus musculus,GSM5736896,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_8dpp_2,Testes,C57BL/6J,Testes,P8,
SRR17238117,2025131,93215600,46,57,SRX13417199,GSM5736897,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318830,SAMN24102917,simple,10090,Mus musculus,GSM5736897,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_8dpp_3,Testes,C57BL/6J,Testes,P8,
SRR17238116,3452249,168757837,48,99,SRX13417200,GSM5736898,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318831,SAMN24102916,simple,10090,Mus musculus,GSM5736898,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_Adult_1,Testes,C57BL/6J,Testes,8.5 weeks,
SRR17238115,6033304,289367055,47,172,SRX13417201,GSM5736899,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318832,SAMN24102915,simple,10090,Mus musculus,GSM5736899,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_Adult_2,Testes,C57BL/6J,Testes,8.5 weeks,
SRR17238114,9621897,438867350,45,266,SRX13417202,GSM5736900,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318833,SAMN24102914,simple,10090,Mus musculus,GSM5736900,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_Adult_3,Testes,C57BL/6J,Testes,8.5 weeks,
SRR17238113,4268877,194762052,45,120,SRX13417203,GSM5736901,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318835,SAMN24102913,simple,10090,Mus musculus,GSM5736901,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_Adult_4,Testes,C57BL/6J,Testes,8.5 weeks,
SRR17238112,2263610,109880849,48,65,SRX13417204,GSM5736902,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP350899,PRJNA789249,35058317,"",SRS11318834,SAMN24102912,simple,10090,Mus musculus,GSM5736902,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343887,01,2022,Saito,Testes,YTHDC2_CLIP_KO_1,Testes,C57BL/6J,Testes,8.5 weeks,
