Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,molecule subtype
SRR17658123,74632736,2260501897,30,3280,SRX13826120,GSM5823979,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705345,SAMN25078332,simple,10090,Mus musculus,GSM5823979,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_1_Ribo-Seq Ctrl_veh_1,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658122,85727998,2647484269,30,3774,SRX13826121,GSM5823980,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705346,SAMN25078331,simple,10090,Mus musculus,GSM5823980,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_2_Ribo-Seq Ctrl_veh_2,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658121,64053510,1932364223,30,2812,SRX13826122,GSM5823981,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705347,SAMN25078330,simple,10090,Mus musculus,GSM5823981,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_3_Ribo-Seq Ctrl_veh_3,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658120,53377101,1615706459,30,2351,SRX13826123,GSM5823982,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705348,SAMN25078329,simple,10090,Mus musculus,GSM5823982,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_5_Ribo-Seq S51A_veh_1,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658119,45336479,1405192032,30,2006,SRX13826124,GSM5823983,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705349,SAMN25078328,simple,10090,Mus musculus,GSM5823983,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_6_Ribo-Seq S51A_veh_2,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658118,103867662,3121021975,30,4563,SRX13826125,GSM5823984,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705350,SAMN25078327,simple,10090,Mus musculus,GSM5823984,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_7_Ribo-Seq S51A_veh_3,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658117,84026684,2512330191,29,3700,SRX13826126,GSM5823985,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705351,SAMN25078326,simple,10090,Mus musculus,GSM5823985,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_8_Ribo-Seq S51A_veh_4,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,Ribosome_protected_fragments
SRR17658116,53792019,1635851492,30,2371,SRX13826127,GSM5823986,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705352,SAMN25078325,simple,10090,Mus musculus,GSM5823986,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_9_Ribo-Seq Ctrl_Bort_1,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658115,117543942,3637768983,30,5197,SRX13826128,GSM5823987,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705353,SAMN25078324,simple,10090,Mus musculus,GSM5823987,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_10_Ribo-Seq Ctrl_Bort_2,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658114,67221488,2017303907,30,2956,SRX13826129,GSM5823988,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705354,SAMN25078323,simple,10090,Mus musculus,GSM5823988,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_11_Ribo-Seq Ctrl_Bort_3,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
