Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,developmental stage
SRR17972879,17398811,5219643300,150,2114,SRX14129005,GSM5885030,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955651,SAMN25842290,simple,9913,Bos taurus,GSM5885030,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F1_A, bovine",oocytes,oocytes,GV
SRR17972878,17634508,5290352400,150,2129,SRX14129006,GSM5885031,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955652,SAMN25842289,simple,9913,Bos taurus,GSM5885031,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F1_B, bovine",oocytes,oocytes,GV
SRR17972877,15502947,4650884100,150,2014,SRX14129007,GSM5885032,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955653,SAMN25842288,simple,9913,Bos taurus,GSM5885032,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F2_A, bovine",oocytes,oocytes,GV
SRR17972876,15445650,4633695000,150,2097,SRX14129008,GSM5885033,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955654,SAMN25842287,simple,9913,Bos taurus,GSM5885033,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F2_B, bovine",oocytes,oocytes,GV
SRR17972875,21484175,6445252500,150,2603,SRX14129009,GSM5885034,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955655,SAMN25842286,simple,9913,Bos taurus,GSM5885034,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F3_A, bovine",oocytes,oocytes,GV
SRR17972874,18625233,5587569900,150,2344,SRX14129010,GSM5885035,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955656,SAMN25842285,simple,9913,Bos taurus,GSM5885035,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F3_B, bovine",oocytes,oocytes,GV
SRR17972873,16802768,5040830400,150,1931,SRX14129011,GSM5885036,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955657,SAMN25842284,simple,9913,Bos taurus,GSM5885036,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F4_A, bovine",oocytes,oocytes,GV
SRR17972872,18219364,5465809200,150,2270,SRX14129012,GSM5885037,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955658,SAMN25842283,simple,9913,Bos taurus,GSM5885037,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F4_B, bovine",oocytes,oocytes,GV
SRR17972871,16107495,4832248500,150,1810,SRX14129013,GSM5885038,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955659,SAMN25842282,simple,9913,Bos taurus,GSM5885038,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F5_A, bovine",oocytes,oocytes,GV
SRR17972870,17784910,5335473000,150,2140,SRX14129014,GSM5885039,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955660,SAMN25842281,simple,9913,Bos taurus,GSM5885039,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F5_B, bovine",oocytes,oocytes,GV
SRR17972869,15965640,4789692000,150,1839,SRX14129015,GSM5885040,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955661,SAMN25842280,simple,9913,Bos taurus,GSM5885040,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F6_A, bovine",oocytes,oocytes,GV
SRR17972868,17563529,5269058700,150,2136,SRX14129016,GSM5885041,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955662,SAMN25842279,simple,9913,Bos taurus,GSM5885041,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F6_B, bovine",oocytes,oocytes,GV
SRR17972867,17885690,5365707000,150,2063,SRX14129017,GSM5885042,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955663,SAMN25842278,simple,9913,Bos taurus,GSM5885042,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F7_A, bovine",oocytes,oocytes,GV
SRR17972866,17329816,5198944800,150,2072,SRX14129018,GSM5885043,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955664,SAMN25842277,simple,9913,Bos taurus,GSM5885043,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F7_B, bovine",oocytes,oocytes,GV
SRR17972865,16013040,4803912000,150,1887,SRX14129019,GSM5885044,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955665,SAMN25842276,simple,9913,Bos taurus,GSM5885044,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F8_A, bovine",oocytes,oocytes,GV
