Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,input,fragmentation,Stage,geo_loc_name,collection_date,cell type
SRR18080578,6830517,1455376186,62,602,SRX14232095,GSM5907715,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053202,SAMN26102179,simple,10090,Mus musculus,GSM5907715,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, 30ng_equiv",Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 2.5 U/mL,P4,missing,missing,
SRR18080577,50254772,5125986744,51,1701,SRX14232096,GSM5907732,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053203,SAMN26102162,simple,10090,Mus musculus,GSM5907732,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi5_RP",Mouse cortex,cortex,9.9k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR18080576,53787595,5486334690,51,1824,SRX14232097,GSM5907733,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053204,SAMN26102161,simple,10090,Mus musculus,GSM5907733,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi1_AF",Mouse cortex,cortex,6.2k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
SRR18080575,49560602,5055181404,51,1681,SRX14232098,GSM5907734,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053206,SAMN26102160,simple,10090,Mus musculus,GSM5907734,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi2_AF",Mouse cortex,cortex,3.0k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
SRR18080574,47122534,4806498468,51,1603,SRX14232099,GSM5907735,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053205,SAMN26102159,simple,10090,Mus musculus,GSM5907735,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi3_AF",Mouse cortex,cortex,0.8k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
SRR18080573,43951381,4483040862,51,1491,SRX14232100,GSM5907736,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053207,SAMN26102158,simple,10090,Mus musculus,GSM5907736,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi4_AF",Mouse cortex,cortex,1.4k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
SRR18080572,49021565,5000199630,51,1667,SRX14232101,GSM5907737,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053209,SAMN26102157,simple,10090,Mus musculus,GSM5907737,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi5_AF",Mouse cortex,cortex,3.2k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
SRR18080571,8489498,1829348125,64,772,SRX14232102,GSM5907716,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053208,SAMN26102178,simple,10090,Mus musculus,GSM5907716,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, bulk_RP",Mouse forebrain lysate,forebrain,600 uL forebrain lysate (~100 ug RNA),RNase I 2500 U/mL,P4,missing,missing,
SRR18080570,6191754,1253992987,51,520,SRX14232103,GSM5907717,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053210,SAMN26102177,simple,10090,Mus musculus,GSM5907717,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, in_vitro_G>R",Mouse forebrain lysate,forebrain,30 ng extracted RNA,RNase I 0.05 U,P4,missing,missing,
SRR18080569,5654786,757782050,58,293,SRX14232104,GSM5907718,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053211,SAMN26102176,simple,10090,Mus musculus,GSM5907718,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, 2.5U/mL_RP",Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 2.5 U/mL,P5,missing,missing,
