Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype
SRR18113923,10865534,3259660200,150,1046,SRX14264265,GSM5911768,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083225,SAMN26199055,simple,9606,Homo sapiens,GSM5911768,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_2PN_21_RNA_rep1,Preimplantation embryo,Preimplantation embryo,2-cell,WT
SRR18113922,10363935,3109180500,150,992,SRX14264266,GSM5911769,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083226,SAMN26199054,simple,9606,Homo sapiens,GSM5911769,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_3PN_22_RNA_rep2,Preimplantation embryo,Preimplantation embryo,2-cell,WT
SRR18113921,8396178,2518853400,150,791,SRX14264267,GSM5911770,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083227,SAMN26199053,simple,9606,Homo sapiens,GSM5911770,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_4cell_2PN_22_RNA_rep1,Preimplantation embryo,Preimplantation embryo,4-cell,WT
SRR18113920,10240584,3072175200,150,979,SRX14264268,GSM5911771,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083228,SAMN26199052,simple,9606,Homo sapiens,GSM5911771,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_4cell_3PN_20_RNA_rep2,Preimplantation embryo,Preimplantation embryo,4-cell,WT
SRR18113919,7046154,2113846200,150,664,SRX14264269,GSM5911772,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083229,SAMN26199051,simple,9606,Homo sapiens,GSM5911772,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_8cell_2PN_22_RNA_rep1,Preimplantation embryo,Preimplantation embryo,8-cell,WT
SRR18113918,10966309,3289892700,150,1048,SRX14264270,GSM5911773,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083230,SAMN26199050,simple,9606,Homo sapiens,GSM5911773,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_8cell_3PN_22_RNA_rep2,Preimplantation embryo,Preimplantation embryo,8-cell,WT
SRR18113917,10942692,3282807600,150,1100,SRX14264271,GSM5911774,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083231,SAMN26199049,simple,9606,Homo sapiens,GSM5911774,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic kidney 293 cell,HEK293_1000_RNA,Embryonic kidney 293 cell,Embryonic kidney 293 cell,Embryonic kidney 293 cell,WT
SRR18113916,10469902,3140970600,150,1129,SRX14264272,GSM5911775,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083232,SAMN26199048,simple,9606,Homo sapiens,GSM5911775,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_GV_16_RNA_rep2,Oocyte,Oocyte,GV oocyte,WT
SRR18113915,9889625,2966887500,150,1096,SRX14264273,GSM5911776,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083233,SAMN26199047,simple,9606,Homo sapiens,GSM5911776,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_GV_18_RNA_rep1,Oocyte,Oocyte,GV oocyte,WT
SRR18113914,7908381,2372514300,150,723,SRX14264274,GSM5911777,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083234,SAMN26199046,simple,9606,Homo sapiens,GSM5911777,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,h_H1_hESC_1000_RNA_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,WT
