Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,tag
SRR18190072,4000000,2e+08,50,115,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190073,4000000,2e+08,50,114,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190074,4000000,2e+08,50,115,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190075,4000000,2e+08,50,126,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190076,4000000,2e+08,50,117,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190077,1967192,98359600,50,59,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190078,4000000,2e+08,50,117,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190079,4000000,2e+08,50,117,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190080,4000000,2e+08,50,118,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190081,4000000,2e+08,50,117,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
