Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,cell type,treatment
SRR18220820,43373459,13012037700,150,5048,SRX14367215,GSM5932308,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180310,SAMN26435140,simple,9606,Homo sapiens,GSM5932308,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shscramble rep1 ribo-seq,A549,shscramble rep1,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220819,40930121,12279036300,150,4838,SRX14367216,GSM5932309,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180311,SAMN26435139,simple,9606,Homo sapiens,GSM5932309,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shscramble rep2 ribo-seq,A549,shscramble rep2,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220818,44910289,13473086700,150,5231,SRX14367217,GSM5932310,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180312,SAMN26435138,simple,9606,Homo sapiens,GSM5932310,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shM16-2 ribo-seq,A549,shM16-2,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220817,31163267,9348980100,150,3677,SRX14367218,GSM5932311,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180313,SAMN26435137,simple,9606,Homo sapiens,GSM5932311,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sheIF4E2 rep1 ribo-seq,A549,sheIF4E2 rep1,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220816,28240591,8472177300,150,3318,SRX14367219,GSM5932312,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180314,SAMN26435136,simple,9606,Homo sapiens,GSM5932312,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sheIF4E2 rep2 ribo-seq,A549,sheIF4E2 rep2,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220815,45419761,13625928300,150,5686,SRX14367220,GSM5932313,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180315,SAMN26435135,simple,9606,Homo sapiens,GSM5932313,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 ribo-seq,A549,none,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220814,55696830,16709049000,150,6981,SRX14367221,GSM5932314,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180316,SAMN26435134,simple,9606,Homo sapiens,GSM5932314,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sgM16-1 ribo-seq,A549,sgM16-1,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220813,43148971,12944691300,150,5407,SRX14367222,GSM5932315,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180317,SAMN26435133,simple,9606,Homo sapiens,GSM5932315,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sgM16-2 ribo-seq,A549,sgM16-2,A549,Non-Small Cell Lung Cancer,Ribo-Seq
SRR18220812,35520732,10656219600,150,4144,SRX14367223,GSM5932316,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180318,SAMN26435132,simple,9606,Homo sapiens,GSM5932316,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shscramble rep1 input,A549,shscramble rep1,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220811,39477636,11843290800,150,4664,SRX14367224,GSM5932317,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180319,SAMN26435131,simple,9606,Homo sapiens,GSM5932317,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shscramble rep2 input,A549,shscramble rep2,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220810,40845565,12253669500,150,4786,SRX14367225,GSM5932318,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180320,SAMN26435130,simple,9606,Homo sapiens,GSM5932318,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 shM16-2 input,A549,shM16-2,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220809,42978190,12893457000,150,5076,SRX14367226,GSM5932319,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180321,SAMN26435129,simple,9606,Homo sapiens,GSM5932319,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sheIF4E2 rep1 input,A549,sheIF4E2 rep1,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220808,44428139,13328441700,150,5231,SRX14367227,GSM5932320,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180322,SAMN26435128,simple,9606,Homo sapiens,GSM5932320,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sheIF4E2 rep2 input,A549,sheIF4E2 rep2,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220807,45003593,13501077900,150,5637,SRX14367228,GSM5932321,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180323,SAMN26435127,simple,9606,Homo sapiens,GSM5932321,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 input,A549,none,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220806,42755849,12826754700,150,5363,SRX14367229,GSM5932322,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180324,SAMN26435126,simple,9606,Homo sapiens,GSM5932322,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sgM16-1 input,A549,sgM16-1,A549,Non-Small Cell Lung Cancer,RNA-Seq
SRR18220805,42776851,12833055300,150,5354,SRX14367230,GSM5932323,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362491,PRJNA812878,1,"",SRS12180325,SAMN26435125,simple,9606,Homo sapiens,GSM5932323,"zhoulab, China Pharmaceutical University",SRA1380895,03,2022,Makar,A549,A549 sgM16-2 input,A549,sgM16-2,A549,Non-Small Cell Lung Cancer,RNA-Seq
