Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,tissue subtype,replicate
SRR18268166,89257607,26955797314,151,10419,SRX14406450,GSM5939178,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216306,SAMN26513734,simple,10090,Mus musculus,GSM5939178,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, mRNA1",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),1
SRR18268165,85206151,25732257602,151,10183,SRX14406451,GSM5939179,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216307,SAMN26513733,simple,10090,Mus musculus,GSM5939179,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, totalRNA1",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),1
SRR18268164,63471934,19041580200,150,8003,SRX14406452,GSM5939180,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216308,SAMN26513732,simple,10090,Mus musculus,GSM5939180,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, mRNA2",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),2
SRR18268163,70451465,21135439500,150,8657,SRX14406453,GSM5939181,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216309,SAMN26513731,simple,10090,Mus musculus,GSM5939181,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, totalRNA2",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),2
SRR18268162,140965520,42289656000,150,18122,SRX14406454,GSM5939182,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216311,SAMN26513730,simple,10090,Mus musculus,GSM5939182,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, mRNA3",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),3
SRR18268161,147323135,44196940500,150,18238,SRX14406455,GSM5939183,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216310,SAMN26513729,simple,10090,Mus musculus,GSM5939183,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,brown adipose tissue,"BAT, totalRNA3",brown adipose tissue,adipose tissue,brown adipose tissue (BAT),3
SRR18268160,58075099,17422529700,150,7174,SRX14406456,GSM5939184,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216312,SAMN26513728,simple,10090,Mus musculus,GSM5939184,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,beige adipose tissue,"Beige, mRNA1",beige adipose tissue,adipose tissue,Beige adipose tissue,1
SRR18268159,64725500,19417650000,150,7981,SRX14406457,GSM5939185,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216314,SAMN26513727,simple,10090,Mus musculus,GSM5939185,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,beige adipose tissue,"Beige, totalRNA1",beige adipose tissue,adipose tissue,Beige adipose tissue,1
SRR18268158,63653349,19096004700,150,7882,SRX14406458,GSM5939186,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216313,SAMN26513726,simple,10090,Mus musculus,GSM5939186,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,beige adipose tissue,"Beige, mRNA2",beige adipose tissue,adipose tissue,Beige adipose tissue,2
SRR18268157,60262675,18078802500,150,7515,SRX14406459,GSM5939187,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216315,SAMN26513725,simple,10090,Mus musculus,GSM5939187,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,beige adipose tissue,"Beige, totalRNA2",beige adipose tissue,adipose tissue,Beige adipose tissue,2
SRR18268156,83068592,25086714784,151,9703,SRX14406460,GSM5939188,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216316,SAMN26513724,simple,10090,Mus musculus,GSM5939188,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,white adipose tissue,"WAT, mRNA1",white adipose tissue,adipose tissue,white adipose tissue (WAT),1
SRR18268155,83579913,25241133726,151,9766,SRX14406461,GSM5939189,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216317,SAMN26513723,simple,10090,Mus musculus,GSM5939189,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,white adipose tissue,"WAT, totalRNA1",white adipose tissue,adipose tissue,white adipose tissue (WAT),1
SRR18268154,76554514,22966354200,150,9393,SRX14406462,GSM5939190,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216318,SAMN26513722,simple,10090,Mus musculus,GSM5939190,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,white adipose tissue,"WAT, mRNA2",white adipose tissue,adipose tissue,white adipose tissue (WAT),2
SRR18268153,71809033,21542709900,150,8840,SRX14406463,GSM5939191,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP362974,PRJNA813625,36599300,"",SRS12216319,SAMN26513721,simple,10090,Mus musculus,GSM5939191,"IGC, IGC, Salk Institute",SRA1391444,12,2022,Martinez,white adipose tissue,"WAT, totalRNA2",white adipose tissue,adipose tissue,white adipose tissue (WAT),2
