Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,rip antibody,age,tissue,geo_loc_name,collection_date,ecotype,cultivar,treatment,time,genotype,molecule subtype,cell type
SRR18286105,37055637,5558345550,150,1685,SRX14423887,GSM5943605,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232927,SAMN26549858,simple,3702,Arabidopsis thaliana,GSM5943605,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis IgG control replicate 1,10-day-old seedlings,Rabbit IgG,10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286103,35534361,5330154150,150,1650,SRX14423888,GSM5943606,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232928,SAMN26549857,simple,3702,Arabidopsis thaliana,GSM5943606,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis IgG control replicate 2,10-day-old seedlings,Rabbit IgG,10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286102,39985880,5997882000,150,2442,SRX14423889,GSM5943607,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232929,SAMN26549856,simple,3702,Arabidopsis thaliana,GSM5943607,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis Input replicate 1,10-day-old seedlings,none,10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286101,40830147,6124522050,150,2573,SRX14423890,GSM5943608,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232931,SAMN26549855,simple,3702,Arabidopsis thaliana,GSM5943608,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis Input replicate 2,10-day-old seedlings,none,10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286104,35639572,5345935800,150,1697,SRX14423891,GSM5943609,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232930,SAMN26549854,simple,3702,Arabidopsis thaliana,GSM5943609,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis ac4C IP replicate 1,10-day-old seedlings,"ac4C (abcam, ab252215)",10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286100,34065378,5109806700,150,1540,SRX14423892,GSM5943610,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232932,SAMN26549853,simple,3702,Arabidopsis thaliana,GSM5943610,Hunan university,SRA1391781,06,2023,Li,10-day-old seedlings,Arabidopsis ac4C IP replicate 2,10-day-old seedlings,"ac4C (abcam, ab252215)",10-day-old,seedlings,missing,missing,Col-0,,,,,,
SRR18286098,36137724,5420658600,150,1730,SRX14423893,GSM5943611,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232933,SAMN26549852,simple,39947,Oryza sativa Japonica Group,GSM5943611,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice IgG control replicate 1,15-day-old seedlings,Rabbit IgG,15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR18286097,37905237,5685785550,150,2479,SRX14423894,GSM5943612,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232934,SAMN26549851,simple,39947,Oryza sativa Japonica Group,GSM5943612,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice IgG control replicate 2,15-day-old seedlings,Rabbit IgG,15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR18286096,38949603,5842440450,150,2495,SRX14423895,GSM5943613,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232936,SAMN26549850,simple,39947,Oryza sativa Japonica Group,GSM5943613,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice Input replicate 1,15-day-old seedlings,none,15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR18286099,35342693,5301403950,150,2135,SRX14423896,GSM5943614,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232935,SAMN26549849,simple,39947,Oryza sativa Japonica Group,GSM5943614,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice Input replicate 2,15-day-old seedlings,none,15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR18286095,36615340,5492301000,150,1757,SRX14423897,GSM5943615,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232937,SAMN26549848,simple,39947,Oryza sativa Japonica Group,GSM5943615,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice ac4C IP replicate 1,15-day-old seedlings,"ac4C (abcam, ab252215)",15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR18286094,35086086,5262912900,150,1677,SRX14423898,GSM5943616,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP363288,PRJNA814389,37073130,"",SRS12232938,SAMN26549847,simple,39947,Oryza sativa Japonica Group,GSM5943616,Hunan university,SRA1391781,06,2023,Li,15-day-old seedlings,Rice ac4C IP replicate 2,15-day-old seedlings,"ac4C (abcam, ab252215)",15-day-old,seedlings,missing,missing,,Nipponbare,,,,,
SRR21526569,227264115,68179234500,150,20363,SRX17528925,GSM6573196,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15078324,SAMN30800202,simple,39947,Oryza sativa Japonica Group,GSM6573196,Hunan university,SRA1494960,06,2023,Li,Seedlings,"Control, Day15",Seedlings,,,Seedlings,missing,missing,,Nipponbare,control,20 min,,,
SRR21526568,205158108,61547432400,150,19151,SRX17528926,GSM6573197,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15078325,SAMN30800201,simple,39947,Oryza sativa Japonica Group,GSM6573197,Hunan university,SRA1494960,06,2023,Li,Seedlings,"NaCNBH3 treated, Day15",Seedlings,,,Seedlings,missing,missing,,Nipponbare,NaCNBH3,20 min,,,
SRR21526567,158732020,47619606000,150,13980,SRX17528927,GSM6573194,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15078326,SAMN30800204,simple,3702,Arabidopsis thaliana,GSM6573194,Hunan university,SRA1494960,06,2023,Li,Seedlings,"Control, Day10",Seedlings,,,Seedlings,missing,missing,Col-0,,control,20 min,,,
SRR21526566,166148923,49844676900,150,15340,SRX17528928,GSM6573195,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15078327,SAMN30800203,simple,3702,Arabidopsis thaliana,GSM6573195,Hunan university,SRA1494960,06,2023,Li,Seedlings,"NaCNBH3 treated, Day10",Seedlings,,,Seedlings,missing,missing,Col-0,,NaCNBH3,20 min,,,
SRR22013729,20311234,6093370200,150,1885,SRX17995867,GSM6671028,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15507021,SAMN31415715,simple,3702,Arabidopsis thaliana,GSM6671028,Hunan university,SRA1599928,06,2023,Li,Seedlings,Arabidopsis mRNA rep1,Seedlings,,,Seedlings,missing,missing,,,,,Col-0,,
SRR22013728,20468836,6140650800,150,1910,SRX17995868,GSM6671029,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15507022,SAMN31415714,simple,3702,Arabidopsis thaliana,GSM6671029,Hunan university,SRA1599928,06,2023,Li,Seedlings,Arabidopsis mRNA rep2,Seedlings,,,Seedlings,missing,missing,,,,,Col-0,,
SRR22013727,24345897,7303769100,150,2254,SRX17995869,GSM6671030,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15507023,SAMN31415713,simple,3702,Arabidopsis thaliana,GSM6671030,Hunan university,SRA1599928,06,2023,Li,Seedlings,Arabidopsis RNC-mRNA rep1,Seedlings,,,Seedlings,missing,missing,,,,,Col-0,RNC-mRNA,
SRR22013726,22717653,6815295900,150,2108,SRX17995870,GSM6671031,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS15507024,SAMN31415712,simple,3702,Arabidopsis thaliana,GSM6671031,Hunan university,SRA1599928,06,2023,Li,Seedlings,Arabidopsis RNC-mRNA rep2,Seedlings,,,Seedlings,missing,missing,,,,,Col-0,RNC-mRNA,
SRR23724272,21667210,6500163000,150,2073,SRX19584922,GSM7083726,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967803,SAMN33610429,simple,4530,Oryza sativa,GSM7083726,Hunan university,SRA1600884,06,2023,Li,Seedlings,Kitaake mRNA rep1,Seedlings,,,,missing,missing,,,,,Kitaake,,Seedlings
SRR23724271,19750739,5925221700,150,1895,SRX19584923,GSM7083727,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967800,SAMN33610428,simple,4530,Oryza sativa,GSM7083727,Hunan university,SRA1600884,06,2023,Li,Seedlings,Kitaake mRNA rep2,Seedlings,,,,missing,missing,,,,,Kitaake,,Seedlings
SRR23724270,21832372,6549711600,150,2110,SRX19584924,GSM7083728,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967802,SAMN33610427,simple,4530,Oryza sativa,GSM7083728,Hunan university,SRA1600884,06,2023,Li,Seedlings,Kitaake RNC-mRNA rep1,Seedlings,,,,missing,missing,,,,,Kitaake,,Seedlings
SRR23724269,23082271,6924681300,150,2156,SRX19584925,GSM7083729,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967804,SAMN33610426,simple,4530,Oryza sativa,GSM7083729,Hunan university,SRA1600884,06,2023,Li,Seedlings,Kitaake RNC-mRNA rep2,Seedlings,,,,missing,missing,,,,,Kitaake,,Seedlings
SRR23724268,19733511,5920053300,150,1875,SRX19584926,GSM7083730,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967805,SAMN33610425,simple,4530,Oryza sativa,GSM7083730,Hunan university,SRA1600884,06,2023,Li,Seedlings,osnat10-1 mRNA rep1,Seedlings,,,,missing,missing,,,,,osnat10-1,,Seedlings
SRR23724267,20169467,6050840100,150,1922,SRX19584927,GSM7083733,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967807,SAMN33610422,simple,4530,Oryza sativa,GSM7083733,Hunan university,SRA1600884,06,2023,Li,Seedlings,osnat10-1 RNC-mRNA rep2,Seedlings,,,,missing,missing,,,,,osnat10-1,,Seedlings
SRR23724266,22225733,6667719900,150,2081,SRX19584928,GSM7083732,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967806,SAMN33610423,simple,4530,Oryza sativa,GSM7083732,Hunan university,SRA1600884,06,2023,Li,Seedlings,osnat10-1 RNC-mRNA rep1,Seedlings,,,,missing,missing,,,,,osnat10-1,,Seedlings
SRR23724265,21071626,6321487800,150,2051,SRX19584929,GSM7083731,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP363288,PRJNA814389,37073130,"",SRS16967808,SAMN33610424,simple,4530,Oryza sativa,GSM7083731,Hunan university,SRA1600884,06,2023,Li,Seedlings,osnat10-1 mRNA rep2,Seedlings,,,,missing,missing,,,,,osnat10-1,,Seedlings
