Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,assay,treatment,tissue,replicate
SRR18441267,1737956,142512392,82,50,SRX14574412,GSM5966649,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351128,SAMN26886330,simple,3702,Arabidopsis thaliana,GSM5966649,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_DMSO_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL18,BULK,DMSO,roots,2
SRR18441266,13556514,1111634148,82,394,SRX14574413,GSM5966650,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351129,SAMN26886329,simple,3702,Arabidopsis thaliana,GSM5966650,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL19,BULK,IAA,roots,2
SRR18441265,85496194,7010687908,82,2491,SRX14574414,GSM5966651,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351130,SAMN26886328,simple,3702,Arabidopsis thaliana,GSM5966651,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_AZD_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL20,BULK,IAA_AZD,roots,2
SRR18441264,21754612,1783878184,82,634,SRX14574415,GSM5966652,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351131,SAMN26886327,simple,3702,Arabidopsis thaliana,GSM5966652,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_DMSO_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL21,BULK,DMSO,roots,3
SRR18441263,18784356,1540317192,82,548,SRX14574416,GSM5966653,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351133,SAMN26886326,simple,3702,Arabidopsis thaliana,GSM5966653,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL22,BULK,IAA,roots,3
SRR18441262,13708814,1124122748,82,401,SRX14574417,GSM5966654,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351132,SAMN26886325,simple,3702,Arabidopsis thaliana,GSM5966654,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_AZD_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL23,BULK,IAA_AZD,roots,3
SRR18441261,9475240,776969680,82,274,SRX14574418,GSM5966655,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351134,SAMN26886324,simple,3702,Arabidopsis thaliana,GSM5966655,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_DMSO_4,roots,transgenic line ubiquitously expressing a GFP-tagged RPL24,BULK,DMSO,roots,4
SRR18441260,8514156,698160792,82,247,SRX14574419,GSM5966656,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351135,SAMN26886323,simple,3702,Arabidopsis thaliana,GSM5966656,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_4,roots,transgenic line ubiquitously expressing a GFP-tagged RPL25,BULK,IAA,roots,4
SRR18441259,6707883,550046406,82,195,SRX14574420,GSM5966657,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351136,SAMN26886322,simple,3702,Arabidopsis thaliana,GSM5966657,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,BULK_IAA_AZD_4,roots,transgenic line ubiquitously expressing a GFP-tagged RPL26,BULK,IAA_AZD,roots,4
SRR18441258,37412670,3067838940,82,1082,SRX14574421,GSM5966658,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351137,SAMN26886321,simple,3702,Arabidopsis thaliana,GSM5966658,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_DMSO_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL27,TRAP,DMSO,roots,2
SRR18441257,23704508,1943769656,82,688,SRX14574422,GSM5966659,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351138,SAMN26886320,simple,3702,Arabidopsis thaliana,GSM5966659,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_IAA_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL28,TRAP,IAA,roots,2
SRR18441256,43185919,3541245358,82,1266,SRX14574423,GSM5966660,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351139,SAMN26886319,simple,3702,Arabidopsis thaliana,GSM5966660,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_IAA_AZD_2,roots,transgenic line ubiquitously expressing a GFP-tagged RPL29,TRAP,IAA_AZD,roots,2
SRR18441255,32179040,2638681280,82,936,SRX14574424,GSM5966661,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351140,SAMN26886318,simple,3702,Arabidopsis thaliana,GSM5966661,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_DMSO_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL30,TRAP,DMSO,roots,3
SRR18441254,27830125,2282070250,82,813,SRX14574425,GSM5966662,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351141,SAMN26886317,simple,3702,Arabidopsis thaliana,GSM5966662,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_IAA_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL31,TRAP,IAA,roots,3
SRR18441253,26646861,2185042602,82,771,SRX14574426,GSM5966663,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351142,SAMN26886316,simple,3702,Arabidopsis thaliana,GSM5966663,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_IAA_AZD_3,roots,transgenic line ubiquitously expressing a GFP-tagged RPL32,TRAP,IAA_AZD,roots,3
SRR18441252,87469676,7172513432,82,2539,SRX14574427,GSM5966664,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365413,PRJNA818878,1,"",SRS12351143,SAMN26886315,simple,3702,Arabidopsis thaliana,GSM5966664,"Center for Organismal Studies, Heidelberg University",SRA1390666,03,2022,Makar,roots,TRAP_DMSO_4,roots,transgenic line ubiquitously expressing a GFP-tagged RPL33,TRAP,DMSO,roots,4
