Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell line,geo_loc_name,collection_date
SRR18476760,45763764,3478046064,76,1156,SRX14608968,GSM5971609,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377373,SAMN26938756,simple,9606,Homo sapiens,GSM5971609,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_52KO_RNA_1,RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476759,51784381,3935612956,76,1310,SRX14608969,GSM5971610,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377374,SAMN26938755,simple,9606,Homo sapiens,GSM5971610,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_52KO_RNA_2,RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476758,39969469,3037679644,76,1008,SRX14608970,GSM5971611,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377377,SAMN26938754,simple,9606,Homo sapiens,GSM5971611,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_52KO_RNA_3,RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476757,51413765,3907446140,76,1314,SRX14608971,GSM5971612,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377372,SAMN26938753,simple,9606,Homo sapiens,GSM5971612,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_WT_RNA_1,RNA,wild type,H9,missing,missing
SRR18476756,58297723,4430626948,76,1481,SRX14608972,GSM5971613,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377375,SAMN26938752,simple,9606,Homo sapiens,GSM5971613,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_WT_RNA_2,RNA,wild type,H9,missing,missing
SRR18476755,48124506,3657462456,76,1217,SRX14608973,GSM5971614,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377376,SAMN26938751,simple,9606,Homo sapiens,GSM5971614,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,RNA,H9_WT_RNA_3,RNA,wild type,H9,missing,missing
SRR18476754,41755591,3173424916,76,1085,SRX14608974,GSM5971615,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377378,SAMN26938750,simple,9606,Homo sapiens,GSM5971615,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_52KO_RP_1,ribosome protected fragment RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476753,43071854,3273460904,76,1116,SRX14608975,GSM5971616,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377379,SAMN26938749,simple,9606,Homo sapiens,GSM5971616,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_52KO_RP_2,ribosome protected fragment RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476752,42075630,3197747880,76,1106,SRX14608976,GSM5971617,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377380,SAMN26938748,simple,9606,Homo sapiens,GSM5971617,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_52KO_RP_3,ribosome protected fragment RNA,SNORD52 knockout cells,H9,missing,missing
SRR18476751,42333912,3217377312,76,1098,SRX14608977,GSM5971618,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377381,SAMN26938747,simple,9606,Homo sapiens,GSM5971618,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_WT_RP_1,ribosome protected fragment RNA,wild type,H9,missing,missing
SRR18476750,41304302,3139126952,76,1089,SRX14608978,GSM5971619,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377382,SAMN26938746,simple,9606,Homo sapiens,GSM5971619,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_WT_RP_2,ribosome protected fragment RNA,wild type,H9,missing,missing
SRR18476749,46920046,3565923496,76,1227,SRX14608979,GSM5971620,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365866,PRJNA819859,37473757,"",SRS12377383,SAMN26938745,simple,9606,Homo sapiens,GSM5971620,"University of Copenhagen,BRIC",SRA1392151,06,2023,Häfner,ribosome protected fragment RNA,H9_WT_RP_3,ribosome protected fragment RNA,wild type,H9,missing,missing
