Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth temperature,geo_loc_name,collection_date
SRR18482810,19005123,571039069,30,374,SRX14614394,GSM5972507,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382346,SAMN26947748,simple,5476,Candida albicans,GSM5972507,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_WT_37_Rep1_RPF,Yeast,SN87 - wild type,37 C,missing,missing
SRR18482809,18305842,546763056,29,361,SRX14614395,GSM5972508,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382344,SAMN26947747,simple,5476,Candida albicans,GSM5972508,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_WT_37_Rep2_RPF,Yeast,SN87 - wild type,37 C,missing,missing
SRR18482808,25489793,756799455,29,466,SRX14614396,GSM5972509,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382345,SAMN26947746,simple,5476,Candida albicans,GSM5972509,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_WT_37_Rep3_RPF,Yeast,SN87 - wild type,37 C,missing,missing
SRR18482807,12965695,386014672,29,248,SRX14614397,GSM5972510,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382349,SAMN26947745,simple,5476,Candida albicans,GSM5972510,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_WT_41_Rep1_RPF,Yeast,SN87 - wild type,41 C,missing,missing
SRR18482806,13560574,411181974,30,265,SRX14614398,GSM5972511,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382347,SAMN26947744,simple,5476,Candida albicans,GSM5972511,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_WT_41_Rep2_RPF,Yeast,SN87 - wild type,41 C,missing,missing
SRR18482805,14691463,447065242,30,292,SRX14614399,GSM5972512,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382348,SAMN26947743,simple,5476,Candida albicans,GSM5972512,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_30_Rep1_RPF,Yeast,SN87 - ncs2delta/ncs2delta,30 C,missing,missing
SRR18482804,12400164,372362413,30,244,SRX14614400,GSM5972513,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382350,SAMN26947742,simple,5476,Candida albicans,GSM5972513,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_30_Rep2_RPF,Yeast,SN87 - ncs2delta/ncs2delta,30 C,missing,missing
SRR18482803,12419409,371481305,29,236,SRX14614401,GSM5972514,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382351,SAMN26947741,simple,5476,Candida albicans,GSM5972514,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_37_Rep1_RPF,Yeast,SN87 - ncs2delta/ncs2delta,37 C,missing,missing
SRR18482802,13676884,409718752,29,259,SRX14614402,GSM5972515,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382352,SAMN26947740,simple,5476,Candida albicans,GSM5972515,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_37_Rep2_RPF,Yeast,SN87 - ncs2delta/ncs2delta,37 C,missing,missing
SRR18482801,35334771,1050348742,29,638,SRX14614403,GSM5972516,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382353,SAMN26947739,simple,5476,Candida albicans,GSM5972516,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_37_Rep3_RPF,Yeast,SN87 - ncs2delta/ncs2delta,37 C,missing,missing
SRR18482800,11442205,347800064,30,224,SRX14614404,GSM5972517,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382354,SAMN26947738,simple,5476,Candida albicans,GSM5972517,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_41_Rep1_RPF,Yeast,SN87 - ncs2delta/ncs2delta,41 C,missing,missing
SRR18482799,14735374,445735610,30,285,SRX14614405,GSM5972518,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP365930,PRJNA819978,37462076,"",SRS12382355,SAMN26947737,simple,5476,Candida albicans,GSM5972518,"Research group for RNA Biochemistry, Department of Chemistry and Biochemistry, University of Bern",SRA1392201,09,2023,Alings,Yeast,SN87_NCS2_KO_41_Rep2_RPF,Yeast,SN87 - ncs2delta/ncs2delta,41 C,missing,missing
