Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,treatment,time point,geo_loc_name,collection_date
SRR18516260,71746860,7174686000,50,2898,SRX14647410,GSM5979797,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412860,SAMN27036008,simple,10090,Mus musculus,GSM5979797,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep1,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
SRR18516259,66671031,6667103100,50,2669,SRX14647411,GSM5979798,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412859,SAMN27036007,simple,10090,Mus musculus,GSM5979798,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep2,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
SRR18516256,71597808,7159780800,50,2784,SRX14647412,GSM5979799,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412862,SAMN27036006,simple,10090,Mus musculus,GSM5979799,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep1,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516255,69285104,6928510400,50,2680,SRX14647413,GSM5979800,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412868,SAMN27036005,simple,10090,Mus musculus,GSM5979800,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep2,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516257,65204353,6520435300,50,2547,SRX14647414,GSM5979801,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412861,SAMN27036004,simple,10090,Mus musculus,GSM5979801,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep3,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
SRR18516254,76093471,7609347100,50,3094,SRX14647415,GSM5979802,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412863,SAMN27036003,simple,10090,Mus musculus,GSM5979802,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep4,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
SRR18516258,69057118,6905711800,50,2740,SRX14647416,GSM5979803,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412864,SAMN27036002,simple,10090,Mus musculus,GSM5979803,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep3,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516253,72142575,7214257500,50,2873,SRX14647417,GSM5979804,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412865,SAMN27036001,simple,10090,Mus musculus,GSM5979804,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep4,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516252,61943884,6194388400,50,2437,SRX14647418,GSM5979805,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412866,SAMN27036000,simple,10090,Mus musculus,GSM5979805,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep5,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
SRR18516249,78219752,7821975200,50,3077,SRX14647419,GSM5979806,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412867,SAMN27035999,simple,10090,Mus musculus,GSM5979806,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_Veh_Rep6,Whole embryo,C57BL6/J,E9.0,Veh,2hr,missing,missing
