Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,tissue,Stage,age,fraction
SRR18584253,4784230,8614721514,1800,2093,SRX14712840,GSM5994080,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475174,SAMN27178163,simple,4577,Zea mays,GSM5994080,Huazhong Agricultural University,SRA1400805,10,2022,Makar,Endosperm (15 DAP); Endosperm (25 DAP),"B73, Group 3",Endosperm (15 DAP); Endosperm (25 DAP),B73,Endosperm (15 DAP); Endosperm (25 DAP),Endosperm (15 DAP); Endosperm (25 DAP),Endosperm (15 DAP); Endosperm (25 DAP),cDNA
SRR18584252,5375725,9257327119,1722,2251,SRX14712841,GSM5994078,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475175,SAMN27178165,simple,4577,Zea mays,GSM5994078,Huazhong Agricultural University,SRA1400805,10,2022,Makar,Embryo (15 DAP); Embryo (25 DAP),"B73, Group 8",Embryo (15 DAP); Embryo (25 DAP),B73,Embryo (15 DAP); Embryo (25 DAP),Embryo (15 DAP); Embryo (25 DAP),Embryo (15 DAP); Embryo (25 DAP),cDNA
SRR18584251,4675330,8276903946,1770,2012,SRX14712842,GSM5994077,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475177,SAMN27178166,simple,4577,Zea mays,GSM5994077,Huazhong Agricultural University,SRA1400805,10,2022,Makar,Ear (2 mm); Tassel (2 mm); Ear (5 mm); Silk; Ear (3 cm),"B73, Group 5&6 rep1",Ear (2 mm); Tassel (2 mm); Ear (5 mm); Silk; Ear (3 cm),B73,Ear (2 mm); Tassel (2 mm); Ear (5 mm); Silk; Ear (3 cm),Ear (2 mm); Tassel (2 mm); Ear (5 mm); Silk; Ear (3 cm),Ear (2 mm); Tassel (2 mm); Ear (5 mm); Silk; Ear (3 cm),cDNA
SRR18584250,21148652,631838022,29,236,SRX14712843,GSM5994091,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475179,SAMN27178152,simple,4577,Zea mays,GSM5994091,Huazhong Agricultural University,SRA1400805,10,2022,Makar,04-Seedling(6DAS),"B73, ribo-3 rep1",04-Seedling(6DAS),B73,Seedling(6DAS),6DAS,6DAS,mRNA bound by ribosome
SRR18584249,8108889,208636226,25,82,SRX14712844,GSM5994104,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475176,SAMN27178139,simple,4577,Zea mays,GSM5994104,Huazhong Agricultural University,SRA1400805,10,2022,Makar,22-5mmear,"B73, ribo-9 rep2",22-5mmear,B73,5mmear,5mmear,5mmear,mRNA bound by ribosome
SRR18584248,13508243,366677364,27,140,SRX14712845,GSM5994105,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475178,SAMN27178138,simple,4577,Zea mays,GSM5994105,Huazhong Agricultural University,SRA1400805,10,2022,Makar,25-Inflorescence,"B73, ribo-10 rep1",25-Inflorescence,B73,Inflorescence,Inflorescence,Inflorescence,mRNA bound by ribosome
SRR18584247,19608488,537343501,27,201,SRX14712846,GSM5994106,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475180,SAMN27178137,simple,4577,Zea mays,GSM5994106,Huazhong Agricultural University,SRA1400805,10,2022,Makar,25-Inflorescence,"B73, ribo-10 rep2",25-Inflorescence,B73,Inflorescence,Inflorescence,Inflorescence,mRNA bound by ribosome
SRR18584246,26464717,767268630,28,280,SRX14712847,GSM5994107,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475181,SAMN27178136,simple,4577,Zea mays,GSM5994107,Huazhong Agricultural University,SRA1400805,10,2022,Makar,27-1cmtassel,"B73, ribo-11 rep1",27-1cmtassel,B73,1cmtassel,1cmtassel,1cmtassel,mRNA bound by ribosome
SRR18584245,13830652,383206762,27,145,SRX14712848,GSM5994108,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475182,SAMN27178135,simple,4577,Zea mays,GSM5994108,Huazhong Agricultural University,SRA1400805,10,2022,Makar,27-1cmtassel,"B73, ribo-11 rep2",27-1cmtassel,B73,1cmtassel,1cmtassel,1cmtassel,mRNA bound by ribosome
SRR18584244,19289763,510450287,26,198,SRX14712849,GSM5994109,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475183,SAMN27178134,simple,4577,Zea mays,GSM5994109,Huazhong Agricultural University,SRA1400805,10,2022,Makar,29-Kernel(6DAP),"B73, ribo-12 rep1",29-Kernel(6DAP),B73,Kernel(6DAP),6DAP,6DAP,mRNA bound by ribosome
