Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,tissue
SRR18590156,51665777,1389463384,26,640,SRX14718856,GSM6008198,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481127,SAMN27278968,simple,5465,Colletotrichum orbiculare,GSM6008198,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_DMSO,Ribo_Conidia_WT_DMSO1,eIF4A-WT_DMSO,eIF4A-WT,DMSO,
SRR18590155,52134469,1428564543,27,653,SRX14718857,GSM6008199,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481126,SAMN27278967,simple,5465,Colletotrichum orbiculare,GSM6008199,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_DMSO,Ribo_Conidia_WT_DMSO2,eIF4A-WT_DMSO,eIF4A-WT,DMSO,
SRR18590154,30186713,818035928,27,378,SRX14718858,GSM6008200,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481130,SAMN27278966,simple,5465,Colletotrichum orbiculare,GSM6008200,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_Aglafoline 0.3 µM,Ribo_Conidia_WT_Ag0.3uM,eIF4A-WT_Aglafoline 0.3 µM,eIF4A-WT,Aglafoline 0.3 µM,
SRR18590153,63758889,1804158880,28,821,SRX14718859,GSM6008201,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481129,SAMN27278965,simple,5465,Colletotrichum orbiculare,GSM6008201,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_Aglafoline 3 µM,Ribo_Conidia_WT_Ag3uM,eIF4A-WT_Aglafoline 3 µM,eIF4A-WT,Aglafoline 3 µM,
SRR18590152,30496160,856792043,28,389,SRX14718860,GSM6008202,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481128,SAMN27278964,simple,5465,Colletotrichum orbiculare,GSM6008202,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_DMSO,Ribo_Conidia_H153G_DMSO1,eIF4A-H153G_DMSO,eIF4A-H153G,DMSO,
SRR18590151,46647007,1277567257,27,587,SRX14718861,GSM6008203,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481132,SAMN27278963,simple,5465,Colletotrichum orbiculare,GSM6008203,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_DMSO,Ribo_Conidia_H153G_DMSO2,eIF4A-H153G_DMSO,eIF4A-H153G,DMSO,
SRR18590150,45431819,1286485537,28,584,SRX14718862,GSM6008204,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481131,SAMN27278962,simple,5465,Colletotrichum orbiculare,GSM6008204,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_Aglafoline 0.3 µM,Ribo_Conidia_H153G_Ag0.3uM,eIF4A-H153G_Aglafoline 0.3 µM,eIF4A-H153G,Aglafoline 0.3 µM,
SRR18590149,64219228,1729056881,26,799,SRX14718863,GSM6008205,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481134,SAMN27278961,simple,5465,Colletotrichum orbiculare,GSM6008205,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_Aglafoline 3 µM,Ribo_Conidia_H153G_Ag3uM,eIF4A-H153G_Aglafoline 3 µM,eIF4A-H153G,Aglafoline 3 µM,
SRR18590148,82626190,2158833419,26,1018,SRX14718864,GSM6008206,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481133,SAMN27278960,simple,5465,Colletotrichum orbiculare,GSM6008206,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_DMSO,Ribo_Mycelia_WT_DMSO1,eIF4A-WT_DMSO,eIF4A-WT,DMSO,
SRR18590147,52015786,1354213569,26,640,SRX14718865,GSM6008207,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481136,SAMN27278959,simple,5465,Colletotrichum orbiculare,GSM6008207,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_DMSO,Ribo_Mycelia_WT_DMSO2,eIF4A-WT_DMSO,eIF4A-WT,DMSO,
