Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,time
SRR18592300,35464867,10639460100,150,3978,SRX14720907,GSM6008596,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483069,SAMN27283837,simple,9606,Homo sapiens,GSM6008596,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep1,Corneal epithelial cells,control,
SRR18592299,45841025,13752307500,150,5088,SRX14720908,GSM6008597,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483068,SAMN27283836,simple,9606,Homo sapiens,GSM6008597,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep2,Corneal epithelial cells,control,
SRR18592298,38612770,11583831000,150,4374,SRX14720909,GSM6008598,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12530366,SAMN27283835,simple,9606,Homo sapiens,GSM6008598,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep3,Corneal epithelial cells,control,
SRR18592297,33595195,10078558500,150,3749,SRX14720910,GSM6008599,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483075,SAMN27283834,simple,9606,Homo sapiens,GSM6008599,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep4,Corneal epithelial cells,control,
SRR18592296,60169014,18050704200,150,6683,SRX14720911,GSM6008600,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483070,SAMN27283833,simple,9606,Homo sapiens,GSM6008600,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep1,Corneal epithelial cells,500 mOsm,1 hour
SRR18592295,50177232,15053169600,150,5585,SRX14720912,GSM6008601,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483071,SAMN27283832,simple,9606,Homo sapiens,GSM6008601,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep2,Corneal epithelial cells,500 mOsm,1 hour
SRR18592294,40071633,12021489900,150,4446,SRX14720913,GSM6008602,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483072,SAMN27283831,simple,9606,Homo sapiens,GSM6008602,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep3,Corneal epithelial cells,500 mOsm,1 hour
SRR18592293,47189760,14156928000,150,5212,SRX14720914,GSM6008603,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483073,SAMN27283830,simple,9606,Homo sapiens,GSM6008603,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep4,Corneal epithelial cells,500 mOsm,1 hour
SRR18592292,53693488,16108046400,150,6096,SRX14720915,GSM6008604,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483074,SAMN27283829,simple,9606,Homo sapiens,GSM6008604,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep1,Corneal epithelial cells,500 mOsm,6 hours
SRR18592291,45594013,13678203900,150,5172,SRX14720916,GSM6008605,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483076,SAMN27283828,simple,9606,Homo sapiens,GSM6008605,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep2,Corneal epithelial cells,500 mOsm,6 hours
SRR18592290,43794418,13138325400,150,4972,SRX14720917,GSM6008606,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483077,SAMN27283827,simple,9606,Homo sapiens,GSM6008606,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep3,Corneal epithelial cells,500 mOsm,6 hours
SRR18592289,39239559,11771867700,150,4516,SRX14720918,GSM6008607,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483078,SAMN27283826,simple,9606,Homo sapiens,GSM6008607,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep4,Corneal epithelial cells,500 mOsm,6 hours
SRR18592288,42162361,12648708300,150,4691,SRX14720919,GSM6008608,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483079,SAMN27283825,simple,9606,Homo sapiens,GSM6008608,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep1,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592287,40556011,12166803300,150,4532,SRX14720920,GSM6008609,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483080,SAMN27283824,simple,9606,Homo sapiens,GSM6008609,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep2,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592286,43121848,12936554400,150,4937,SRX14720921,GSM6008610,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483081,SAMN27283823,simple,9606,Homo sapiens,GSM6008610,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep3,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592285,39895208,11968562400,150,4505,SRX14720922,GSM6008611,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483082,SAMN27283822,simple,9606,Homo sapiens,GSM6008611,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep4,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592284,43055450,12916635000,150,4917,SRX14720923,GSM6008612,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483083,SAMN27283821,simple,9606,Homo sapiens,GSM6008612,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep1,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
