Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR18970095,89289793,3583720082,40,1429,SRX15046062,GSM6077064,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792197,SAMN27967629,simple,10090,Mus musculus,GSM6077064,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27-FLAG, IP fraction ribosome-protected fragment, biol rep 1 [L1_2b12iprfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27-FLAG,IP fraction ribosome-protected fragment,missing,missing
SRR18970094,105266954,4217077912,40,1689,SRX15046063,GSM6077065,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792198,SAMN27967628,simple,10090,Mus musculus,GSM6077065,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27-FLAG, total fraction ribosome-protected fragment, biol rep 1 [L1_2b12totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27-FLAG,total fraction ribosome-protected fragment,missing,missing
SRR18970093,82633785,3322201223,40,1318,SRX15046064,GSM6077066,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792199,SAMN27967627,simple,10090,Mus musculus,GSM6077066,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27L-FLAG, IP fraction ribosome-protected fragment, biol rep 1 [L1_4a2iprfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27L-FLAG,IP fraction ribosome-protected fragment,missing,missing
SRR18970092,121119037,4890506605,40,1941,SRX15046065,GSM6077067,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792200,SAMN27967626,simple,10090,Mus musculus,GSM6077067,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27L-FLAG, total fraction ribosome-protected fragment, biol rep 1 [L1_4a2totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27L-FLAG,total fraction ribosome-protected fragment,missing,missing
SRR18970091,98604501,3962270676,40,1632,SRX15046066,GSM6077068,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792201,SAMN27967625,simple,10090,Mus musculus,GSM6077068,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"WT, total fraction ribosome-protected fragment, biol rep 1 [L1_5a1totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,WT,total fraction ribosome-protected fragment,missing,missing
SRR18970090,84129195,3377648017,40,1392,SRX15046067,GSM6077069,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792202,SAMN27967624,simple,10090,Mus musculus,GSM6077069,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27-FLAG, IP fraction ribosome-protected fragment, biol rep 2 [L2_2c3iprfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27-FLAG,IP fraction ribosome-protected fragment,missing,missing
SRR18970089,112412015,4504234254,40,1845,SRX15046068,GSM6077070,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792203,SAMN27967623,simple,10090,Mus musculus,GSM6077070,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27-FLAG, total fraction ribosome-protected fragment, biol rep 2 [L2_2c3totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27-FLAG,total fraction ribosome-protected fragment,missing,missing
SRR18970088,67149657,2682295303,39,1108,SRX15046069,GSM6077071,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792204,SAMN27967622,simple,10090,Mus musculus,GSM6077071,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27L-FLAG, IP fraction ribosome-protected fragment, biol rep 2 [L2_4a3iprfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27L-FLAG,IP fraction ribosome-protected fragment,missing,missing
SRR18970087,122637099,4915941963,40,2010,SRX15046070,GSM6077072,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792205,SAMN27967621,simple,10090,Mus musculus,GSM6077072,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"eS27L-FLAG, total fraction ribosome-protected fragment, biol rep 2 [L2_4a3totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,eS27L-FLAG,total fraction ribosome-protected fragment,missing,missing
SRR18970086,112860862,4518734313,40,1852,SRX15046071,GSM6077073,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP372823,PRJNA833301,37306301,"",SRS12792206,SAMN27967620,simple,10090,Mus musculus,GSM6077073,"Genetics, Stanford University",SRA1412299,06,2023,Xu,E14Tg2a.4,"WT, total fraction ribosome-protected fragment, biol rep 2 [L2_5a2totrfp]",E14Tg2a.4,E14Tg2a.4,mouse embryonic stem cells,WT,total fraction ribosome-protected fragment,missing,missing
